,side,result,P_W%,P_KDA,P_KP,P_GD10,P_XPD10,P_CSD10,P_DPM,C_P+B%,C_W%
4954,0,1,-14.800000000000004,-0.8199999999999998,-1.3600000000000136,-64.6,-54.0,-2.16,-9.0,-14.33999999999999,-20.4
4955,1,0,14.800000000000004,0.8199999999999998,1.3600000000000136,64.6,54.0,2.16,9.0,14.33999999999999,20.4
4956,1,1,47.0,2.1400000000000006,-1.6400000000000148,53.599999999999994,107.8,2.48,46.60000000000002,0.3399999999999963,6.799999999999997
4957,0,0,-47.0,-2.1400000000000006,1.6400000000000148,-53.599999999999994,-107.8,-2.48,-46.60000000000002,-0.3399999999999963,-6.799999999999997
4958,1,1,27.0,2.7600000000000007,4.519999999999982,97.8,26.200000000000003,0.9800000000000001,11.600000000000023,14.740000000000006,-7.199999999999996
4959,0,0,-27.0,-2.7600000000000007,-4.519999999999982,-97.8,-26.200000000000003,-0.9800000000000001,-11.600000000000023,-14.740000000000006,7.199999999999996
4960,0,1,-43.199999999999996,-1.6599999999999997,1.299999999999983,-169.8,-144.4,-1.3599999999999999,-30.0,-20.42000000000001,-4.0
4961,1,0,43.199999999999996,1.6599999999999997,-1.299999999999983,169.8,144.4,1.3599999999999999,30.0,20.42000000000001,4.0
4962,0,1,-12.600000000000001,-0.8799999999999994,3.8400000000000034,8.400000000000006,21.4,-3.8,-11.600000000000023,9.320000000000007,-5.600000000000001
4963,1,0,12.600000000000001,0.8799999999999994,-3.8400000000000034,-8.400000000000006,-21.4,3.8,11.600000000000023,-9.320000000000007,5.600000000000001
4964,0,1,-34.400000000000006,-2.8400000000000003,-2.239999999999995,-93.8,-89.80000000000001,-1.54,-3.0,-24.900000000000006,-10.600000000000001
4965,1,0,34.400000000000006,2.8400000000000003,2.239999999999995,93.8,89.80000000000001,1.54,3.0,24.900000000000006,10.600000000000001
4966,1,1,4.800000000000004,-0.12000000000000055,-4.920000000000002,-5.200000000000003,-31.200000000000003,1.02,34.400000000000034,1.519999999999996,1.0
4967,0,0,-4.800000000000004,0.12000000000000055,4.920000000000002,5.200000000000003,31.200000000000003,-1.02,-34.400000000000034,-1.519999999999996,-1.0
4968,0,1,-21.4,-1.2400000000000002,-6.079999999999998,10.399999999999991,-22.800000000000004,0.21999999999999986,5.600000000000023,16.07999999999999,-6.799999999999997
4969,1,0,21.4,1.2400000000000002,6.079999999999998,-10.399999999999991,22.800000000000004,-0.21999999999999986,-5.600000000000023,-16.07999999999999,6.799999999999997
4970,1,1,3.200000000000003,0.3200000000000003,-5.099999999999994,45.400000000000006,10.799999999999999,3.04,-40.400000000000034,-1.1000000000000014,-5.600000000000001
4971,0,0,-3.200000000000003,-0.3200000000000003,5.099999999999994,-45.400000000000006,-10.799999999999999,-3.04,40.400000000000034,1.1000000000000014,5.600000000000001
4972,1,1,24.200000000000003,1.46,-7.38000000000001,102.0,76.2,1.8599999999999999,26.399999999999977,-2.960000000000001,-0.7999999999999972
4973,0,0,-24.200000000000003,-1.46,7.38000000000001,-102.0,-76.2,-1.8599999999999999,-26.399999999999977,2.960000000000001,0.7999999999999972
