"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",41,21,20,33,494,515,0.96,0.75,-0.31,"-2.2%",42.1,9.2,-587,"56%","44%","46%","45%","29%","46%","80%","37%","47%","50.1%","47.5%",3.34,1.34,1.75
"DRX",45,32,13,32.5,617,491,1.26,0.76,0.96,"5.8%",57,14.1,1064,"47%","47%","64%","46%","38%","52%","50%","60%","69%","51.3%","55.0%",3.57,1.27,1.74
"DWG KIA",39,34,5,28,649,295,2.2,0.86,2.31,"14.9%",77.1,10.1,3055,"56%","90%","95%","77%","38%","60%","50%","67%","88%","50.5%","59.4%",3.46,1.25,1.58
"Gen.G",43,31,12,31.4,652,408,1.6,0.78,1.06,"6.8%",66.3,5.8,1254,"60%","74%","74%","72%","63%","69%","80%","58%","64%","51.1%","52.6%",3.7,1.53,1.77
"Hanwha Life Esports",42,8,34,31.2,392,646,0.61,0.79,-1.23,"-8.9%",39.4,-20.4,-1109,"43%","33%","17%","35%","55%","42%","0%","19%","26%","49.2%","44.3%",3.82,1.71,1.53
"KT Rolster",43,18,25,33,478,531,0.9,0.71,-0.21,"-1.6%",50.2,-8.3,-248,"49%","49%","47%","49%","70%","47%","25%","40%","45%","49.5%","47.8%",3.75,1.49,1.79
"Liiv SANDBOX",42,17,25,32.3,431,542,0.8,0.72,-0.81,"-4.3%",39.5,1,-978,"43%","48%","38%","50%","48%","45%","40%","33%","37%","50.0%","46.6%",3.56,1.63,1.87
"SeolHaeOne Prince",41,6,35,31.1,348,734,0.47,0.85,-1.66,"-12.1%",28.8,-14.2,-2164,"51%","24%","22%","31%","37%","35%","50%","22%","27%","48.4%","45.9%",3.48,1.37,1.6
"T1",42,28,14,32.8,585,362,1.62,0.68,0.84,"7.2%",60,6.6,916,"62%","52%","57%","48%","67%","55%","57%","52%","60%","50.5%","54.8%",3.88,1.42,1.86
"Team Dynamics",44,16,28,32.6,478,617,0.77,0.76,-0.68,"-5.2%",40.4,-4,-1098,"34%","41%","41%","49%","55%","49%","44%","36%","47%","49.3%","46.4%",3.48,1.33,1.7
