"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",48,27,21,37.1,530,514,1.03,0.59,0.18,"2.9%",50.2,6.1,30,"56%","52%","60%","59%","52%","58%","61%","54%","50%","50.0%","50.7%",4.01,1.02,1.6
"bbq Olivers",45,13,32,35.6,370,467,0.79,0.52,-0.53,"-6.4%",46.7,-17.8,-351,"38%","40%","40%","36%","42%","41%","43%","29%","28%","49.3%","47.9%",3.86,1.11,1.28
"Ever8 Winners",41,11,30,35.5,363,483,0.75,0.58,-0.87,"-6.6%",35.6,-8.8,-1482,"44%","34%","32%","51%","20%","34%","36%","39%","49%","49.2%","49.3%",3.85,1.22,1.34
"Jin Air Green Wings",42,21,21,37.7,407,455,0.89,0.54,0.52,"2.9%",55.8,-5.8,682,"60%","57%","60%","70%","43%","44%","50%","60%","58%","50.3%","48.8%",3.95,1.17,1.45
"KT Rolster",47,31,16,35.6,651,408,1.6,0.63,1.2,"7.0%",65.1,0.8,1588,"62%","74%","72%","73%","55%","58%","73%","60%","57%","50.3%","51.2%",4.02,1.15,1.55
"Longzhu Gaming",44,31,13,35.8,609,408,1.49,0.65,0.83,"9.6%",62.3,8.1,1044,"61%","64%","70%","61%","68%","63%","10%","68%","61%","50.4%","52.3%",3.82,0.89,1.44
"MVP",42,13,29,38,388,524,0.74,0.57,-0.91,"-6.6%",45.7,-14.7,-638,"33%","50%","33%","31%","69%","57%","47%","38%","44%","49.4%","48.0%",3.54,0.9,1.54
"ROX Tigers",44,17,27,37,420,539,0.78,0.59,-1.06,"-6.2%",33.1,5.5,-1370,"43%","32%","30%","35%","14%","26%","32%","43%","46%","49.4%","46.0%",3.83,0.94,1.39
"Samsung Galaxy",44,29,15,35.6,437,390,1.12,0.53,0.38,"2.9%",53.8,12.1,210,"57%","50%","59%","39%","70%","58%","60%","48%","49%","50.9%","52.5%",3.67,1.1,1.62
"SK Telecom T1",41,26,15,35.6,450,445,1.01,0.61,0.15,"-0.7%",49.8,13.6,91,"44%","44%","39%","44%","66%","59%","83%","56%","57%","50.8%","53.1%",3.43,0.83,1.48
