"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",46,26,20,36,464,372,1.25,0.5,0.22,"3.1%",51.3,5.3,384,"46%","41%","48%","50%","35%","47%","46%","46%","52%","50.6%","50.6%",4.12,1.51,1.76
"bbq Olivers",43,9,34,34.4,295,437,0.68,0.49,-0.92,"-7.9%",38.6,-17.7,-912,"33%","33%","33%","46%","26%","34%","29%","28%","28%","49.1%","45.9%",3.57,1.42,1.31
"Gen.G",44,28,16,34.5,378,348,1.09,0.48,0.31,"3.5%",56.9,6.8,660,"39%","61%","68%","54%","59%","64%","67%","52%","53%","50.4%","51.4%",3.38,1.44,1.61
"Griffin",41,28,13,35.8,463,269,1.72,0.5,0.05,"3.3%",48.7,19.6,-36,"56%","51%","54%","40%","37%","45%","60%","66%","66%","50.5%","50.9%",3.42,1.27,1.68
"Hanwha Life Esports",46,25,21,33.9,429,428,1,0.55,0.16,"2.4%",51.1,3.2,-75,"57%","67%","54%","61%","59%","53%","20%","61%","61%","49.3%","51.1%",3.72,1.41,1.58
"Jin Air Green Wings",45,14,31,36.4,311,410,0.76,0.44,-0.22,"-4.3%",45.3,-14.2,-540,"51%","42%","40%","43%","51%","44%","33%","31%","35%","49.7%","48.0%",3.78,1.52,1.75
"Kingzone DragonX",43,28,15,33.8,450,377,1.19,0.57,0.87,"5.7%",61.6,3.5,833,"63%","65%","70%","61%","70%","68%","44%","60%","61%","51.0%","53.3%",3.5,1.35,1.66
"KT Rolster",43,29,14,36.3,438,383,1.14,0.52,0.53,"2.6%",56.5,10.9,787,"60%","63%","56%","57%","56%","55%","64%","58%","64%","50.6%","52.3%",3.63,1.41,1.64
"MVP",41,11,30,33.6,292,440,0.66,0.53,-1.14,"-8.7%",39.5,-12.7,-957,"44%","29%","32%","33%","46%","35%","50%","24%","29%","48.8%","44.8%",3.15,1.16,1.43
"SK Telecom T1",44,20,24,34.9,394,456,0.86,0.55,0.03,"-0.2%",49.9,-4.4,-198,"52%","45%","45%","54%","61%","54%","67%","50%","48%","49.9%","51.3%",3.72,1.46,1.55
