"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"CJ Entus",32,20,12,40,477,379,1.26,0.67,0.55,"6.4%",,,432,"50%","59%","56%",,"59%","59%",,"47%","56%","50.6%","51.3%",2.86,0.55,1.23
"Incredible Miracle",31,8,23,38.7,281,470,0.6,0.63,-1.1,"-7.4%",,,-705,"42%","32%","32%",,"35%","38%",,"39%","38%","49.3%","49.2%",3.43,0.53,1.14
"Jin Air Green Wings",32,17,15,46.7,458,395,1.16,0.57,0.23,"-0.1%",,,136,"63%","47%","60%",,"53%","51%",,"60%","61%","48.9%","50.2%",3.25,0.56,1.13
"KT Rolster",33,15,18,38.7,354,404,0.88,0.59,-0.01,"-2.4%",,,72,"36%","61%","48%",,"48%","45%",,"45%","54%","50.6%","49.1%",3.47,0.67,1.26
"NaJin e-mFire",33,14,19,40.5,435,468,0.93,0.67,0.15,"-1.5%",,,-4,"52%","61%","64%",,"42%","46%",,"36%","39%","50.4%","46.7%",3.11,0.52,1.11
"ROX Tigers",31,25,6,40.6,529,358,1.48,0.7,0.79,"10.3%",,,279,"50%","43%","60%",,"47%","59%",,"70%","69%","50.7%","51.7%",3.18,0.66,1.19
"Samsung Galaxy",32,6,26,39.4,295,499,0.59,0.63,-1.71,"-13.5%",,,-1572,"59%","31%","16%",,"53%","39%",,"22%","30%","47.7%","47.4%",3.17,0.51,1.07
"SK Telecom T1",32,23,9,37.6,488,355,1.37,0.7,1.13,"9.0%",,,1408,"48%","65%","65%",,"61%","65%",,"61%","55%","51.8%","54.8%",3.15,0.57,1.25
