"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",41,28,13,38.2,373,277,1.35,0.41,0.52,"4.9%",52.8,15.5,321,"56%","59%","63%","57%","56%","56%","69%","63%","72%","49.7%","53.3%",5.47,1.52,2.42
"bbq Olivers",44,17,27,39.8,375,385,0.97,0.43,-0.02,"-2.6%",45.5,-6.9,-238,"52%","39%","43%","60%","32%","35%","59%","52%","58%","49.4%","47.1%",4.84,1.35,2.03
"Jin Air Green Wings",44,19,25,40.6,431,414,1.04,0.47,-0.4,"-3.1%",48.2,-5,-150,"50%","50%","45%","50%","48%","46%","34%","43%","42%","50.4%","48.7%",4.69,1.08,1.93
"Kingzone DragonX",40,33,7,36.5,499,262,1.9,0.52,1.46,"12.4%",61.9,20.6,1060,"60%","73%","75%","52%","58%","71%","63%","78%","76%","51.1%","57.9%",5.17,1.25,2.03
"Kongdoo Monster",41,9,32,36.8,292,478,0.61,0.51,-1.26,"-10.9%",38.6,-16.7,-993,"39%","39%","34%","23%","37%","29%","42%","27%","31%","48.8%","43.6%",4.52,1.34,1.8
"KSV eSports",44,22,22,37.9,333,449,0.74,0.47,-0.47,"-3.0%",46.7,3.3,-352,"41%","45%","45%","41%","57%","53%","46%","39%","38%","50.4%","50.4%",4.54,1.47,2.29
"KT Rolster",43,28,15,36.8,421,320,1.32,0.47,0.59,"4.8%",61.1,4,902,"63%","56%","63%","55%","63%","61%","70%","60%","52%","50.5%","51.4%",4.91,1.42,2.1
"MVP",40,13,27,37.1,306,453,0.68,0.51,-0.37,"-4.9%",50.6,-18.1,-93,"43%","45%","35%","53%","43%","46%","35%","28%","38%","49.7%","46.7%",4.54,1.16,2
"ROX Tigers",45,22,23,37.3,413,454,0.91,0.52,0.2,"0.6%",52.1,-3.2,185,"58%","67%","53%","67%","51%","50%","43%","49%","47%","49.6%","49.8%",4.71,1.13,1.86
"SK Telecom T1",46,23,23,39.2,434,388,1.12,0.46,-0.14,"2.1%",43.5,6.5,-559,"39%","30%","43%","41%","57%","52%","54%","54%","47%","50.4%","51.4%",4.84,1.25,2.07
