"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",43,14,29,34.8,423,593,0.71,0.68,-0.64,"-5.5%",47.1,-14.5,-294,"49%","47%","42%","55%","49%","45%","46%","30%","35%","48.9%","45.9%",4.08,1.64,1.76
"DWG KIA",42,25,17,34.2,486,438,1.11,0.64,0.19,"3.6%",47.7,11.8,-200,"33%","50%","62%","50%","55%","58%","57%","50%","57%","50.8%","52.1%",3.89,1.39,1.77
"Gen.G",44,16,28,35.4,380,462,0.82,0.54,-0.44,"-4.7%",44.7,-8.3,-293,"48%","32%","36%","28%","36%","42%","43%","36%","38%","49.8%","47.3%",4.08,1.49,1.89
"Griffin",39,31,8,32.9,546,228,2.39,0.6,1.79,"11.7%",71,8.4,2245,"79%","72%","77%","63%","54%","57%","67%","64%","65%","51.4%","55.5%",3.83,1.31,1.78
"Hanwha Life Esports",41,20,21,33,387,434,0.89,0.61,-0.04,"-1.9%",47.5,1.3,-253,"39%","49%","46%","55%","49%","48%","67%","51%","60%","49.5%","49.7%",4.08,1.54,1.82
"Jin Air Green Wings",38,3,35,33.7,249,457,0.54,0.55,-1.6,"-11.6%",30.9,-23,-1668,"45%","34%","13%","47%","32%","23%","29%","11%","13%","49.0%","41.3%",3.77,1.51,1.6
"Kingzone DragonX",39,27,12,34,483,385,1.25,0.65,0.27,"4.1%",55.2,14.1,311,"51%","59%","51%","54%","62%","57%","78%","56%","62%","50.3%","52.6%",4.14,1.67,1.88
"KT Rolster",42,13,29,35,428,573,0.75,0.68,-0.7,"-5.5%",41.7,-10.7,-549,"43%","26%","31%","38%","36%","37%","57%","36%","38%","49.4%","45.8%",3.63,1.36,1.68
"Liiv SANDBOX",44,28,16,34.5,486,459,1.06,0.62,0.61,"4.3%",56.4,7.2,361,"45%","75%","77%","48%","64%","70%","0%","66%","68%","50.4%","55.5%",3.93,1.53,1.95
"SK Telecom T1",44,31,13,34.4,510,358,1.42,0.57,0.62,"5.4%",57.5,13,343,"68%","57%","61%","64%","64%","61%","60%","55%","62%","50.5%","53.9%",4.4,1.54,1.69
