"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",46,25,21,36.9,534,482,1.11,0.6,-0.17,"1.4%",48,6.3,-319,"37%","50%","52%","50%","52%","55%","71%","48%","47%","50.3%","51.7%",4.07,1.03,1.56
"bbq Olivers",44,16,28,35.7,437,475,0.92,0.58,-0.48,"-5.6%",45,-8.6,-803,"36%","34%","36%","0%","50%","50%","46%","36%","37%","49.1%","49.6%",3.67,0.88,1.29
"Jin Air Green Wings",44,14,30,41,497,590,0.84,0.6,-0.56,"-3.2%",44.4,-12.5,-366,"52%","41%","36%","44%","39%","39%","31%","34%","35%","50.4%","47.2%",3.82,1.01,1.43
"Kongdoo Monster",45,12,33,37.7,385,570,0.68,0.56,-1.02,"-7.2%",40.2,-13.5,-919,"38%","44%","38%","10%","42%","29%","35%","49%","43%","49.1%","45.6%",3.9,0.96,1.48
"KT Rolster",44,29,15,37.7,590,489,1.21,0.65,1.14,"5.2%",63.6,2.3,1368,"66%","75%","75%","62%","57%","56%","54%","59%","61%","49.9%","50.9%",3.85,1.04,1.5
"Longzhu Gaming",45,20,25,37.4,501,570,0.88,0.64,-0.04,"-0.1%",49.1,-4.7,9,"51%","49%","51%","25%","49%","49%","63%","44%","50%","50.0%","49.9%",3.71,0.83,1.28
"MVP",45,23,22,36.5,528,630,0.84,0.71,-0.56,"-3.6%",44.1,7,-527,"56%","40%","33%","53%","49%","52%","56%","51%","64%","49.5%","48.9%",3.46,0.82,1.34
"ROX Tigers",47,21,26,35.6,560,626,0.89,0.71,-0.22,"-1.9%",50.2,-5.5,-105,"47%","51%","55%","47%","55%","48%","54%","36%","41%","50.0%","48.2%",3.97,1.12,1.5
"Samsung Galaxy",42,30,12,36.2,508,380,1.34,0.58,1.04,"6.5%",59.6,11.8,936,"69%","64%","64%","56%","45%","62%","57%","62%","63%","50.3%","53.9%",3.65,0.99,1.43
"SK Telecom T1",42,32,10,36.3,640,376,1.7,0.67,1.09,"9.5%",57.1,19.1,861,"50%","52%","60%","95%","62%","63%","54%","67%","63%","51.6%","54.5%",3.43,0.75,1.47
