"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",46,26,20,33.8,564,560,1.01,0.72,0.46,"-0.4%",60.3,-3.7,802,"50%","65%","63%","57%","54%","57%","50%","52%","60%","50.2%","50.9%",3.81,1.47,1.69
"DWG KIA",44,28,16,33,583,466,1.25,0.72,0.52,"4.4%",51,12.7,27,"34%","48%","59%","53%","59%","63%","40%","61%","64%","50.7%","53.1%",3.81,1.49,1.84
"Gen.G",44,24,20,33.3,406,363,1.12,0.52,-0.35,"-1.0%",46,8.6,-313,"61%","27%","39%","30%","36%","43%","33%","45%","52%","49.8%","48.0%",3.89,1.41,1.84
"Griffin",42,29,13,32.5,492,286,1.72,0.57,1.28,"9.2%",66.7,2.4,1662,"62%","71%","69%","45%","55%","58%","17%","62%","67%","51.5%","54.3%",3.7,1.44,1.86
"Hanwha Life Esports",42,15,27,33.1,398,431,0.92,0.6,-0.31,"-4.3%",41.8,-6.1,-484,"57%","50%","38%","52%","40%","36%","50%","43%","38%","49.5%","46.6%",3.64,1.53,1.7
"Jin Air Green Wings",40,4,36,33.9,282,546,0.52,0.61,-1.4,"-10.9%",35.1,-25.1,-1353,"40%","38%","23%","43%","40%","27%","27%","25%","29%","48.3%","42.3%",4.38,1.73,1.69
"Kingzone DragonX",46,23,23,33.8,503,535,0.94,0.67,-0.2,"-0.3%",48,2,-203,"50%","63%","50%","65%","59%","52%","56%","43%","45%","49.5%","49.5%",4.33,1.59,1.78
"KT Rolster",44,16,28,34.5,427,524,0.81,0.62,-0.52,"-1.9%",46,-9.6,-470,"55%","48%","34%","55%","41%","43%","44%","43%","42%","50.0%","47.6%",3.9,1.4,1.76
"Liiv SANDBOX",45,27,18,34,471,501,0.94,0.63,0.34,"1.7%",52.8,7.2,199,"44%","49%","67%","53%","60%","59%","79%","49%","56%","50.3%","52.7%",3.84,1.42,1.92
"SK Telecom T1",43,26,17,34.4,457,388,1.18,0.57,0.13,"2.7%",51,9.4,33,"47%","40%","56%","44%","53%","58%","73%","37%","48%","50.2%","54.5%",4.33,1.55,1.84
