Player,Team,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM
Kingen,KT Rolster,Top,1,0%,100%,1,3,2,1,100.00%,33.30%,42.90%,0%,-736,-903,-18,8,24.10%,141,10.80%,194,21.30%,0.63,0.2
Kramer,Afreeca Freecs,ADC,11,45%,18%,22,10,47,6.9,71.10%,22.70%,11.20%,18%,-204,-301,-12.4,9.5,28.50%,356,22.10%,273,25.30%,0.59,0.28
Kuro,Afreeca Freecs,Middle,46,57%,63%,117,66,219,5.1,72.40%,25.20%,17.70%,15%,-8,196,2.3,9.1,24.90%,453,27.90%,260,22.90%,0.58,0.32
Kuzan,Hanwha Life Esports,Middle,1,0%,0%,0,2,4,2,40.00%,0.00%,20.00%,0%,-728,-574,-5,8.3,22.70%,325,22.10%,223,18.90%,0.55,0.13
Lava,Hanwha Life Esports,Middle,45,56%,45%,108,91,206,3.5,74.90%,25.80%,21.80%,27%,-78,-119,-5.4,9,25.50%,450,27.00%,263,23.60%,0.5,0.22
Lehends,Griffin,Support,41,68%,51%,48,58,295,5.9,74.10%,10.40%,21.60%,34%,110,170,-0.1,1.7,5.50%,178,10.60%,128,10.80%,1.37,0.43
Leo,SK Telecom T1,ADC,3,33%,33%,5,4,14,4.8,73.10%,19.20%,11.10%,0%,-189,-10,-8,9.2,26.40%,475,28.30%,279,24.60%,0.55,0.22
Lindarang,Hanwha Life Esports,Top,45,56%,53%,89,103,166,2.5,60.90%,21.20%,24.60%,24%,-87,-99,-2.2,8.6,25.20%,406,24.00%,255,22.60%,0.5,0.12
MaHa,MVP,ADC,3,0%,67%,1,7,7,1.1,50.00%,6.30%,16.30%,0%,-128,-199,-4.3,9.2,28.20%,288,17.50%,224,24.50%,0.34,0.24
MaHa,MVP,Top,2,0%,50%,1,6,3,0.7,40.00%,10.00%,28.60%,0%,-690,-617,-11,7.4,23.00%,210,21.50%,158,18.70%,0.43,0.13
Mata,KT Rolster,Support,43,67%,30%,40,87,258,3.4,68.00%,9.10%,22.70%,26%,-24,-14,0.6,1.7,5.20%,128,7.20%,116,9.90%,1.78,0.45
Max,MVP,Support,33,27%,58%,21,77,144,2.1,67.60%,8.60%,22.10%,27%,-2,40,-2.6,1.6,5.50%,151,9.30%,109,10.40%,1.02,0.39
Max,MVP,Top,3,33%,67%,3,8,10,1.6,61.90%,14.30%,20.50%,0%,-370,-7,-10,7.1,20.90%,303,21.80%,194,19.00%,0.43,0.16
Mightybear,Hanwha Life Esports,Jungle,1,0%,0%,3,2,7,5,100.00%,30.00%,20.00%,100%,151,-373,7,5.9,17.80%,300,20.40%,246,20.80%,1.46,0.65
Motive,MVP,Support,8,25%,50%,1,21,37,1.8,79.20%,2.10%,22.80%,38%,-131,-224,-1.8,1.7,5.90%,138,10.40%,97,9.90%,1.08,0.25
Mowgli,Afreeca Freecs,Jungle,10,50%,67%,13,17,55,4,65.40%,12.50%,19.30%,20%,-144,-199,-4.8,4.6,11.90%,195,10.90%,165,14.90%,0.79,0.6
Nova,Jin Air Green Wings,Support,45,31%,49%,19,88,179,2.3,63.70%,6.10%,21.50%,18%,-104,-72,-0.8,1.5,4.80%,115,7.70%,95,9.00%,1.64,0.48
PawN,KT Rolster,Middle,1,0%,,4,5,1,1,71.40%,57.10%,33.30%,0%,48,-424,-5,9.9,26.80%,368,28.90%,275,28.00%,0.64,0.28
Peanut,Kingzone DragonX,Jungle,30,73%,50%,61,51,174,4.6,67.70%,17.60%,22.10%,53%,121,201,3.1,5.8,15.60%,225,12.30%,216,18.20%,0.53,0.64
Pilot,MVP,ADC,38,29%,61%,69,56,141,3.8,76.10%,25.00%,14.10%,16%,-55,-56,0.2,10.2,31.70%,500,31.60%,277,27.10%,0.41,0.27
Pirean,SK Telecom T1,Middle,19,53%,41%,45,34,65,3.2,67.50%,27.60%,19.90%,16%,-3,-10,1.2,9.5,26.20%,419,23.90%,270,23.30%,0.56,0.25
PraY,Kingzone DragonX,ADC,43,65%,54%,104,64,176,4.4,62.20%,23.10%,17.00%,19%,126,269,7.3,10.3,28.80%,480,27.90%,300,25.40%,0.46,0.35
Prince,bbq Olivers,ADC,4,0%,25%,4,14,12,1.1,55.20%,13.80%,21.90%,50%,314,66,8,8.6,29.30%,343,24.20%,231,26.00%,0.55,0.19
Rascal,Kingzone DragonX,Top,3,100%,33%,9,2,21,15,68.20%,20.50%,9.50%,0%,190,89,-6.7,8.7,26.00%,417,19.30%,305,24.70%,0.66,0.12
Rather,Griffin,Middle,8,63%,50%,19,12,32,4.3,75.00%,27.90%,22.60%,13%,-7,-255,3.9,9.9,25.60%,400,23.90%,273,23.20%,0.38,0.31
Ruler,Gen.G,ADC,44,64%,51%,118,54,159,5.1,73.30%,31.20%,15.50%,11%,125,-36,3,10.7,32.20%,569,34.30%,315,27.80%,0.44,0.43
Rush,KT Rolster,Jungle,7,57%,43%,14,23,30,1.9,61.10%,19.40%,31.90%,57%,5,-66,-5,5.5,15.10%,225,13.80%,206,17.80%,0.33,0.45
Sangyoon,Hanwha Life Esports,ADC,45,56%,45%,136,53,153,5.5,69.00%,32.50%,12.70%,27%,74,106,1.1,10.4,31.40%,511,30.10%,310,27.40%,0.38,0.28
Score,KT Rolster,Jungle,36,69%,52%,72,71,194,3.7,72.70%,19.70%,22.80%,47%,180,253,4.6,5.2,13.30%,222,12.10%,197,17.00%,0.37,0.57
SeongHwan,Hanwha Life Esports,Jungle,45,56%,48%,61,97,242,3.1,72.30%,14.60%,23.20%,51%,52,4,0.3,4.7,12.00%,182,11.20%,177,15.80%,0.78,0.52
Smeb,KT Rolster,Top,42,69%,72%,95,60,185,4.7,64.40%,21.80%,16.00%,29%,80,62,2.7,9.4,27.00%,476,25.60%,281,24.10%,0.5,0.18
SoHwan,Jin Air Green Wings,Top,45,31%,31%,52,76,139,2.5,61.40%,16.70%,18.50%,16%,-16,27,-0.7,9,25.50%,350,22.70%,247,23.60%,0.52,0.16
Spirit,Afreeca Freecs,Jungle,36,58%,53%,66,62,191,4.1,71.40%,18.30%,21.80%,33%,48,82,3.3,5.1,13.10%,207,12.80%,190,16.60%,0.69,0.53
Sword,Griffin,Top,41,68%,69%,101,67,187,4.3,62.20%,21.80%,24.90%,12%,-124,12,-3.8,8.9,25.00%,407,23.40%,269,22.70%,0.53,0.2
Tarzan,Griffin,Jungle,41,68%,51%,76,55,282,6.5,77.30%,16.40%,20.40%,46%,-63,-207,-5.7,5,13.10%,231,13.50%,195,16.50%,0.64,0.48
Teddy,Jin Air Green Wings,ADC,45,31%,56%,104,71,114,3.1,70.10%,33.40%,17.30%,20%,-49,-7,2.1,10.7,31.70%,498,31.30%,290,27.60%,0.43,0.34
Tempt,bbq Olivers,Middle,43,21%,44%,95,72,127,3.1,75.30%,32.20%,16.50%,14%,81,55,3.7,9.5,27.80%,405,28.30%,253,25.40%,0.53,0.18
Thal,SK Telecom T1,Top,44,45%,50%,89,100,141,2.3,58.40%,22.60%,21.90%,20%,27,51,-1.3,9.4,27.30%,419,24.00%,273,24.20%,0.47,0.15
Trick,bbq Olivers,Jungle,36,25%,65%,44,81,150,2.4,77.90%,17.70%,23.70%,25%,-125,-116,-2.4,5,13.80%,187,12.80%,171,17.30%,0.35,0.32
TusiN,Afreeca Freecs,Support,46,57%,53%,35,92,297,3.6,71.60%,7.50%,24.70%,24%,49,33,2.3,1.9,5.90%,130,8.00%,120,10.40%,1.72,0.4
Ucal,KT Rolster,Middle,42,69%,33%,114,69,174,4.2,66.80%,26.50%,18.80%,24%,4,29,-0.1,9.5,26.60%,442,23.60%,279,24.00%,0.5,0.19
UmTi,Jin Air Green Wings,Jungle,41,34%,37%,55,89,167,2.5,74.20%,18.40%,23.90%,46%,-12,-14,-1.5,5,12.90%,212,13.60%,174,16.60%,0.74,0.62
Viper,Griffin,ADC,41,68%,49%,104,46,219,7,69.80%,22.50%,17.10%,32%,17,149,2.6,10.3,29.60%,470,27.20%,302,25.80%,0.44,0.3
Wolf,SK Telecom T1,Support,6,0%,50%,2,25,27,1.2,87.90%,6.10%,27.50%,17%,-101,-284,-3.3,1.3,3.60%,152,11.60%,92,8.70%,1.13,0.42
Yaharong,Jin Air Green Wings,Middle,44,32%,68%,80,76,126,2.7,66.20%,25.70%,18.90%,23%,-7,6,1.2,9.1,25.40%,381,25.60%,243,23.40%,0.45,0.16
