gameid,league,year,split,date,playerid,side,position,player,team,champion,result,dragons,barons,towers,totalgold
TRKR1/450250,LCK,2015,Spring,2015-01-17 11:29:01,200,0,team,none,ROX Tigers,none,1,0.0,0.0,8.0,69459
TRKR1/450251,LCK,2015,Spring,2015-01-17 12:31:24,100,1,team,none,Jin Air Green Wings,none,0,0.0,0.0,3.0,47900
TRKR1/450251,LCK,2015,Spring,2015-01-17 12:31:24,200,0,team,none,ROX Tigers,none,1,0.0,1.0,11.0,66580
TRKR1/450302,LCK,2015,Spring,2015-01-21 08:56:22,100,1,team,none,KT Rolster,none,1,0.0,1.0,7.0,77964
TRKR1/450302,LCK,2015,Spring,2015-01-21 08:56:22,200,0,team,none,CJ Entus,none,0,0.0,0.0,8.0,76327
TRKR1/450303,LCK,2015,Spring,2015-01-21 10:23:32,100,1,team,none,CJ Entus,none,1,0.0,1.0,12.0,60481
TRKR1/450303,LCK,2015,Spring,2015-01-21 10:23:32,200,0,team,none,KT Rolster,none,0,0.0,0.0,2.0,42263
TRKR1/450304,LCK,2015,Spring,2015-01-21 11:12:49,100,1,team,none,KT Rolster,none,0,0.0,0.0,2.0,37456
TRKR1/450304,LCK,2015,Spring,2015-01-21 11:12:49,200,0,team,none,CJ Entus,none,1,0.0,0.0,10.0,51024
TRKR1/440313,LCK,2015,Spring,2015-01-23 07:57:46,100,1,team,none,Incredible Miracle,none,0,0.0,0.0,2.0,45048
TRKR1/440313,LCK,2015,Spring,2015-01-23 07:57:46,200,0,team,none,SK Telecom T1,none,1,0.0,1.0,10.0,65126
TRKR1/440316,LCK,2015,Spring,2015-01-23 09:08:10,100,1,team,none,SK Telecom T1,none,1,0.0,0.0,8.0,53391
TRKR1/440316,LCK,2015,Spring,2015-01-23 09:08:10,200,0,team,none,Incredible Miracle,none,0,0.0,0.0,2.0,39702
TRKR1/440323,LCK,2015,Spring,2015-01-23 10:10:07,100,1,team,none,Jin Air Green Wings,none,1,0.0,3.0,11.0,98561
TRKR1/440323,LCK,2015,Spring,2015-01-23 10:10:07,200,0,team,none,NaJin e-mFire,none,0,0.0,0.0,5.0,91417
TRKR1/440328,LCK,2015,Spring,2015-01-23 11:41:41,100,1,team,none,NaJin e-mFire,none,0,0.0,0.0,7.0,76322
TRKR1/440328,LCK,2015,Spring,2015-01-23 11:41:41,200,0,team,none,Jin Air Green Wings,none,1,0.0,3.0,10.0,82648
TRKR1/450380,LCK,2015,Spring,2015-01-24 08:02:14,100,1,team,none,CJ Entus,none,0,0.0,0.0,9.0,65186
TRKR1/450380,LCK,2015,Spring,2015-01-24 08:02:14,200,0,team,none,ROX Tigers,none,1,0.0,1.0,11.0,75260
TRKR1/450381,LCK,2015,Spring,2015-01-24 09:11:45,100,1,team,none,ROX Tigers,none,1,0.0,1.0,11.0,63628
TRKR1/450381,LCK,2015,Spring,2015-01-24 09:11:45,200,0,team,none,CJ Entus,none,0,0.0,0.0,2.0,45086
TRKR1/450390,LCK,2015,Spring,2015-01-24 10:21:05,100,1,team,none,Samsung Galaxy,none,0,0.0,0.0,1.0,48784
TRKR1/450390,LCK,2015,Spring,2015-01-24 10:21:05,200,0,team,none,KT Rolster,none,1,0.0,1.0,11.0,67322
TRKR1/450392,LCK,2015,Spring,2015-01-24 11:22:08,100,1,team,none,KT Rolster,none,1,0.0,1.0,9.0,54295
TRKR1/450392,LCK,2015,Spring,2015-01-24 11:22:08,200,0,team,none,Samsung Galaxy,none,0,0.0,0.0,0.0,36584
TRKR1/450440,LCK,2015,Spring,2015-01-28 08:55:58,100,1,team,none,Incredible Miracle,none,1,0.0,1.0,10.0,55610
TRKR1/450440,LCK,2015,Spring,2015-01-28 08:55:58,200,0,team,none,Jin Air Green Wings,none,0,0.0,0.0,1.0,38904
TRKR1/450443,LCK,2015,Spring,2015-01-28 10:17:54,100,1,team,none,Jin Air Green Wings,none,1,0.0,2.0,10.0,79479
TRKR1/450443,LCK,2015,Spring,2015-01-28 10:17:54,200,0,team,none,Incredible Miracle,none,0,0.0,1.0,2.0,70727
TRKR1/450445,LCK,2015,Spring,2015-01-28 11:18:13,100,1,team,none,Incredible Miracle,none,1,0.0,1.0,9.0,94468
TRKR1/450445,LCK,2015,Spring,2015-01-28 11:18:13,200,0,team,none,Jin Air Green Wings,none,0,0.0,2.0,3.0,95035
TRKR1/440452,LCK,2015,Spring,2015-01-30 08:00:13,100,1,team,none,CJ Entus,none,1,0.0,0.0,11.0,58063
TRKR1/440452,LCK,2015,Spring,2015-01-30 08:00:13,200,0,team,none,Samsung Galaxy,none,0,0.0,0.0,0.0,39462
TRKR1/450501,LCK,2015,Spring,2015-01-30 09:01:12,100,1,team,none,Samsung Galaxy,none,0,0.0,0.0,4.0,60223
TRKR1/450501,LCK,2015,Spring,2015-01-30 09:01:12,200,0,team,none,CJ Entus,none,1,0.0,1.0,9.0,72273
TRKR1/440467,LCK,2015,Spring,2015-01-30 10:24:56,100,1,team,none,ROX Tigers,none,1,0.0,1.0,11.0,61237
TRKR1/440467,LCK,2015,Spring,2015-01-30 10:24:56,200,0,team,none,KT Rolster,none,0,0.0,0.0,3.0,49090
TRKR1/450512,LCK,2015,Spring,2015-01-30 11:16:14,100,1,team,none,KT Rolster,none,0,0.0,0.0,3.0,48597
TRKR1/450512,LCK,2015,Spring,2015-01-30 11:16:14,200,0,team,none,ROX Tigers,none,1,0.0,1.0,10.0,65680
TRKR1/440498,LCK,2015,Spring,2015-01-31 07:57:58,100,1,team,none,Jin Air Green Wings,none,1,0.0,1.0,8.0,81958
TRKR1/440498,LCK,2015,Spring,2015-01-31 07:57:58,200,0,team,none,SK Telecom T1,none,0,0.0,0.0,3.0,72232
TRKR1/440499,LCK,2015,Spring,2015-01-31 09:19:04,100,1,team,none,SK Telecom T1,none,0,0.0,1.0,4.0,66707
TRKR1/440499,LCK,2015,Spring,2015-01-31 09:19:04,200,0,team,none,Jin Air Green Wings,none,1,0.0,1.0,11.0,81623
TRKR1/440510,LCK,2015,Spring,2015-01-31 10:42:05,100,1,team,none,Incredible Miracle,none,0,0.0,0.0,1.0,52669
TRKR1/440510,LCK,2015,Spring,2015-01-31 10:42:05,200,0,team,none,NaJin e-mFire,none,1,0.0,2.0,11.0,70011
TRKR1/450550,LCK,2015,Spring,2015-01-31 12:00:12,100,1,team,none,NaJin e-mFire,none,1,0.0,1.0,8.0,84617
TRKR1/450550,LCK,2015,Spring,2015-01-31 12:00:12,200,0,team,none,Incredible Miracle,none,0,0.0,2.0,6.0,83446
TRKR1/460066,LCK,2015,Spring,2015-02-04 08:58:07,100,1,team,none,SK Telecom T1,none,1,0.0,0.0,8.0,56567
TRKR1/460066,LCK,2015,Spring,2015-02-04 08:58:07,200,0,team,none,Samsung Galaxy,none,0,0.0,1.0,4.0,48915
TRKR1/460067,LCK,2015,Spring,2015-02-04 10:01:48,100,1,team,none,Samsung Galaxy,none,0,0.0,1.0,7.0,68864
TRKR1/460067,LCK,2015,Spring,2015-02-04 10:01:48,200,0,team,none,SK Telecom T1,none,1,0.0,1.0,7.0,77066
TRKR1/470081,LCK,2015,Spring,2015-02-06 08:58:37,100,1,team,none,NaJin e-mFire,none,0,0.0,0.0,8.0,55061
TRKR1/470081,LCK,2015,Spring,2015-02-06 08:58:37,200,0,team,none,ROX Tigers,none,1,0.0,2.0,9.0,66478
TRKR1/470083,LCK,2015,Spring,2015-02-06 10:06:23,100,1,team,none,ROX Tigers,none,1,0.0,2.0,10.0,63092
TRKR1/470083,LCK,2015,Spring,2015-02-06 10:06:23,200,0,team,none,NaJin e-mFire,none,0,0.0,0.0,1.0,43684
TRKR1/470115,LCK,2015,Spring,2015-02-07 07:53:21,100,1,team,none,Jin Air Green Wings,none,1,0.0,3.0,11.0,119939
TRKR1/470115,LCK,2015,Spring,2015-02-07 07:53:21,200,0,team,none,CJ Entus,none,0,0.0,2.0,6.0,122354
TRKR1/470116,LCK,2015,Spring,2015-02-07 09:44:38,100,1,team,none,CJ Entus,none,0,0.0,0.0,4.0,69519
TRKR1/470116,LCK,2015,Spring,2015-02-07 09:44:38,200,0,team,none,Jin Air Green Wings,none,1,0.0,2.0,11.0,86320
TRKR1/470126,LCK,2015,Spring,2015-02-07 11:14:42,100,1,team,none,KT Rolster,none,0,0.0,0.0,3.0,54159
TRKR1/470126,LCK,2015,Spring,2015-02-07 11:14:42,200,0,team,none,Incredible Miracle,none,1,0.0,2.0,11.0,73107
TRKR1/460156,LCK,2015,Spring,2015-02-07 12:15:50,100,1,team,none,Incredible Miracle,none,1,0.0,1.0,8.0,50709
TRKR1/460156,LCK,2015,Spring,2015-02-07 12:15:50,200,0,team,none,KT Rolster,none,0,0.0,0.0,2.0,37535
TRKR1/490036,LCK,2015,Spring,2015-02-11 08:59:18,100,1,team,none,Incredible Miracle,none,1,0.0,1.0,11.0,69083
TRKR1/490036,LCK,2015,Spring,2015-02-11 08:59:18,200,0,team,none,CJ Entus,none,0,0.0,0.0,4.0,49040
TRKR1/490037,LCK,2015,Spring,2015-02-11 10:03:03,100,1,team,none,CJ Entus,none,1,0.0,1.0,11.0,78418
TRKR1/490037,LCK,2015,Spring,2015-02-11 10:03:03,200,0,team,none,Incredible Miracle,none,0,0.0,1.0,8.0,68676
TRKR1/490038,LCK,2015,Spring,2015-02-11 11:08:30,100,1,team,none,Incredible Miracle,none,0,0.0,0.0,2.0,50010
TRKR1/490038,LCK,2015,Spring,2015-02-11 11:08:30,200,0,team,none,CJ Entus,none,1,0.0,1.0,9.0,65323
TRKR1/480093,LCK,2015,Spring,2015-02-13 08:56:49,100,1,team,none,KT Rolster,none,1,0.0,1.0,10.0,98613
TRKR1/480093,LCK,2015,Spring,2015-02-13 08:56:49,200,0,team,none,Jin Air Green Wings,none,0,0.0,1.0,6.0,89364
TRKR1/490097,LCK,2015,Spring,2015-02-13 10:27:21,100,1,team,none,Jin Air Green Wings,none,1,0.0,1.0,8.0,75918
TRKR1/490097,LCK,2015,Spring,2015-02-13 10:27:21,200,0,team,none,KT Rolster,none,0,0.0,0.0,3.0,65049
TRKR1/480095,LCK,2015,Spring,2015-02-13 11:33:18,100,1,team,none,KT Rolster,none,1,0.0,1.0,11.0,65986
