gameid,league,year,split,date,playerid,side,position,player,team,champion,result,dragons,barons,towers,totalgold
TRKR1/1110120,LCK,2016,Summer,2016-06-28 10:31:54,100,1,team,none,KT Rolster,none,0,4.0,2.0,8.0,128432
TRKR1/1110120,LCK,2016,Summer,2016-06-28 10:31:54,200,0,team,none,Jin Air Green Wings,none,1,2.0,1.0,7.0,119908
TRKR1/1110139,LCK,2016,Summer,2016-06-28 13:51:23,100,1,team,none,Jin Air Green Wings,none,0,1.0,0.0,2.0,63134
TRKR1/1110139,LCK,2016,Summer,2016-06-28 13:51:23,200,0,team,none,KT Rolster,none,1,4.0,2.0,11.0,76333
TRKR1/1110140,LCK,2016,Summer,2016-06-28 14:56:52,100,1,team,none,KT Rolster,none,1,4.0,1.0,8.0,94909
TRKR1/1110140,LCK,2016,Summer,2016-06-28 14:56:52,200,0,team,none,Jin Air Green Wings,none,0,1.0,2.0,8.0,90927
TRKR1/1110166,LCK,2016,Summer,2016-06-29 07:56:26,100,1,team,none,Afreeca Freecs,none,1,3.0,1.0,10.0,59268
TRKR1/1110166,LCK,2016,Summer,2016-06-29 07:56:26,200,0,team,none,MVP,none,0,0.0,0.0,1.0,44080
TRKR1/1110170,LCK,2016,Summer,2016-06-29 08:49:00,100,1,team,none,MVP,none,1,2.0,1.0,6.0,53002
TRKR1/1110170,LCK,2016,Summer,2016-06-29 08:49:00,200,0,team,none,Afreeca Freecs,none,0,0.0,0.0,5.0,50744
TRKR1/1110173,LCK,2016,Summer,2016-06-29 09:38:57,100,1,team,none,Afreeca Freecs,none,1,1.0,1.0,11.0,61454
TRKR1/1110173,LCK,2016,Summer,2016-06-29 09:38:57,200,0,team,none,MVP,none,0,2.0,0.0,1.0,43014
TRKR1/1120204,LCK,2016,Summer,2016-06-29 10:22:50,100,1,team,none,SK Telecom T1,none,0,1.0,0.0,3.0,62185
TRKR1/1120204,LCK,2016,Summer,2016-06-29 10:22:50,200,0,team,none,ESC Ever,none,1,3.0,1.0,10.0,75711
TRKR1/1120219,LCK,2016,Summer,2016-06-29 11:55:47,100,1,team,none,ESC Ever,none,0,0.0,0.0,1.0,52326
TRKR1/1120219,LCK,2016,Summer,2016-06-29 11:55:47,200,0,team,none,SK Telecom T1,none,1,3.0,1.0,8.0,61835
TRKR1/1120222,LCK,2016,Summer,2016-06-29 12:57:16,100,1,team,none,SK Telecom T1,none,0,0.0,0.0,2.0,61833
TRKR1/1120222,LCK,2016,Summer,2016-06-29 12:57:16,200,0,team,none,ESC Ever,none,1,5.0,3.0,11.0,78000
TRKR1/1110331,LCK,2016,Summer,2016-07-04 10:32:35,100,1,team,none,Afreeca Freecs,none,0,2.0,1.0,3.0,73432
TRKR1/1110331,LCK,2016,Summer,2016-07-04 10:32:35,200,0,team,none,KT Rolster,none,1,2.0,2.0,10.0,82987
TRKR1/1110349,LCK,2016,Summer,2016-07-04 12:08:10,100,1,team,none,KT Rolster,none,0,1.0,0.0,2.0,57976
TRKR1/1110349,LCK,2016,Summer,2016-07-04 12:08:10,200,0,team,none,Afreeca Freecs,none,1,3.0,1.0,9.0,69539
TRKR1/1110350,LCK,2016,Summer,2016-07-04 13:11:22,100,1,team,none,Afreeca Freecs,none,1,1.0,2.0,8.0,64049
TRKR1/1110350,LCK,2016,Summer,2016-07-04 13:11:22,200,0,team,none,KT Rolster,none,0,2.0,0.0,4.0,56516
TRKR1/1120423,LCK,2016,Summer,2016-07-05 10:42:51,100,1,team,none,Longzhu Gaming,none,0,1.0,0.0,2.0,59413
TRKR1/1120423,LCK,2016,Summer,2016-07-05 10:42:51,200,0,team,none,MVP,none,1,3.0,2.0,10.0,73540
TRKR1/1120433,LCK,2016,Summer,2016-07-05 11:51:45,100,1,team,none,MVP,none,1,1.0,1.0,10.0,59149
TRKR1/1120433,LCK,2016,Summer,2016-07-05 11:51:45,200,0,team,none,Longzhu Gaming,none,0,1.0,0.0,1.0,41819
TRKR1/1120460,LCK,2016,Summer,2016-07-06 07:53:10,100,1,team,none,Samsung Galaxy,none,1,0.0,1.0,8.0,76142
TRKR1/1120460,LCK,2016,Summer,2016-07-06 07:53:10,200,0,team,none,ESC Ever,none,0,3.0,1.0,4.0,67973
TRKR1/1120466,LCK,2016,Summer,2016-07-06 08:57:28,100,1,team,none,ESC Ever,none,0,3.0,0.0,2.0,53092
TRKR1/1120466,LCK,2016,Summer,2016-07-06 08:57:28,200,0,team,none,Samsung Galaxy,none,1,1.0,1.0,8.0,62602
TRKR1/1110468,LCK,2016,Summer,2016-07-06 10:45:02,100,1,team,none,Jin Air Green Wings,none,0,0.0,0.0,1.0,74593
TRKR1/1110468,LCK,2016,Summer,2016-07-06 10:45:02,200,0,team,none,CJ Entus,none,1,5.0,3.0,11.0,91591
TRKR1/1110475,LCK,2016,Summer,2016-07-06 12:03:11,100,1,team,none,CJ Entus,none,1,5.0,2.0,11.0,90633
TRKR1/1110475,LCK,2016,Summer,2016-07-06 12:03:11,200,0,team,none,Jin Air Green Wings,none,0,0.0,1.0,4.0,76700
TRKR1/1110533,LCK,2016,Summer,2016-07-07 10:54:16,100,1,team,none,SK Telecom T1,none,1,3.0,1.0,11.0,82522
TRKR1/1110533,LCK,2016,Summer,2016-07-07 10:54:16,200,0,team,none,ROX Tigers,none,0,2.0,0.0,3.0,68682
TRKR1/1110540,LCK,2016,Summer,2016-07-07 12:03:57,100,1,team,none,ROX Tigers,none,0,1.0,0.0,5.0,77328
TRKR1/1110540,LCK,2016,Summer,2016-07-07 12:03:57,200,0,team,none,SK Telecom T1,none,1,3.0,2.0,11.0,89486
TRKR1/1120549,LCK,2016,Summer,2016-07-08 07:45:42,100,1,team,none,Longzhu Gaming,none,0,3.0,1.0,4.0,79830
TRKR1/1120549,LCK,2016,Summer,2016-07-08 07:45:42,200,0,team,none,Samsung Galaxy,none,1,3.0,1.0,11.0,86823
TRKR1/1120561,LCK,2016,Summer,2016-07-08 09:05:17,100,1,team,none,Samsung Galaxy,none,1,2.0,2.0,10.0,66503
TRKR1/1120561,LCK,2016,Summer,2016-07-08 09:05:17,200,0,team,none,Longzhu Gaming,none,0,2.0,0.0,2.0,55120
TRKR1/1120569,LCK,2016,Summer,2016-07-08 10:41:17,100,1,team,none,CJ Entus,none,1,4.0,0.0,9.0,81000
TRKR1/1120569,LCK,2016,Summer,2016-07-08 10:41:17,200,0,team,none,MVP,none,0,0.0,2.0,5.0,78084
TRKR1/1120572,LCK,2016,Summer,2016-07-08 12:02:04,100,1,team,none,MVP,none,1,0.0,1.0,8.0,46621
TRKR1/1120572,LCK,2016,Summer,2016-07-08 12:02:04,200,0,team,none,CJ Entus,none,0,1.0,0.0,3.0,35292
TRKR1/1120574,LCK,2016,Summer,2016-07-08 12:51:17,100,1,team,none,CJ Entus,none,0,1.0,0.0,2.0,46225
TRKR1/1120574,LCK,2016,Summer,2016-07-08 12:51:17,200,0,team,none,MVP,none,1,2.0,1.0,11.0,59094
TRKR1/1120588,LCK,2016,Summer,2016-07-09 04:54:24,100,1,team,none,SK Telecom T1,none,0,0.0,0.0,2.0,49954
TRKR1/1120588,LCK,2016,Summer,2016-07-09 04:54:24,200,0,team,none,KT Rolster,none,1,4.0,2.0,9.0,62177
TRKR1/1120591,LCK,2016,Summer,2016-07-09 05:51:42,100,1,team,none,KT Rolster,none,0,2.0,0.0,3.0,61763
TRKR1/1120591,LCK,2016,Summer,2016-07-09 05:51:42,200,0,team,none,SK Telecom T1,none,1,3.0,2.0,11.0,72405
TRKR1/1120592,LCK,2016,Summer,2016-07-09 06:55:41,100,1,team,none,SK Telecom T1,none,1,1.0,0.0,7.0,54558
TRKR1/1120592,LCK,2016,Summer,2016-07-09 06:55:41,200,0,team,none,KT Rolster,none,0,2.0,1.0,3.0,47870
TRKR1/1120595,LCK,2016,Summer,2016-07-09 07:45:21,100,1,team,none,ROX Tigers,none,1,3.0,1.0,11.0,68806
TRKR1/1120595,LCK,2016,Summer,2016-07-09 07:45:21,200,0,team,none,Jin Air Green Wings,none,0,1.0,0.0,3.0,56290
TRKR1/1120612,LCK,2016,Summer,2016-07-09 09:10:57,100,1,team,none,Jin Air Green Wings,none,1,2.0,1.0,8.0,53507
TRKR1/1120612,LCK,2016,Summer,2016-07-09 09:10:57,200,0,team,none,ROX Tigers,none,0,1.0,0.0,0.0,41798
TRKR1/1120613,LCK,2016,Summer,2016-07-09 10:00:07,100,1,team,none,ROX Tigers,none,1,2.0,1.0,7.0,77571
TRKR1/1120613,LCK,2016,Summer,2016-07-09 10:00:07,200,0,team,none,Jin Air Green Wings,none,0,3.0,1.0,5.0,72692
TRKR1/1130055,LCK,2016,Summer,2016-07-11 10:45:50,100,1,team,none,MVP,none,0,1.0,0.0,3.0,52075
TRKR1/1130055,LCK,2016,Summer,2016-07-11 10:45:50,200,0,team,none,SK Telecom T1,none,1,2.0,1.0,11.0,63321
TRKR1/1130062,LCK,2016,Summer,2016-07-11 11:49:49,100,1,team,none,SK Telecom T1,none,1,3.0,1.0,11.0,71676
TRKR1/1130062,LCK,2016,Summer,2016-07-11 11:49:49,200,0,team,none,MVP,none,0,0.0,1.0,2.0,62507
TRKR1/1130135,LCK,2016,Summer,2016-07-12 10:47:14,100,1,team,none,Jin Air Green Wings,none,0,3.0,0.0,1.0,62761
TRKR1/1130135,LCK,2016,Summer,2016-07-12 10:47:14,200,0,team,none,Samsung Galaxy,none,1,1.0,1.0,11.0,83151
TRKR1/1130143,LCK,2016,Summer,2016-07-12 11:53:52,100,1,team,none,Samsung Galaxy,none,1,5.0,1.0,11.0,72091
TRKR1/1130143,LCK,2016,Summer,2016-07-12 11:53:52,200,0,team,none,Jin Air Green Wings,none,0,0.0,0.0,4.0,60641
TRKR1/1130187,LCK,2016,Summer,2016-07-13 07:40:47,100,1,team,none,ROX Tigers,none,1,3.0,1.0,7.0,73390
TRKR1/1130187,LCK,2016,Summer,2016-07-13 07:40:47,200,0,team,none,KT Rolster,none,0,2.0,1.0,3.0,66529
TRKR1/1130203,LCK,2016,Summer,2016-07-13 09:00:53,100,1,team,none,KT Rolster,none,0,1.0,0.0,1.0,49612
TRKR1/1130203,LCK,2016,Summer,2016-07-13 09:00:53,200,0,team,none,ROX Tigers,none,1,2.0,2.0,11.0,65239
TRKR1/1130222,LCK,2016,Summer,2016-07-13 10:51:38,100,1,team,none,ESC Ever,none,1,2.0,1.0,11.0,62855
TRKR1/1130222,LCK,2016,Summer,2016-07-13 10:51:38,200,0,team,none,Afreeca Freecs,none,0,0.0,0.0,3.0,45332
TRKR1/1130226,LCK,2016,Summer,2016-07-13 11:56:14,100,1,team,none,Afreeca Freecs,none,1,2.0,1.0,11.0,74186
TRKR1/1130226,LCK,2016,Summer,2016-07-13 11:56:14,200,0,team,none,ESC Ever,none,0,2.0,0.0,1.0,62946
TRKR1/1130229,LCK,2016,Summer,2016-07-13 13:00:36,100,1,team,none,ESC Ever,none,1,1.0,1.0,9.0,58185
TRKR1/1130229,LCK,2016,Summer,2016-07-13 13:00:36,200,0,team,none,Afreeca Freecs,none,0,2.0,0.0,3.0,48679
TRKR1/1130274,LCK,2016,Summer,2016-07-14 10:55:20,100,1,team,none,CJ Entus,none,0,1.0,0.0,0.0,45448
TRKR1/1130274,LCK,2016,Summer,2016-07-14 10:55:20,200,0,team,none,Longzhu Gaming,none,1,2.0,1.0,10.0,63067
TRKR1/1130279,LCK,2016,Summer,2016-07-14 12:20:59,100,1,team,none,Longzhu Gaming,none,1,3.0,1.0,9.0,63898
TRKR1/1130279,LCK,2016,Summer,2016-07-14 12:20:59,200,0,team,none,CJ Entus,none,0,0.0,0.0,3.0,53140
TRKR1/1130302,LCK,2016,Summer,2016-07-15 07:44:46,100,1,team,none,Jin Air Green Wings,none,0,0.0,0.0,1.0,47691
TRKR1/1130302,LCK,2016,Summer,2016-07-15 07:44:46,200,0,team,none,KT Rolster,none,1,4.0,1.0,11.0,64099
TRKR1/1130310,LCK,2016,Summer,2016-07-15 08:52:26,100,1,team,none,KT Rolster,none,0,0.0,0.0,5.0,89373
TRKR1/1130310,LCK,2016,Summer,2016-07-15 08:52:26,200,0,team,none,Jin Air Green Wings,none,1,3.0,2.0,10.0,92804
TRKR1/1130314,LCK,2016,Summer,2016-07-15 10:09:08,100,1,team,none,Jin Air Green Wings,none,0,1.0,0.0,3.0,58723
TRKR1/1130314,LCK,2016,Summer,2016-07-15 10:09:08,200,0,team,none,KT Rolster,none,1,4.0,2.0,8.0,67640
TRKR1/1130318,LCK,2016,Summer,2016-07-15 11:19:27,100,1,team,none,MVP,none,0,2.0,0.0,7.0,63578
TRKR1/1130318,LCK,2016,Summer,2016-07-15 11:19:27,200,0,team,none,Afreeca Freecs,none,1,2.0,2.0,9.0,68462
TRKR1/1130337,LCK,2016,Summer,2016-07-15 12:36:15,100,1,team,none,Afreeca Freecs,none,1,3.0,2.0,9.0,78016
TRKR1/1130337,LCK,2016,Summer,2016-07-15 12:36:15,200,0,team,none,MVP,none,0,2.0,0.0,4.0,68178
TRKR1/1130349,LCK,2016,Summer,2016-07-16 04:47:32,100,1,team,none,Samsung Galaxy,none,0,1.0,0.0,3.0,50474
TRKR1/1130349,LCK,2016,Summer,2016-07-16 04:47:32,200,0,team,none,ROX Tigers,none,1,3.0,1.0,11.0,62267
TRKR1/1130353,LCK,2016,Summer,2016-07-16 05:51:41,100,1,team,none,ROX Tigers,none,1,3.0,1.0,11.0,60365
TRKR1/1130353,LCK,2016,Summer,2016-07-16 05:51:41,200,0,team,none,Samsung Galaxy,none,0,0.0,0.0,4.0,48838
TRKR1/1130367,LCK,2016,Summer,2016-07-16 07:54:03,100,1,team,none,Longzhu Gaming,none,1,4.0,1.0,10.0,60727
TRKR1/1130367,LCK,2016,Summer,2016-07-16 07:54:03,200,0,team,none,ESC Ever,none,0,0.0,0.0,4.0,53588
TRKR1/1130370,LCK,2016,Summer,2016-07-16 08:52:00,100,1,team,none,ESC Ever,none,1,4.0,1.0,11.0,68364
TRKR1/1130370,LCK,2016,Summer,2016-07-16 08:52:00,200,0,team,none,Longzhu Gaming,none,0,1.0,0.0,3.0,58003
TRKR1/1130373,LCK,2016,Summer,2016-07-16 09:49:48,100,1,team,none,Longzhu Gaming,none,1,2.0,1.0,11.0,71121
TRKR1/1130373,LCK,2016,Summer,2016-07-16 09:49:48,200,0,team,none,ESC Ever,none,0,2.0,0.0,1.0,55016
TRKR1/1130474,LCK,2016,Summer,2016-07-18 10:45:39,100,1,team,none,Longzhu Gaming,none,0,1.0,0.0,4.0,71887
TRKR1/1130474,LCK,2016,Summer,2016-07-18 10:45:39,200,0,team,none,ROX Tigers,none,1,3.0,1.0,11.0,82904
TRKR1/1130482,LCK,2016,Summer,2016-07-18 11:55:15,100,1,team,none,ROX Tigers,none,1,1.0,1.0,8.0,61508
TRKR1/1130482,LCK,2016,Summer,2016-07-18 11:55:15,200,0,team,none,Longzhu Gaming,none,0,1.0,0.0,2.0,50628
TRKR1/1140526,LCK,2016,Summer,2016-07-19 10:42:47,100,1,team,none,KT Rolster,none,1,4.0,1.0,11.0,68329
TRKR1/1140526,LCK,2016,Summer,2016-07-19 10:42:47,200,0,team,none,MVP,none,0,0.0,0.0,2.0,53819
TRKR1/1140538,LCK,2016,Summer,2016-07-19 11:49:36,100,1,team,none,MVP,none,0,0.0,0.0,0.0,46545
TRKR1/1140538,LCK,2016,Summer,2016-07-19 11:49:36,200,0,team,none,KT Rolster,none,1,3.0,1.0,10.0,60639
TRKR1/1130572,LCK,2016,Summer,2016-07-20 07:55:45,100,1,team,none,Samsung Galaxy,none,0,2.0,0.0,3.0,65051
TRKR1/1130572,LCK,2016,Summer,2016-07-20 07:55:45,200,0,team,none,SK Telecom T1,none,1,3.0,2.0,11.0,73867
TRKR1/1130578,LCK,2016,Summer,2016-07-20 08:55:23,100,1,team,none,SK Telecom T1,none,1,2.0,0.0,9.0,77431
TRKR1/1130578,LCK,2016,Summer,2016-07-20 08:55:23,200,0,team,none,Samsung Galaxy,none,0,1.0,1.0,3.0,65740
TRKR1/1140595,LCK,2016,Summer,2016-07-20 10:42:34,100,1,team,none,Afreeca Freecs,none,0,1.0,0.0,4.0,62074
TRKR1/1140595,LCK,2016,Summer,2016-07-20 10:42:34,200,0,team,none,CJ Entus,none,1,4.0,2.0,11.0,78534
TRKR1/1140607,LCK,2016,Summer,2016-07-20 11:55:36,100,1,team,none,CJ Entus,none,0,0.0,0.0,1.0,58827
TRKR1/1140607,LCK,2016,Summer,2016-07-20 11:55:36,200,0,team,none,Afreeca Freecs,none,1,5.0,1.0,11.0,76684
TRKR1/1140608,LCK,2016,Summer,2016-07-20 13:11:05,100,1,team,none,Afreeca Freecs,none,1,5.0,1.0,11.0,72720
TRKR1/1140608,LCK,2016,Summer,2016-07-20 13:11:05,200,0,team,none,CJ Entus,none,0,0.0,1.0,3.0,59901
TRKR1/1140666,LCK,2016,Summer,2016-07-21 10:35:43,100,1,team,none,ROX Tigers,none,1,2.0,1.0,10.0,63689
TRKR1/1140666,LCK,2016,Summer,2016-07-21 10:35:43,200,0,team,none,ESC Ever,none,0,0.0,0.0,3.0,47450
TRKR1/1140685,LCK,2016,Summer,2016-07-21 11:57:04,100,1,team,none,ESC Ever,none,0,1.0,0.0,3.0,45454
TRKR1/1140685,LCK,2016,Summer,2016-07-21 11:57:04,200,0,team,none,ROX Tigers,none,1,2.0,1.0,8.0,54831
TRKR1/1140705,LCK,2016,Summer,2016-07-22 07:42:36,100,1,team,none,Longzhu Gaming,none,1,2.0,1.0,10.0,81623
TRKR1/1140705,LCK,2016,Summer,2016-07-22 07:42:36,200,0,team,none,Jin Air Green Wings,none,0,1.0,0.0,3.0,67892
TRKR1/1140712,LCK,2016,Summer,2016-07-22 09:03:29,100,1,team,none,Jin Air Green Wings,none,1,3.0,1.0,11.0,102147
TRKR1/1140712,LCK,2016,Summer,2016-07-22 09:03:29,200,0,team,none,Longzhu Gaming,none,0,2.0,2.0,8.0,100302
TRKR1/1140715,LCK,2016,Summer,2016-07-22 10:17:09,100,1,team,none,Longzhu Gaming,none,1,2.0,3.0,11.0,83768
TRKR1/1140715,LCK,2016,Summer,2016-07-22 10:17:09,200,0,team,none,Jin Air Green Wings,none,0,2.0,0.0,1.0,66470
TRKR1/1140718,LCK,2016,Summer,2016-07-22 11:14:40,100,1,team,none,Samsung Galaxy,none,1,3.0,1.0,11.0,70832
TRKR1/1140718,LCK,2016,Summer,2016-07-22 11:14:40,200,0,team,none,CJ Entus,none,0,1.0,0.0,3.0,57156
TRKR1/1140737,LCK,2016,Summer,2016-07-22 12:37:04,100,1,team,none,CJ Entus,none,0,1.0,0.0,2.0,62809
TRKR1/1140737,LCK,2016,Summer,2016-07-22 12:37:04,200,0,team,none,Samsung Galaxy,none,1,3.0,1.0,11.0,80158
TRKR1/1140767,LCK,2016,Summer,2016-07-23 04:49:54,100,1,team,none,Afreeca Freecs,none,1,0.0,2.0,11.0,76766
TRKR1/1140767,LCK,2016,Summer,2016-07-23 04:49:54,200,0,team,none,SK Telecom T1,none,0,5.0,0.0,3.0,71738
TRKR1/1140786,LCK,2016,Summer,2016-07-23 05:59:37,100,1,team,none,SK Telecom T1,none,0,3.0,0.0,4.0,56749
TRKR1/1140786,LCK,2016,Summer,2016-07-23 05:59:37,200,0,team,none,Afreeca Freecs,none,1,1.0,1.0,8.0,62650
TRKR1/1140808,LCK,2016,Summer,2016-07-23 07:41:12,100,1,team,none,ESC Ever,none,0,0.0,0.0,4.0,67246
TRKR1/1140808,LCK,2016,Summer,2016-07-23 07:41:12,200,0,team,none,MVP,none,1,4.0,2.0,9.0,76139
TRKR1/1140814,LCK,2016,Summer,2016-07-23 08:59:56,100,1,team,none,MVP,none,0,1.0,0.0,2.0,48300
TRKR1/1140814,LCK,2016,Summer,2016-07-23 08:59:56,200,0,team,none,ESC Ever,none,1,2.0,2.0,9.0,62179
TRKR1/1140817,LCK,2016,Summer,2016-07-23 09:58:10,100,1,team,none,ESC Ever,none,1,1.0,2.0,11.0,67860
TRKR1/1140817,LCK,2016,Summer,2016-07-23 09:58:10,200,0,team,none,MVP,none,0,2.0,0.0,2.0,55909
TRKR1/1150027,LCK,2016,Summer,2016-07-25 10:50:06,100,1,team,none,CJ Entus,none,0,2.0,1.0,6.0,74579
TRKR1/1150027,LCK,2016,Summer,2016-07-25 10:50:06,200,0,team,none,SK Telecom T1,none,1,3.0,1.0,10.0,84395
TRKR1/1150031,LCK,2016,Summer,2016-07-25 11:58:37,100,1,team,none,SK Telecom T1,none,0,2.0,0.0,3.0,48972
TRKR1/1150031,LCK,2016,Summer,2016-07-25 11:58:37,200,0,team,none,CJ Entus,none,1,0.0,1.0,10.0,59198
TRKR1/1150035,LCK,2016,Summer,2016-07-25 12:56:06,100,1,team,none,CJ Entus,none,0,0.0,0.0,1.0,49240
TRKR1/1150035,LCK,2016,Summer,2016-07-25 12:56:06,200,0,team,none,SK Telecom T1,none,1,4.0,1.0,8.0,62307
TRKR1/1150107,LCK,2016,Summer,2016-07-26 10:47:09,100,1,team,none,Afreeca Freecs,none,1,0.0,2.0,9.0,83989
TRKR1/1150107,LCK,2016,Summer,2016-07-26 10:47:09,200,0,team,none,Jin Air Green Wings,none,0,4.0,0.0,3.0,68976
TRKR1/1150112,LCK,2016,Summer,2016-07-26 12:26:21,100,1,team,none,Jin Air Green Wings,none,1,4.0,2.0,11.0,81779
TRKR1/1150112,LCK,2016,Summer,2016-07-26 12:26:21,200,0,team,none,Afreeca Freecs,none,0,1.0,0.0,3.0,70097
TRKR1/1150114,LCK,2016,Summer,2016-07-26 13:35:21,100,1,team,none,Afreeca Freecs,none,0,2.0,0.0,2.0,93325
TRKR1/1150114,LCK,2016,Summer,2016-07-26 13:35:21,200,0,team,none,Jin Air Green Wings,none,1,4.0,3.0,11.0,101417
TRKR1/1160150,LCK,2016,Summer,2016-07-27 07:42:52,100,1,team,none,KT Rolster,none,1,4.0,1.0,11.0,81109
TRKR1/1160150,LCK,2016,Summer,2016-07-27 07:42:52,200,0,team,none,Longzhu Gaming,none,0,1.0,0.0,3.0,66960
TRKR1/1160155,LCK,2016,Summer,2016-07-27 09:02:17,100,1,team,none,Longzhu Gaming,none,0,2.0,1.0,2.0,90909
TRKR1/1160155,LCK,2016,Summer,2016-07-27 09:02:17,200,0,team,none,KT Rolster,none,1,3.0,1.0,11.0,103491
TRKR1/1160184,LCK,2016,Summer,2016-07-27 10:38:02,100,1,team,none,ESC Ever,none,0,2.0,0.0,3.0,64521
TRKR1/1160184,LCK,2016,Summer,2016-07-27 10:38:02,200,0,team,none,SK Telecom T1,none,1,4.0,3.0,11.0,85296
TRKR1/1160199,LCK,2016,Summer,2016-07-27 12:04:02,100,1,team,none,SK Telecom T1,none,1,2.0,1.0,8.0,57866
TRKR1/1160199,LCK,2016,Summer,2016-07-27 12:04:02,200,0,team,none,ESC Ever,none,0,1.0,0.0,0.0,41415
TRKR1/1160229,LCK,2016,Summer,2016-07-28 10:49:16,100,1,team,none,MVP,none,1,4.0,2.0,10.0,81018
TRKR1/1160229,LCK,2016,Summer,2016-07-28 10:49:16,200,0,team,none,Jin Air Green Wings,none,0,1.0,0.0,3.0,61722
TRKR1/1160238,LCK,2016,Summer,2016-07-28 11:59:04,100,1,team,none,Jin Air Green Wings,none,0,0.0,0.0,2.0,43206
TRKR1/1160238,LCK,2016,Summer,2016-07-28 11:59:04,200,0,team,none,MVP,none,1,3.0,1.0,11.0,56918
TRKR1/1160268,LCK,2016,Summer,2016-07-29 07:51:25,100,1,team,none,Longzhu Gaming,none,1,3.0,1.0,11.0,64537
TRKR1/1160268,LCK,2016,Summer,2016-07-29 07:51:25,200,0,team,none,Afreeca Freecs,none,0,0.0,0.0,3.0,51524
TRKR1/1160274,LCK,2016,Summer,2016-07-29 08:52:36,100,1,team,none,Afreeca Freecs,none,1,3.0,1.0,8.0,76618
TRKR1/1160274,LCK,2016,Summer,2016-07-29 08:52:36,200,0,team,none,Longzhu Gaming,none,0,1.0,1.0,3.0,71017
TRKR1/1160276,LCK,2016,Summer,2016-07-29 10:00:51,100,1,team,none,Longzhu Gaming,none,1,2.0,2.0,11.0,61291
TRKR1/1160276,LCK,2016,Summer,2016-07-29 10:00:51,200,0,team,none,Afreeca Freecs,none,0,0.0,0.0,1.0,47969
TRKR1/1160277,LCK,2016,Summer,2016-07-29 10:50:08,100,1,team,none,KT Rolster,none,1,3.0,0.0,9.0,77634
TRKR1/1160277,LCK,2016,Summer,2016-07-29 10:50:08,200,0,team,none,ESC Ever,none,0,0.0,0.0,0.0,55493
TRKR1/1160289,LCK,2016,Summer,2016-07-29 12:25:40,100,1,team,none,ESC Ever,none,1,5.0,2.0,11.0,82896
TRKR1/1160289,LCK,2016,Summer,2016-07-29 12:25:40,200,0,team,none,KT Rolster,none,0,0.0,0.0,3.0,69101
TRKR1/1160290,LCK,2016,Summer,2016-07-29 13:27:45,100,1,team,none,KT Rolster,none,1,3.0,1.0,9.0,92369
TRKR1/1160290,LCK,2016,Summer,2016-07-29 13:27:45,200,0,team,none,ESC Ever,none,0,2.0,1.0,4.0,86377
TRKR1/1160313,LCK,2016,Summer,2016-07-30 04:56:04,100,1,team,none,MVP,none,1,5.0,3.0,9.0,75963
TRKR1/1160313,LCK,2016,Summer,2016-07-30 04:56:04,200,0,team,none,Samsung Galaxy,none,0,0.0,0.0,3.0,62087
TRKR1/1160317,LCK,2016,Summer,2016-07-30 06:11:29,100,1,team,none,Samsung Galaxy,none,1,2.0,1.0,10.0,66635
TRKR1/1160317,LCK,2016,Summer,2016-07-30 06:11:29,200,0,team,none,MVP,none,0,2.0,0.0,2.0,52220
TRKR1/1160320,LCK,2016,Summer,2016-07-30 07:08:41,100,1,team,none,MVP,none,0,3.0,1.0,7.0,93882
TRKR1/1160320,LCK,2016,Summer,2016-07-30 07:08:41,200,0,team,none,Samsung Galaxy,none,1,3.0,2.0,10.0,102489
TRKR1/1160340,LCK,2016,Summer,2016-07-30 08:44:56,100,1,team,none,CJ Entus,none,0,1.0,2.0,5.0,76866
TRKR1/1160340,LCK,2016,Summer,2016-07-30 08:44:56,200,0,team,none,ROX Tigers,none,1,4.0,0.0,11.0,81651
TRKR1/1160350,LCK,2016,Summer,2016-07-30 09:42:15,100,1,team,none,ROX Tigers,none,1,2.0,1.0,9.0,57993
TRKR1/1160350,LCK,2016,Summer,2016-07-30 09:42:15,200,0,team,none,CJ Entus,none,0,1.0,0.0,2.0,43212
TRKR1/1150428,LCK,2016,Summer,2016-08-01 10:40:45,100,1,team,none,Samsung Galaxy,none,0,0.0,0.0,0.0,59369
TRKR1/1150428,LCK,2016,Summer,2016-08-01 10:40:45,200,0,team,none,Afreeca Freecs,none,1,4.0,2.0,9.0,74123
TRKR1/1150436,LCK,2016,Summer,2016-08-01 11:51:01,100,1,team,none,Afreeca Freecs,none,0,0.0,0.0,2.0,61451
TRKR1/1150436,LCK,2016,Summer,2016-08-01 11:51:01,200,0,team,none,Samsung Galaxy,none,1,5.0,1.0,9.0,76966
TRKR1/1160456,LCK,2016,Summer,2016-08-01 13:04:03,100,1,team,none,Samsung Galaxy,none,1,3.0,0.0,10.0,56756
TRKR1/1160456,LCK,2016,Summer,2016-08-01 13:04:03,200,0,team,none,Afreeca Freecs,none,0,1.0,0.0,3.0,45846
TRKR1/1150511,LCK,2016,Summer,2016-08-02 10:41:30,100,1,team,none,ESC Ever,none,1,3.0,1.0,11.0,80519
TRKR1/1150511,LCK,2016,Summer,2016-08-02 10:41:30,200,0,team,none,CJ Entus,none,0,1.0,0.0,1.0,62932
TRKR1/1150522,LCK,2016,Summer,2016-08-02 11:59:20,100,1,team,none,CJ Entus,none,1,1.0,1.0,9.0,55134
