gameid,league,year,split,date,playerid,side,position,player,team,champion,result,dragons,barons,towers
TRKR1/450068,LCK,2015,Spring,2015-01-09 09:06:20,1,1,Top,Lilac,Incredible Miracle,Rumble,0,,,
TRKR1/450068,LCK,2015,Spring,2015-01-09 09:06:20,2,1,Jungle,Wisdom,Incredible Miracle,Lee Sin,0,,,
TRKR1/450068,LCK,2015,Spring,2015-01-09 09:06:20,3,1,Middle,Frozen,Incredible Miracle,Syndra,0,,,
TRKR1/450068,LCK,2015,Spring,2015-01-09 09:06:20,4,1,ADC,Sonstar,Incredible Miracle,Corki,0,,,
TRKR1/450068,LCK,2015,Spring,2015-01-09 09:06:20,5,1,Support,TusiN,Incredible Miracle,Thresh,0,,,
TRKR1/450068,LCK,2015,Spring,2015-01-09 09:06:20,6,0,Top,Smeb,ROX Tigers,Gnar,1,,,
TRKR1/450068,LCK,2015,Spring,2015-01-09 09:06:20,7,0,Jungle,Hojin,ROX Tigers,Pantheon,1,,,
TRKR1/450068,LCK,2015,Spring,2015-01-09 09:06:20,8,0,Middle,Kuro,ROX Tigers,Lissandra,1,,,
TRKR1/450068,LCK,2015,Spring,2015-01-09 09:06:20,9,0,ADC,PraY,ROX Tigers,Kog'Maw,1,,,
TRKR1/450068,LCK,2015,Spring,2015-01-09 09:06:20,10,0,Support,GorillA,ROX Tigers,Nami,1,,,
TRKR1/450068,LCK,2015,Spring,2015-01-09 09:06:20,100,1,team,,Incredible Miracle,,0,0.0,0.0,2.0
TRKR1/450068,LCK,2015,Spring,2015-01-09 09:06:20,200,0,team,,ROX Tigers,,1,0.0,1.0,8.0
TRKR1/440053,LCK,2015,Spring,2015-01-09 10:44:16,1,1,Top,CuVee,Samsung Galaxy,Rumble,0,,,
TRKR1/440053,LCK,2015,Spring,2015-01-09 10:44:16,2,1,Jungle,Eve,Samsung Galaxy,Jarvan IV,0,,,
TRKR1/440053,LCK,2015,Spring,2015-01-09 10:44:16,3,1,Middle,BlisS,Samsung Galaxy,Jayce,0,,,
TRKR1/440053,LCK,2015,Spring,2015-01-09 10:44:16,4,1,ADC,Fury,Samsung Galaxy,Lucian,0,,,
TRKR1/440053,LCK,2015,Spring,2015-01-09 10:44:16,5,1,Support,Wraith,Samsung Galaxy,Thresh,0,,,
TRKR1/440053,LCK,2015,Spring,2015-01-09 10:44:16,6,0,Top,TrAce,Jin Air Green Wings,Kassadin,1,,,
TRKR1/440053,LCK,2015,Spring,2015-01-09 10:44:16,7,0,Jungle,Chaser,Jin Air Green Wings,Rengar,1,,,
TRKR1/440053,LCK,2015,Spring,2015-01-09 10:44:16,8,0,Middle,GBM,Jin Air Green Wings,Lulu,1,,,
TRKR1/440053,LCK,2015,Spring,2015-01-09 10:44:16,9,0,ADC,Pilot,Jin Air Green Wings,Corki,1,,,
