Year,Season,Player,Team,Pos,W%,KDA,KP,DPM,Laning,Engage,Fight
15,Spring,Wisdom,Incredible Miracle,Jungle,44.0,2.4,76.6,187,0.5451752485980199,0.8815165876777251,0.12820512820512822
15,Spring,Wolf,SK Telecom T1,Support,75.0,5.7,71.4,142,0.5750952258938725,0.6350710900473938,0.5512820512820514
15,Spring,Wraith,Samsung Galaxy,Support,19.0,2.3,71.2,107,0.3547159959230146,0.6255924170616117,0.11538461538461539
15,Spring,Zefa,NaJin e-mFire,ADC,33.0,4.3,70.3,389,0.5342063554511426,0.5829383886255924,0.37179487179487186
15,Summer,Ambition,CJ Entus,Jungle,62.0,4.2,76.2,249,0.6037195119905552,0.5831873905429072,0.32173913043478264
15,Summer,Apple,Incredible Miracle,Top,24.0,2.3,65.8,371,0.40742877531957805,0.40105078809106826,0.15652173913043477
15,Summer,Arrow,KT Rolster,ADC,64.0,7.1,73.5,549,0.519073484201856,0.5359019264448336,0.5739130434782609
15,Summer,Bang,SK Telecom T1,ADC,85.0,6.0,60.2,567,0.6280784809384093,0.3029772329246936,0.4782608695652174
15,Summer,Bengi,SK Telecom T1,Jungle,83.0,5.5,64.4,264,0.5134879744889495,0.37653239929947474,0.43478260869565216
15,Summer,BlisS,Samsung Galaxy,Jungle,0.0,3.0,100.0,213,0.920891999345038,1.0,0.21739130434782608
15,Summer,Catch,SBENU Korea,Jungle,19.0,1.8,70.0,191,0.45082117535806193,0.4746059544658494,0.11304347826086956
15,Summer,Chaser,Jin Air Green Wings,Jungle,53.0,4.9,77.9,245,0.5731993496699378,0.6129597197898425,0.3826086956521739
15,Summer,Chei,Jin Air Green Wings,Support,46.0,3.7,70.9,112,0.5159252512193689,0.490367775831874,0.2782608695652174
15,Summer,Coco,CJ Entus,Middle,59.0,4.3,74.8,674,0.5601515265148674,0.5586690017513134,0.33043478260869563
15,Summer,Cpt Jack,Jin Air Green Wings,ADC,50.0,5.1,68.6,511,0.5912958507206151,0.4500875656742556,0.39999999999999997
15,Summer,Crown,Samsung Galaxy,Middle,37.0,2.6,63.7,478,0.5828625442372598,0.3642732049036778,0.1826086956521739
15,Summer,CuVee,Samsung Galaxy,Top,37.0,2.3,64.7,361,0.45557382710453886,0.3817863397548162,0.15652173913043477
15,Summer,cvMax,Rebels Anarchy,Top,33.0,2.4,65.0,434,0.5652413018678861,0.38704028021015763,0.16521739130434782
15,Summer,DAN,SBENU Korea,ADC,0.0,3.0,75.0,288,0.3072697424988618,0.5621716287215411,0.21739130434782608
15,Summer,DO IT,SBENU Korea,Middle,0.0,1.2,66.7,482,0.3630748733446166,0.41681260945709286,0.0608695652173913
15,Summer,Duke,NaJin e-mFire,Top,58.0,4.4,64.7,355,0.6378564832415986,0.3817863397548162,0.33913043478260874
15,Summer,Easyhoon,SK Telecom T1,Middle,92.0,4.3,63.0,585,0.6483781790736617,0.35201401050788095,0.33043478260869563
15,Summer,Edge,KT Rolster,Middle,50.0,3.3,66.7,526,0.605145417901349,0.41681260945709286,0.2434782608695652
15,Summer,Eve,Samsung Galaxy,Jungle,38.0,3.2,72.6,246,0.4479615444678818,0.520140105078809,0.23478260869565218
15,Summer,Expession,Incredible Miracle,Top,31.0,1.3,51.9,344,0.25613901319133686,0.15761821366024517,0.06956521739130435
15,Summer,Faker,SK Telecom T1,Middle,83.0,5.4,66.9,656,0.7032796041570822,0.4203152364273206,0.42608695652173917
15,Summer,Fixer,KT Rolster,Support,52.0,3.9,73.2,131,0.5894814101508934,0.5306479859894921,0.2956521739130435
15,Summer,Frozen,Incredible Miracle,Middle,29.0,2.7,68.1,536,0.47592300452228953,0.44133099824868643,0.19130434782608696
15,Summer,Fury,Samsung Galaxy,ADC,37.0,3.5,75.0,525,0.5865114248767157,0.5621716287215411,0.2608695652173913
15,Summer,GBM,Jin Air Green Wings,Middle,52.0,5.8,72.2,483,0.4540993347460686,0.5131348511383538,0.4608695652173913
