Year,Season,Champion,Pos,GP,P+B%,W%
15,Summer,Kassadin,Middle,14,6.9,64
15,Summer,Kassadin,Top,1,6.9,0
15,Summer,Kayle,Middle,1,0.5,0
15,Summer,Kennen,Support,11,6.5,64
15,Summer,Kennen,Top,1,6.5,0
15,Summer,Kog'Maw,ADC,40,23.0,55
15,Summer,Kog'Maw,Middle,1,23.0,100
15,Summer,LeBlanc,Middle,20,35.5,40
15,Summer,Lee Sin,Jungle,37,17.5,43
15,Summer,Leona,Support,4,1.8,75
15,Summer,Lissandra,Middle,1,0.5,100
15,Summer,Lucian,ADC,50,24.4,52
15,Summer,Lulu,Middle,25,18.9,36
15,Summer,Lulu,Support,1,18.9,0
15,Summer,Lulu,Top,2,18.9,50
15,Summer,Lux,Middle,1,0.5,0
15,Summer,Maokai,Top,122,73.3,58
15,Summer,Master Yi,Middle,2,0.9,100
15,Summer,Morgana,Middle,1,3.7,0
15,Summer,Morgana,Support,6,3.7,33
15,Summer,Morgana,Top,1,3.7,100
15,Summer,Nami,Support,1,0.5,0
15,Summer,Nautilus,Support,56,31.3,45
15,Summer,Nautilus,Top,5,31.3,60
15,Summer,Nidalee,Jungle,28,24.9,46
15,Summer,Nunu & Willump,Jungle,13,7.8,77
15,Summer,Nunu & Willump,Support,1,7.8,0
15,Summer,Nunu & Willump,Top,1,7.8,100
15,Summer,Olaf,Jungle,2,2.3,100
15,Summer,Olaf,Top,2,2.3,50
15,Summer,Orianna,Middle,11,5.1,45
15,Summer,Rek'Sai,Jungle,123,84.8,51
15,Summer,Rek'Sai,Top,3,84.8,0
15,Summer,Renekton,Top,2,0.9,0
15,Summer,Rengar,Jungle,4,1.8,50
15,Summer,Riven,Top,9,6.0,67
15,Summer,Rumble,Top,94,61.3,51
15,Summer,Ryze,Middle,4,72.4,75
15,Summer,Ryze,Top,18,72.4,50
15,Summer,Sejuani,Jungle,23,18.9,48
15,Summer,Shen,Support,1,18.4,100
15,Summer,Shen,Top,28,18.4,54
15,Summer,Shyvana,Top,5,3.7,40
15,Summer,Sivir,ADC,118,65.0,56
15,Summer,Thresh,Support,77,48.8,45
15,Summer,Tristana,ADC,12,6.0,25
15,Summer,Trundle,Jungle,1,0.5,100
15,Summer,Twisted Fate,Middle,25,25.3,64
15,Summer,Twitch,ADC,1,0.5,0
15,Summer,Urgot,ADC,5,3.7,60
15,Summer,Urgot,Middle,1,3.7,0
15,Summer,Varus,ADC,1,17.5,0
15,Summer,Varus,Middle,23,17.5,48
15,Summer,Vayne,ADC,47,28.6,51
15,Summer,Veigar,Support,2,0.9,0
15,Summer,Vel'Koz,Middle,2,0.9,0
15,Summer,Viktor,Middle,104,65.0,47
15,Summer,Vladimir,Middle,6,4.6,33
15,Summer,Vladimir,Top,3,4.6,33
15,Summer,Xerath,Middle,2,0.9,0
15,Summer,Yasuo,Middle,9,7.8,56
15,Summer,Yasuo,Top,2,7.8,100
15,Summer,Zed,Middle,8,19.4,63
15,Summer,Ziggs,Middle,3,1.4,0
16,Spring,Ahri,Middle,4,1.9,25
16,Spring,Alistar,Support,156,90.2,48
16,Spring,Anivia,Middle,1,0.5,0
16,Spring,Ashe,ADC,19,9.8,53
16,Spring,Azir,Middle,36,31.2,47
16,Spring,Bard,Support,35,27.4,46
16,Spring,Braum,Support,83,40.0,45
16,Spring,Caitlyn,ADC,6,4.2,50
16,Spring,Cassiopeia,Middle,7,3.7,43
16,Spring,Corki,ADC,50,87.9,54
16,Spring,Corki,Middle,44,87.9,57
16,Spring,Dr. Mundo,Jungle,1,0.5,0
16,Spring,Draven,ADC,1,0.5,0
16,Spring,Ekko,Middle,1,11.2,0
16,Spring,Ekko,Top,14,11.2,50
16,Spring,Elise,Jungle,117,59.1,50
16,Spring,Evelynn,Jungle,1,0.5,0
16,Spring,Ezreal,ADC,47,23.7,40
16,Spring,Ezreal,Middle,3,23.7,0
16,Spring,Fiora,Top,39,40.0,49
16,Spring,Fizz,Middle,1,0.5,100
16,Spring,Gangplank,Middle,10,71.6,40
16,Spring,Gangplank,Top,43,71.6,49
16,Spring,Gnar,Top,19,8.8,58
16,Spring,Gragas,Jungle,35,23.3,46
16,Spring,Gragas,Top,9,23.3,78
16,Spring,Graves,Jungle,77,52.1,57
16,Spring,Graves,Top,6,52.1,67
16,Spring,Hecarim,Top,1,0.5,0
16,Spring,Janna,Support,1,0.5,100
16,Spring,Jarvan IV,Middle,2,0.9,100
16,Spring,Jayce,Middle,6,5.6,33
16,Spring,Jayce,Top,1,5.6,100
16,Spring,Jhin,ADC,10,7.0,40
16,Spring,Jinx,ADC,2,0.9,0
16,Spring,Kalista,ADC,89,89.3,54
16,Spring,Karma,Middle,5,2.3,40
16,Spring,Kassadin,Middle,4,1.9,75
16,Spring,Kennen,Support,2,3.3,50
16,Spring,Kennen,Top,5,3.3,100
16,Spring,Kha'Zix,Jungle,1,0.5,0
16,Spring,Kindred,Jungle,63,42.3,38
16,Spring,Kindred,Middle,1,42.3,0
16,Spring,Kog'Maw,ADC,9,12.6,56
16,Spring,LeBlanc,Middle,37,22.8,49
16,Spring,Lee Sin,Jungle,15,21.9,80
16,Spring,Lissandra,Middle,45,64.2,53
16,Spring,Lissandra,Support,2,64.2,0
16,Spring,Lissandra,Top,23,64.2,43
16,Spring,Lucian,ADC,123,57.7,46
16,Spring,Lulu,Middle,61,68.4,54
16,Spring,Lulu,Top,11,68.4,27
16,Spring,Lux,Middle,15,10.7,33
16,Spring,Malphite,Middle,1,1.4,0
16,Spring,Malphite,Top,2,1.4,0
16,Spring,Malzahar,Middle,1,0.5,100
16,Spring,Maokai,Top,49,23.3,53
16,Spring,Miss Fortune,ADC,7,6.5,43
16,Spring,Morgana,Support,7,5.1,43
16,Spring,Morgana,Top,4,5.1,50
16,Spring,Nautilus,Middle,2,28.4,0
16,Spring,Nautilus,Support,13,28.4,54
16,Spring,Nautilus,Top,43,28.4,35
16,Spring,Nidalee,Jungle,60,73.5,53
16,Spring,Nocturne,Jungle,2,0.9,50
16,Spring,Olaf,Top,3,1.4,67
16,Spring,Orianna,Middle,1,0.5,100
16,Spring,Pantheon,Middle,1,0.5,0
16,Spring,Poppy,Support,2,74.0,0
16,Spring,Poppy,Top,99,74.0,55
16,Spring,Quinn,ADC,1,19.5,0
16,Spring,Quinn,Middle,5,19.5,60
16,Spring,Quinn,Top,11,19.5,73
16,Spring,Rammus,Top,7,3.3,29
16,Spring,Rek'Sai,Jungle,49,26.0,51
16,Spring,Rengar,Jungle,1,0.5,0
