"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",28,"12.6%","8.1%","20.7%","61%","94%",105,63,161,4.2,"70.9%","20.9%","25%",-123,-50,-7.2,8.6,"26.8%",480,"26.4%","23.3%",0.46,0.23
"Alistar","Support",1,"0.5%","0.0%","0.5%","0%","-",0,2,4,2,"80.0%","15.4%","0%",43,508,10,1,"2.5%",64,"6.4%","8.6%",1.69,0.37
"Ashe","ADC",120,"54.1%","23.4%","77.5%","48%","33%",277,235,633,3.9,"64.8%","17.4%","14%",51,19,2,9.2,"28.7%",418,"22.6%","23.8%",0.4,0.25
"Aurelion Sol","Middle",6,"2.7%","7.7%","10.4%","67%","100%",29,9,32,6.8,"74.4%","14.3%","33%",162,219,-0.8,8.7,"26.8%",484,"23.0%","23.5%",0.58,0.21
"Azir","Middle",3,"1.4%","0.0%","1.4%","67%","100%",5,4,16,5.3,"70.0%","19.0%","33%",106,596,1.7,9.7,"29.7%",513,"26.4%","24.0%",0.53,0.33
"Bard","Support",4,"1.8%","0.5%","2.3%","0%","100%",1,18,35,2,"81.8%","24.0%","0%",-72,-150,-7.5,0.9,"3.7%",167,"9.7%","10.9%",1.56,0.54
"Brand","Support",4,"1.8%","0.0%","1.8%","75%","100%",9,14,31,2.9,"61.5%","30.4%","50%",215,187,-4.5,1,"4.1%",374,"17.9%","12.2%",1.35,0.41
"Braum","Support",12,"5.4%","0.5%","5.9%","42%","100%",6,47,113,2.5,"69.2%","24.2%","33%",129,-138,4.9,1.3,"4.2%",125,"6.0%","11.4%",1.61,0.38
"Caitlyn","ADC",30,"13.5%","2.7%","16.2%","47%","68%",76,73,112,2.6,"59.3%","20.2%","13%",-10,-34,0.2,9.2,"29.9%",460,"23.3%","24.3%",0.38,0.29
"Camille","Support",1,"0.5%","90.5%","100.0%","100%","0%",1,1,13,14,"82.4%","33.3%","0%",41,-322,8,1.6,"5.1%",270,"12.2%","12.6%",1.21,0.21
"Camille","Top",20,"9.0%","90.5%","100.0%","65%","0%",72,62,92,2.6,"65.3%","24.8%","35%",36,57,-1.6,8.6,"28.4%",494,"25.5%","23.1%",0.55,0.16
"Cassiopeia","Middle",35,"15.8%","23.0%","38.7%","40%","79%",109,86,132,2.8,"66.2%","22.3%","31%",95,58,5.2,9,"26.6%",423,"24.0%","24.2%",0.55,0.2
"Corki","Middle",61,"27.5%","6.3%","33.8%","54%","50%",224,135,258,3.6,"66.2%","17.8%","13%",-119,-140,-2,9.1,"27.9%",627,"30.8%","24.4%",0.53,0.27
"Dr. Mundo","Top",3,"1.4%","0.5%","1.8%","0%","100%",2,6,8,1.7,"66.7%","15.4%","0%",-147,106,5,8.5,"27.1%",393,"30.4%","24.1%",0.52,0.14
"Ekko","Middle",10,"4.5%","8.6%","14.4%","30%","43%",29,28,32,2.2,"66.3%","20.7%","20%",-281,-70,-9.2,9.2,"29.7%",390,"21.4%","24.6%",0.53,0.15
"Ekko","Top",3,"1.4%","8.6%","14.4%","0%","100%",2,8,5,0.9,"70.0%","25.0%","0%",-236,-59,-9,8.4,"25.1%",238,"20.5%","22.9%",0.54,0.07
"Elise","Jungle",75,"33.8%","18.0%","52.3%","44%","72%",179,216,334,2.4,"65.1%","22.3%","41%",-56,-127,-3.4,4.7,"14.5%",295,"15.4%","18.6%",0.91,0.46
"Elise","Support",1,"0.5%","18.0%","52.3%","100%","-",4,3,9,4.3,"86.7%","23.1%","100%",58,136,9,2.2,"8.3%",139,"6.5%","15.9%",1.34,0.69
