"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ezreal","ADC",71,"32.0%","5.4%","37.4%","49%","70%",216,128,308,4.1,"68.7%","15.1%","14%",55,6,2.5,9.3,"29.3%",628,"32.0%","24.8%",0.4,0.22
"Fiora","Top",4,"1.8%","1.4%","3.2%","50%","100%",10,15,10,1.3,"43.5%","23.8%","0%",76,-106,-3.8,8.8,"27.7%",420,"22.1%","23.3%",0.6,0.13
"Fizz","Top",4,"1.8%","3.6%","5.4%","50%","100%",10,9,21,3.4,"63.3%","20.0%","0%",-499,-270,-8,7.9,"25.6%",400,"22.7%","22.0%",0.57,0.11
"Gangplank","Top",10,"4.5%","4.1%","8.6%","50%","100%",22,24,36,2.4,"59.2%","21.1%","30%",445,-68,2,9.6,"30.7%",601,"31.4%","27.5%",0.48,0.12
"Gragas","Jungle",8,"3.6%","2.7%","15.8%","38%","100%",5,20,39,2.2,"67.7%","17.4%","38%",-299,-329,-7.8,4.4,"13.0%",226,"13.0%","18.0%",0.8,0.36
"Gragas","Top",21,"9.5%","2.7%","15.8%","19%","73%",19,56,84,1.8,"54.2%","18.4%","10%",-112,-40,-2.5,7.6,"23.4%",355,"20.5%","20.4%",0.5,0.13
"Graves","Jungle",88,"39.6%","25.2%","64.9%","55%","45%",289,210,425,3.4,"70.1%","21.3%","44%",30,117,0.2,5.6,"17.9%",353,"18.5%","20.6%",0.86,0.46
"Ivern","Jungle",1,"0.5%","0.9%","1.4%","100%","100%",2,0,3,5,"62.5%","0.0%","0%",297,610,5,3.3,"8.2%",103,"5.4%","17.1%",0.72,0.32
"Jax","Top",1,"0.5%","0.0%","0.5%","0%","100%",1,3,1,0.7,"40.0%","18.8%","0%",-232,-110,-11,8.1,"26.7%",587,"31.2%","22.2%",0.41,0.12
"Jayce","Middle",22,"9.9%","40.5%","57.7%","36%","17%",59,55,99,2.9,"66.4%","15.9%","14%",-3,-128,1.3,8.7,"26.2%",628,"29.4%","23.3%",0.51,0.24
"Jayce","Top",16,"7.2%","40.5%","57.7%","50%","15%",33,36,48,2.3,"53.6%","19.7%","25%",374,196,13.1,9.1,"27.8%",569,"30.5%","23.3%",0.54,0.16
"Jhin","ADC",107,"48.2%","10.8%","59.0%","53%","56%",358,181,579,5.2,"68.8%","14.2%","19%",-63,6,-4.3,8.7,"27.4%",506,"25.3%","23.5%",0.42,0.16
"Kalista","ADC",1,"0.5%","0.0%","0.5%","100%","100%",1,2,5,3,"46.2%","40.0%","0%",-179,179,-10,8.7,"30.0%",342,"15.4%","20.9%",0.4,0.14
"Karma","Support",104,"46.8%","14.9%","61.7%","41%","39%",52,224,672,3.2,"71.3%","18.4%","19%",-36,28,-1.8,0.8,"2.9%",174,"9.6%","10.7%",1.53,0.47
"Katarina","Middle",5,"2.3%","4.1%","6.3%","60%","67%",27,14,20,3.4,"61.8%","26.4%","0%",-338,-126,-10,7.7,"23.2%",451,"19.6%","21.7%",0.54,0.12
"Kayle","Support",1,"0.5%","0.0%","0.5%","0%","100%",0,4,5,1.3,"41.7%","25.0%","0%",-804,-379,0,0.8,"3.5%",72,"3.9%","9.5%",1.59,0.64
"Kennen","Top",17,"7.7%","18.0%","25.7%","35%","83%",35,54,42,1.4,"53.8%","26.3%","35%",234,100,9.8,9.6,"29.7%",443,"26.1%","25.4%",0.53,0.14
"Kha'Zix","Jungle",85,"38.3%","14.9%","53.2%","53%","39%",274,186,376,3.5,"64.0%","19.8%","34%",-93,-159,-3.7,4.9,"15.1%",322,"16.4%","19.2%",0.72,0.34
"Kindred","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",0,3,3,1,"60.0%","23.1%","100%",-158,-598,-13,5.2,"19.3%",215,"13.0%","18.7%",0.29,0.22
"Kled","Top",3,"1.4%","2.3%","3.6%","0%","100%",6,10,11,1.7,"58.6%","16.4%","0%",-127,-128,-6.7,7.7,"24.2%",368,"20.6%","20.3%",0.47,0.07
"Kog'Maw","ADC",7,"3.2%","0.0%","3.2%","43%","100%",20,21,26,2.2,"63.0%","19.3%","14%",-400,-169,-10.4,8.2,"28.8%",532,"28.7%","23.9%",0.36,0.2
"LeBlanc","Middle",12,"5.4%","72.5%","77.9%","50%","11%",66,24,34,4.2,"74.6%","16.9%","50%",227,115,4.1,8.2,"24.7%",550,"28.0%","23.9%",0.48,0.18
"Lee Sin","Jungle",61,"27.5%","9.0%","36.5%","48%","71%",174,169,355,3.1,"72.9%","23.4%","39%",29,33,-3.4,4.3,"12.1%",225,"12.2%","17.9%",0.99,0.38
"Leona","Support",1,"0.5%","0.0%","0.5%","100%","100%",0,1,7,7,"43.8%","25.0%","100%",-63,-171,8,1.4,"3.4%",90,"5.7%","9.2%",1.27,0.53
"Lissandra","Middle",3,"1.4%","1.8%","3.2%","0%","100%",11,13,26,2.8,"74.0%","21.3%","67%",126,-50,4.7,8.5,"26.8%",459,"21.2%","23.0%",0.61,0.15
"Lucian","ADC",18,"8.1%","4.1%","12.2%","61%","43%",61,30,78,4.6,"64.1%","18.9%","11%",123,104,2.7,9.8,"30.4%",539,"27.4%","25.0%",0.42,0.33
"Lulu","Support",54,"24.3%","14.9%","39.2%","46%","37%",22,124,384,3.3,"71.2%","20.3%","11%",-95,-91,-0.9,0.7,"2.6%",114,"6.4%","10.8%",1.42,0.46
"Lux","Support",1,"0.5%","0.0%","0.5%","100%","-",3,5,13,3.2,"76.2%","35.7%","0%",41,12,2,1,"3.0%",277,"12.2%","12.8%",1.31,0.55
"Malzahar","Middle",4,"1.8%","70.3%","92.3%","75%","100%",9,5,26,7,"68.6%","15.2%","25%",112,311,2.8,8.2,"23.6%",482,"23.1%","21.4%",0.63,0.22
"Malzahar","Support",45,"20.3%","70.3%","92.3%","56%","13%",47,144,341,2.7,"61.9%","25.9%","24%",-39,24,-0.1,0.9,"3.4%",235,"11.6%","11.8%",1.47,0.5
"Maokai","Top",98,"44.1%","18.9%","63.1%","51%","19%",162,223,566,3.3,"61.5%","20.6%","18%",-94,-72,-2.1,7.8,"23.0%",370,"19.7%","20.1%",0.52,0.12
"Miss Fortune","ADC",1,"0.5%","10.4%","22.5%","0%","100%",2,3,1,1,"60.0%","17.6%","0%",-159,-34,13,10.1,"32.4%",408,"31.2%","27.6%",0.36,0.07
"Miss Fortune","Support",26,"11.7%","10.4%","22.5%","46%","100%",36,61,150,3,"57.9%","21.0%","12%",224,41,7,1.8,"6.0%",380,"19.0%","13.7%",1.51,0.56
"Nami","Support",32,"14.4%","6.3%","20.7%","56%","96%",12,61,274,4.7,"76.1%","19.6%","19%",-14,74,-1.1,0.6,"2.4%",148,"8.1%","10.7%",1.44,0.52
"Nautilus","Support",6,"2.7%","17.6%","57.2%","67%","40%",4,12,35,3.3,"67.2%","19.7%","33%",209,291,11,1.8,"5.6%",105,"5.7%","12.1%",1.37,0.32
"Nautilus","Top",82,"36.9%","17.6%","57.2%","57%","45%",122,162,493,3.8,"63.0%","18.0%","15%",-83,-17,-1.4,7.8,"23.1%",355,"18.8%","20.1%",0.5,0.12
"Olaf","Jungle",10,"4.5%","3.6%","8.6%","50%","71%",25,29,76,3.5,"72.1%","20.9%","30%",-18,124,-1.3,4.4,"13.0%",303,"15.3%","18.2%",0.78,0.34
"Olaf","Top",1,"0.5%","3.6%","8.6%","100%","100%",1,1,5,6,"40.0%","10.0%","0%",26,-102,-1,7.8,"21.7%",558,"24.7%","20.1%",0.59,0.1
"Orianna","Middle",47,"21.2%","15.3%","36.5%","60%","39%",165,104,233,3.8,"71.3%","22.5%","21%",30,36,0.9,8.8,"26.4%",485,"24.9%","23.6%",0.52,0.22
"Pantheon","Middle",1,"0.5%","0.0%","0.5%","0%","-",5,6,1,1,"54.5%","30.0%","0%",-724,-443,-16,6.7,"20.6%",538,"26.8%","21.3%",0.55,0.09
"Poppy","Top",26,"11.7%","3.6%","15.3%","42%","81%",32,52,123,3,"50.7%","16.3%","15%",-62,9,-3.8,7.8,"23.3%",370,"18.5%","20.0%",0.58,0.13
"Rek'Sai","Jungle",25,"11.3%","4.1%","15.3%","44%","63%",38,64,146,2.9,"65.5%","23.4%","36%",71,82,3.6,5.7,"16.3%",229,"12.2%","18.8%",0.79,0.5
"Renekton","Top",23,"10.4%","3.6%","14.0%","35%","100%",58,66,100,2.4,"59.8%","22.1%","22%",228,267,9.3,8.7,"27.5%",389,"21.4%","22.8%",0.52,0.15
"Rengar","Jungle",88,"39.6%","50.9%","91.0%","53%","21%",257,247,465,2.9,"64.0%","24.7%","28%",96,110,8.4,5.4,"15.7%",273,"14.0%","19.3%",0.76,0.36
"Rengar","Top",1,"0.5%","50.9%","91.0%","100%","0%",1,0,8,9,"47.4%","0.0%","100%",719,594,12,8,"24.2%",442,"19.2%","20.0%",0.58,0.29
"Rumble","Top",45,"20.3%","38.7%","59.0%","58%","35%",124,129,266,3,"67.0%","25.9%","20%",49,-13,2.2,8.7,"27.0%",609,"28.4%","22.3%",0.58,0.11
"Ryze","Middle",56,"25.2%","39.6%","64.9%","45%","31%",167,127,209,3,"62.3%","19.9%","23%",-63,-100,-2,9.3,"27.9%",393,"21.9%","24.2%",0.59,0.17
"Shen","Top",52,"23.4%","35.6%","59.0%","56%","74%",75,90,336,4.6,"67.0%","17.1%","33%",-6,-34,-2.8,8.7,"26.2%",328,"17.1%","21.4%",0.51,0.09
"Shyvana","Jungle",2,"0.9%","0.0%","0.9%","0%","100%",3,4,1,1,"100.0%","14.3%","0%",-56,183,5,6.1,"19.0%",260,"18.9%","21.3%",0.94,0.58
"Singed","Top",6,"2.7%","1.4%","4.1%","67%","80%",8,19,56,3.4,"55.2%","18.1%","17%",-25,184,-1.7,7.5,"22.5%",372,"14.6%","18.9%",0.46,0.09
"Sion","Support",1,"0.5%","9.5%","12.6%","100%","100%",5,2,5,5,"76.9%","14.3%","0%",-173,246,10,2,"6.1%",136,"8.5%","15.3%",1.44,0.16
"Sion","Top",6,"2.7%","9.5%","12.6%","83%","33%",14,13,51,5,"61.3%","15.1%","17%",31,-33,-0.5,6.9,"21.8%",432,"20.3%","19.4%",0.64,0.17
"Sivir","ADC",8,"3.6%","1.4%","5.0%","38%","100%",17,18,46,3.5,"70.8%","16.4%","25%",-187,-66,-11.3,10.6,"37.9%",526,"27.4%","27.7%",0.4,0.24
"Syndra","Middle",44,"19.8%","39.6%","60.4%","57%","43%",150,106,172,3,"65.1%","22.6%","23%",168,85,7,9.1,"27.8%",534,"27.8%","24.3%",0.54,0.18
"Syndra","Support",2,"0.9%","39.6%","60.4%","0%","100%",1,8,4,0.6,"45.5%","25.0%","0%",-264,-400,-2.5,1,"4.4%",169,"11.8%","9.8%",1.18,0.51
"Tahm Kench","Support",30,"13.5%","15.8%","29.3%","50%","52%",21,91,197,2.4,"57.4%","23.0%","13%",56,105,11.9,1.6,"4.7%",125,"6.3%","11.3%",1.37,0.36
"Taliyah","Middle",40,"18.0%","24.3%","42.3%","48%","38%",137,94,178,3.4,"66.6%","19.5%","15%",52,51,1.6,8.9,"28.1%",562,"28.0%","23.7%",0.51,0.18
"Talon","Middle",18,"8.1%","13.1%","21.6%","61%","31%",69,32,89,4.9,"69.0%","17.7%","39%",24,68,-3.9,8.9,"27.4%",462,"23.6%","23.5%",0.55,0.2
"Talon","Top",1,"0.5%","13.1%","21.6%","0%","-",2,6,1,0.5,"50.0%","30.0%","0%",264,306,10,8.9,"27.2%",565,"23.6%","22.6%",0.6,0.08
"Taric","Support",3,"1.4%","0.9%","2.3%","0%","100%",2,6,5,1.2,"58.3%","17.6%","0%",147,-5,11.3,1.3,"3.3%",61,"5.8%","10.2%",1.36,0.36
"Thresh","Support",25,"11.3%","9.5%","20.7%","56%","82%",16,65,227,3.7,"70.0%","22.3%","24%",-13,-189,4.8,1.1,"3.3%",110,"5.9%","10.9%",1.43,0.43
"Trundle","Top",1,"0.5%","0.5%","0.9%","0%","100%",0,4,0,0,"0.0%","19.0%","0%",127,186,12,8.1,"26.4%",321,"21.9%","20.6%",0.42,0
"Twisted Fate","Middle",4,"1.8%","0.0%","1.8%","25%","50%",9,14,20,2.1,"67.4%","24.6%","50%",275,-362,-7.5,8.8,"28.0%",489,"28.3%","26.6%",0.5,0.13
"Varus","ADC",67,"30.2%","57.7%","87.8%","52%","19%",192,122,331,4.3,"66.2%","16.1%","18%",29,-20,4,9.4,"29.5%",544,"27.9%","24.3%",0.43,0.22
"Vel'Koz","Support",2,"0.9%","0.5%","1.4%","100%","100%",5,2,15,10,"74.1%","25.0%","50%",233,35,5,1.3,"5.1%",415,"19.8%","14.1%",1.26,0.38
"Viktor","Middle",16,"7.2%","0.5%","7.7%","44%","79%",50,39,53,2.6,"53.1%","20.7%","13%",9,255,3.7,9.1,"28.2%",555,"28.8%","24.0%",0.53,0.19
"Vladimir","Middle",14,"6.3%","9.0%","15.3%","29%","64%",42,37,47,2.4,"68.5%","18.6%","14%",24,-18,3.8,8.6,"26.1%",406,"24.4%","23.1%",0.53,0.19
"Zed","Middle",7,"3.2%","5.0%","8.1%","86%","100%",55,22,38,4.2,"66.0%","26.5%","43%",-115,33,-9.7,7.8,"27.1%",590,"24.6%","24.2%",0.48,0.19
"Ziggs","ADC",14,"6.3%","3.2%","9.5%","36%","88%",28,36,65,2.6,"63.3%","17.8%","14%",-176,-95,-7.9,9.3,"29.8%",580,"27.2%","23.7%",0.39,0.12
"Zilean","Middle",8,"3.6%","2.7%","9.0%","38%","100%",16,14,45,4.4,"74.4%","13.0%","25%",-89,145,-6,8.9,"28.7%",393,"21.9%","23.4%",0.49,0.19
"Zilean","Support",6,"2.7%","2.7%","9.0%","33%","100%",6,18,48,3,"70.1%","15.1%","0%",-70,254,-0.3,1.2,"5.3%",259,"11.9%","14.0%",1.28,0.38
"Zyra","Support",82,"36.9%","45.0%","82.0%","60%","27%",84,199,538,3.1,"63.6%","22.8%","23%",17,-25,-6.6,0.9,"3.6%",371,"18.9%","12.6%",1.44,0.55
