"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",55,"25.7%","32.7%","58.4%","58%","55%",28,118,364,3.3,"73.3%","23.6%","27%",-23,-40,-0.5,2.1,"5.6%",105,"6.0%","10.6%",1.61,0.42
"Anivia","Middle",5,"2.3%","1.4%","3.7%","80%","60%",11,2,30,20.5,"83.7%","7.7%","0%",125,266,3.4,10,"27.1%",368,"20.8%","23.6%",0.62,0.27
"Ashe","ADC",3,"1.4%","0.5%","1.9%","67%","100%",15,7,23,5.4,"77.6%","16.7%","33%",193,267,1.7,9.9,"29.2%",635,"28.6%","25.3%",0.47,0.44
"Aurelion Sol","Middle",1,"0.5%","0.0%","0.5%","100%","100%",2,4,15,4.3,"94.4%","28.6%","100%",204,52,-17,6.6,"18.5%",592,"22.6%","16.8%",0.67,0.4
"Azir","Middle",90,"42.1%","42.1%","84.1%","52%","41%",238,161,308,3.4,"71.3%","20.7%","20%",-30,11,1.9,10.2,"27.5%",575,"31.6%","24.4%",0.6,0.39
"Bard","Support",2,"0.9%","1.4%","2.3%","0%","100%",4,5,2,1.2,"100.0%","26.3%","50%",151,408,-17,1.9,"6.0%",225,"12.2%","12.7%",1.8,0.64
"Blitzcrank","Support",3,"1.4%","0.5%","1.9%","33%","100%",1,9,20,2.3,"56.8%","25.0%","0%",30,68,-1.3,1.9,"5.2%",148,"7.4%","10.1%",1.56,0.26
"Braum","Support",87,"40.7%","36.4%","77.1%","57%","34%",21,144,537,3.9,"73.5%","19.6%","21%",-24,-20,3.1,2.5,"6.7%",139,"7.4%","11.1%",1.57,0.41
"Caitlyn","ADC",45,"21.0%","10.7%","31.8%","40%","56%",120,67,149,4,"77.1%","15.7%","20%",2,13,3.1,11.2,"32.8%",692,"36.2%","27.6%",0.44,0.51
"Camille","Jungle",18,"8.4%","41.1%","72.0%","50%","50%",34,64,60,1.5,"63.5%","35.6%","44%",-152,-288,-7,5.3,"13.9%",188,"9.9%","16.6%",1.75,0.54
"Camille","Top",48,"22.4%","41.1%","72.0%","58%","46%",111,91,160,3,"59.4%","23.9%","29%",-71,84,5.3,9.9,"27.2%",409,"23.9%","23.3%",0.63,0.24
"Cassiopeia","Middle",4,"1.9%","3.7%","6.1%","0%","100%",10,11,5,1.4,"65.2%","21.2%","25%",-31,-251,-0.5,9.4,"26.6%",366,"21.3%","24.7%",0.69,0.25
"Cassiopeia","Top",1,"0.5%","3.7%","6.1%","0%","100%",1,2,0,0.5,"100.0%","18.2%","0%",226,55,13,8.9,"24.0%",392,"27.5%","26.7%",1.24,0.19
"Cho'Gath","Top",22,"10.3%","5.1%","15.4%","41%","55%",33,51,57,1.8,"55.2%","20.8%","0%",-311,-196,-3.4,7.9,"22.0%",333,"18.3%","20.3%",0.63,0.2
"Corki","Middle",28,"13.1%","7.5%","20.6%","43%","100%",79,42,75,3.7,"76.2%","14.2%","14%",107,4,3,10.6,"28.7%",672,"35.6%","26.1%",0.58,0.5
"Ekko","Middle",3,"1.4%","0.9%","2.3%","67%","100%",15,6,15,5,"69.8%","31.6%","67%",-8,-31,-7,9.5,"25.2%",425,"22.5%","23.7%",1,0.17
"Evelynn","-",0,"0%","0.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",95,"44.4%","22.9%","67.3%","52%","45%",223,108,384,5.6,"75.8%","13.1%","20%",224,29,-1.3,10.5,"28.6%",688,"35.5%","26.1%",0.58,0.37
"Fiora","Top",17,"7.9%","3.7%","11.7%","24%","94%",27,38,24,1.3,"56.7%","22.8%","18%",184,-72,-6.6,9.8,"27.7%",323,"22.0%","26.1%",0.91,0.21
"Galio","Middle",38,"17.8%","60.7%","78.5%","58%","13%",89,69,241,4.8,"80.5%","24.6%","50%",-211,-113,-7.5,9.4,"24.6%",434,"23.4%","22.1%",0.79,0.22
"Gangplank","Middle",1,"0.5%","56.1%","89.3%","0%","100%",2,5,1,0.6,"75.0%","23.8%","0%",649,-72,-1,8.1,"26.2%",544,"40.5%","29.5%",0.49,0.3
"Gangplank","Top",70,"32.7%","56.1%","89.3%","61%","27%",134,120,340,4,"73.0%","20.9%","24%",110,-283,-14.1,9.5,"27.1%",600,"31.9%","26.2%",0.71,0.22
"Gnar","Top",90,"42.1%","34.1%","76.2%","53%","43%",162,169,333,2.9,"57.7%","19.5%","20%",-29,138,5.7,9.3,"25.0%",414,"23.0%","22.3%",0.67,0.28
"Gragas","Jungle",4,"1.9%","0.0%","1.9%","25%","100%",5,13,20,1.9,"65.8%","31.0%","50%",-185,-501,-17.5,4.1,"9.2%",153,"10.0%","13.7%",1.53,0.53
"Illaoi","Top",4,"1.9%","1.4%","3.3%","50%","100%",3,13,9,0.9,"36.4%","28.3%","0%",167,-252,9.8,9,"25.8%",486,"29.1%","21.8%",0.88,0.11
"Ivern","Jungle",1,"0.5%","0.5%","0.9%","100%","100%",0,1,7,7,"70.0%","50.0%","100%",33,390,2,4.4,"9.3%",73,"4.5%","13.7%",0.64,0.44
"Janna","Support",10,"4.7%","5.6%","10.3%","40%","100%",3,12,45,4,"82.8%","13.8%","10%",30,17,-11.8,1.2,"4.0%",149,"8.6%","12.2%",1.41,0.52
"Jarvan IV","Jungle",71,"33.2%","20.6%","53.7%","51%","58%",79,170,434,3,"84.5%","25.4%","49%",-84,-151,-3.8,4.9,"11.7%",157,"9.0%","15.5%",1.97,0.7
"Jax","Jungle",24,"11.2%","8.4%","20.6%","54%","92%",32,59,106,2.3,"66.0%","25.0%","33%",-13,70,2.2,5.9,"13.9%",133,"6.9%","16.5%",1.43,0.81
"Jax","Top",2,"0.9%","8.4%","20.6%","50%","100%",5,7,6,1.6,"61.1%","35.0%","0%",-283,-111,-12.5,8.6,"23.6%",277,"15.8%","23.5%",0.71,0.37
"Jayce","Top",10,"4.7%","14.0%","18.7%","80%","80%",26,14,36,4.4,"53.4%","20.3%","20%",133,185,13.6,10.4,"28.7%",547,"25.0%","22.9%",1.11,0.31
"Jhin","ADC",4,"1.9%","4.2%","6.1%","50%","75%",15,2,25,20,"90.9%","6.9%","50%",242,28,7,10.5,"29.9%",558,"34.4%","26.9%",0.52,0.35
"Jinx","ADC",4,"1.9%","0.5%","2.3%","100%","100%",22,0,14,36,"78.3%","0.0%","25%",14,-8,2,11.9,"33.0%",767,"39.3%","28.0%",0.4,0.46
"Kalista","ADC",55,"25.7%","40.2%","65.9%","53%","35%",148,95,222,3.9,"69.2%","18.8%","20%",-23,-2,4.4,10.9,"30.4%",400,"22.0%","25.7%",0.43,0.54
"Karma","Middle",13,"6.1%","2.3%","8.9%","54%","62%",19,18,57,4.2,"80.9%","17.5%","31%",125,108,2.4,8.8,"21.2%",375,"20.6%","21.6%",0.72,0.26
"Karma","Support",1,"0.5%","2.3%","8.9%","100%","100%",2,1,10,12,"75.0%","25.0%","0%",-545,-238,1,0.7,"2.8%",208,"8.7%","12.2%",0.97,0.43
"Kassadin","Middle",8,"3.7%","1.9%","6.1%","63%","100%",35,16,23,3.6,"81.7%","31.4%","38%",-121,120,-1,9.4,"25.3%",449,"24.2%","23.6%",0.61,0.36
"Kassadin","Top",1,"0.5%","1.9%","6.1%","0%","100%",0,2,0,0,"-","33.3%","0%",-1150,-392,-16,8.4,"27.0%",382,"37.7%","22.0%",0.34,0.14
"Kennen","Support",1,"0.5%","0.9%","2.3%","100%","100%",0,2,9,4.5,"56.3%","28.6%","0%",-29,295,-10,1.9,"5.9%",157,"7.1%","13.1%",1.58,0.77
"Kennen","Top",2,"0.9%","0.9%","2.3%","50%","50%",1,2,1,1,"20.0%","15.4%","0%",59,-101,-4.5,9.4,"26.2%",137,"12.3%","21.7%",0.61,0.13
"Kha'Zix","Jungle",45,"21.0%","21.0%","42.1%","49%","36%",108,94,205,3.3,"68.2%","24.2%","44%",37,-74,-0.6,5.6,"14.0%",279,"14.8%","16.6%",1.89,0.64
"Kog'Maw","ADC",29,"13.6%","24.3%","37.9%","41%","45%",84,47,113,4.2,"71.4%","16.9%","21%",-159,-86,-4.4,10.6,"30.4%",591,"32.6%","26.0%",0.39,0.46
"LeBlanc","Middle",4,"1.9%","3.3%","5.1%","100%","100%",19,8,19,4.8,"59.4%","30.8%","25%",-88,-6,0.8,9,"21.4%",515,"23.9%","21.3%",1.08,0.33
"Lee Sin","Jungle",4,"1.9%","0.5%","2.3%","25%","100%",0,10,22,2.2,"68.8%","25.6%","25%",-99,71,-6,4.8,"10.7%",125,"7.6%","14.1%",1.89,0.61
"Leona","Support",17,"7.9%","2.3%","10.3%","59%","94%",18,35,119,3.9,"74.5%","23.5%","41%",-24,16,9.7,2.1,"6.0%",102,"5.7%","10.7%",1.54,0.53
"Lucian","Middle",1,"0.5%","0.0%","1.9%","0%","100%",1,2,2,1.5,"75.0%","13.3%","0%",653,197,11,10.1,"28.5%",522,"29.4%","28.3%",0.49,0.1
"Lucian","Top",3,"1.4%","0.0%","1.9%","0%","100%",1,5,5,1.2,"46.2%","14.7%","0%",-22,51,17.7,10.2,"27.1%",524,"34.9%","25.1%",0.61,0.32
"Lulu","Support",2,"0.9%","0.0%","0.9%","0%","100%",0,1,2,2,"66.7%","5.3%","0%",205,35,-9.5,0.7,"3.1%",76,"5.1%","13.8%",1.33,0.57
"Malzahar","Middle",35,"16.4%","15.0%","31.3%","51%","66%",74,56,161,4.2,"75.3%","19.2%","20%",-76,-15,-6.9,9.7,"26.0%",440,"25.6%","23.6%",0.66,0.28
"Maokai","Top",6,"2.8%","0.0%","2.8%","67%","67%",4,20,41,2.3,"64.3%","27.4%","0%",-683,-403,-18.2,7.2,"18.7%",414,"18.1%","17.4%",0.6,0.27
"Morgana","Support",5,"2.3%","0.0%","2.3%","20%","60%",4,7,24,4,"84.8%","12.7%","40%",104,276,-6.2,1,"3.1%",194,"10.8%","10.7%",1.44,0.39
"Nasus","Top",2,"0.9%","0.5%","1.4%","0%","100%",5,5,2,1.4,"53.8%","18.5%","0%",-177,243,11,9.9,"24.8%",604,"31.8%","24.9%",0.6,0.21
"Nidalee","Jungle",16,"7.5%","7.5%","15.0%","38%","75%",30,35,70,2.9,"76.3%","22.3%","50%",282,420,8.8,6.4,"15.9%",352,"17.4%","19.4%",1.89,0.8
"Nocturne","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",2,5,3,1,"62.5%","29.4%","0%",-516,-581,-4,5.1,"11.5%",187,"12.2%","15.9%",0.87,0.41
"Olaf","Jungle",27,"12.6%","18.2%","30.8%","63%","26%",59,42,138,4.7,"74.9%","21.8%","48%",282,341,7.1,5.6,"14.1%",252,"14.1%","17.6%",1.25,0.54
"Orianna","Middle",5,"2.3%","0.5%","2.8%","0%","80%",7,7,18,3.6,"80.6%","13.0%","0%",-55,-76,4.2,9.1,"23.7%",386,"23.6%","22.6%",0.58,0.32
"Ornn","Support",10,"4.7%","16.8%","47.7%","50%","20%",14,22,51,3,"75.6%","24.4%","20%",-23,15,7.3,3.4,"8.2%",208,"11.0%","13.4%",1.39,0.38
"Ornn","Top",56,"26.2%","16.8%","47.7%","38%","59%",56,119,256,2.6,"60.2%","20.3%","21%",-61,49,0.8,7.9,"21.2%",359,"20.0%","19.7%",0.63,0.18
"Poppy","Jungle",1,"0.5%","1.4%","3.7%","0%","100%",0,3,1,0.3,"25.0%","23.1%","0%",-200,19,3,4.2,"7.8%",67,"3.7%","12.2%",1.19,0.35
"Poppy","Top",4,"1.9%","1.4%","3.7%","25%","75%",5,9,10,1.7,"42.9%","28.1%","25%",83,-208,-7.3,8.6,"22.7%",285,"14.6%","19.3%",0.69,0.27
"Rakan","Support",54,"25.2%","8.4%","33.6%","56%","22%",23,96,396,4.4,"81.5%","19.4%","26%",69,-47,-11.4,0.7,"2.6%",135,"7.4%","10.6%",1.57,0.5
"Rek'Sai","Jungle",2,"0.9%","0.0%","0.9%","0%","100%",5,3,3,2.7,"72.7%","15.8%","50%",-101,-99,-5.5,5.4,"12.4%",132,"8.7%","16.2%",2.1,0.8
"Rengar","Jungle",12,"5.6%","4.7%","10.3%","50%","58%",17,27,22,1.4,"50.6%","27.8%","17%",132,180,4.3,6.5,"15.4%",180,"10.4%","17.8%",1.74,0.65
"Riven","Top",1,"0.5%","0.0%","0.5%","100%","100%",7,1,3,10,"66.7%","33.3%","0%",-529,76,2,12.2,"32.6%",543,"31.3%","26.4%",0.69,0.4
"Rumble","Top",2,"0.9%","0.5%","1.4%","50%","50%",4,5,7,2.2,"91.7%","33.3%","50%",-197,257,21,9.3,"22.5%",493,"23.7%","22.6%",1.12,0.17
"Ryze","Middle",59,"27.6%","52.8%","84.1%","42%","34%",152,115,242,3.4,"72.0%","18.9%","19%",15,-110,2.1,10.4,"27.6%",407,"23.6%","24.4%",0.63,0.3
"Ryze","Top",8,"3.7%","52.8%","84.1%","50%","50%",11,11,16,2.5,"46.6%","17.2%","13%",-46,-41,6,10.4,"28.0%",465,"28.1%","23.6%",0.7,0.21
"Sejuani","Jungle",95,"44.4%","52.3%","96.7%","57%","25%",115,161,644,4.7,"79.3%","19.6%","37%",9,-23,2.2,5.2,"12.1%",191,"10.1%","15.8%",1.18,0.65
"Shen","Support",18,"8.4%","11.7%","21.0%","33%","72%",17,35,103,3.4,"71.9%","18.0%","22%",-37,112,3.7,2.9,"7.9%",104,"6.2%","12.4%",1.54,0.52
"Shen","Top",2,"0.9%","11.7%","21.0%","0%","100%",0,2,2,1,"50.0%","11.1%","50%",-256,-36,-12,8.5,"26.5%",150,"14.3%","21.7%",0.55,0.15
"Shyvana","Jungle",6,"2.8%","2.3%","5.1%","17%","83%",14,16,17,1.9,"75.6%","19.5%","0%",230,580,16.3,6.2,"14.5%",228,"14.4%","18.9%",1.16,1
"Sion","Middle",9,"4.2%","22.9%","43.5%","44%","44%",13,14,47,4.3,"69.8%","17.1%","33%",115,275,0.9,8.7,"23.2%",389,"21.4%","21.3%",0.53,0.16
"Sion","Top",35,"16.4%","22.9%","43.5%","46%","26%",38,54,155,3.6,"57.8%","17.9%","23%",62,96,1,8.5,"22.5%",371,"20.7%","20.3%",0.63,0.16
"Sivir","ADC",11,"5.1%","3.7%","8.9%","36%","100%",32,13,54,6.6,"74.1%","10.7%","9%",-214,46,-2.6,13.1,"34.5%",728,"35.3%","28.6%",0.44,0.44
"Skarner","Jungle",45,"21.0%","26.6%","47.7%","42%","27%",53,126,252,2.4,"76.6%","28.3%","31%",57,85,3.5,4.9,"11.3%",119,"6.8%","15.5%",1.49,0.46
"Soraka","Support",1,"0.5%","0.0%","0.5%","100%","100%",0,0,9,9,"75.0%","0.0%","0%",51,-275,-18,2.1,"5.6%",132,"6.1%","12.6%",1.32,0.63
"Swain","Middle",5,"2.3%","9.3%","13.6%","60%","0%",16,7,28,6.3,"74.6%","16.3%","20%",47,102,-0.6,9.3,"24.3%",427,"21.4%","22.8%",0.55,0.09
"Swain","Top",4,"1.9%","9.3%","13.6%","75%","25%",6,3,27,11,"82.5%","10.3%","25%",102,16,-3,9,"23.9%",502,"27.7%","22.1%",0.59,0.19
"Syndra","Middle",10,"4.7%","2.3%","7.0%","30%","80%",27,21,35,3,"72.9%","19.4%","20%",-50,-67,0.1,9.4,"25.9%",488,"27.7%","24.3%",0.63,0.23
"Tahm Kench","Support",81,"37.9%","31.8%","69.6%","41%","36%",51,177,422,2.7,"66.4%","23.3%","20%",-27,21,3.2,2.4,"6.8%",123,"6.7%","11.2%",1.47,0.32
"Taliyah","Middle",45,"21.0%","21.5%","42.5%","56%","60%",139,79,233,4.7,"80.2%","19.8%","33%",102,43,0.9,9.7,"26.0%",549,"29.3%","23.8%",0.62,0.29
"Taric","Support",54,"25.2%","12.1%","37.4%","50%","76%",26,81,321,4.3,"75.1%","16.9%","17%",3,1,1,2.4,"6.8%",75,"4.3%","11.2%",1.4,0.4
