"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Thresh","Support",26,"12.1%","10.7%","22.9%","46%","65%",15,46,193,4.5,"78.5%","19.2%","35%",59,-20,0,1.4,"3.8%",112,"6.7%","9.8%",1.54,0.41
"Tristana","ADC",45,"21.0%","7.9%","29.0%","42%","73%",130,49,144,5.6,"74.5%","10.6%","11%",-128,16,-4.6,11.1,"33.6%",581,"32.7%","28.0%",0.44,0.53
"Trundle","Top",10,"4.7%","3.3%","7.9%","40%","90%",12,16,40,3.3,"69.3%","16.0%","30%",239,165,2.8,9,"24.5%",278,"19.0%","22.7%",0.82,0.19
"Twitch","ADC",1,"0.5%","0.0%","0.5%","0%","100%",0,1,0,0,"-","10.0%","0%",19,90,0,9.9,"26.7%",164,"17.1%","21.8%",0.34,0.37
"Varus","ADC",79,"36.9%","37.4%","74.3%","54%","46%",224,121,298,4.3,"71.1%","17.8%","24%",-39,-54,2.3,10.6,"28.9%",442,"25.5%","25.4%",0.46,0.54
"Vayne","ADC",5,"2.3%","1.4%","3.7%","20%","100%",15,11,10,2.3,"61.0%","19.6%","0%",-181,28,-5.2,11.1,"31.2%",556,"28.5%","26.2%",0.46,0.56
"Veigar","Middle",2,"0.9%","1.4%","2.3%","0%","100%",7,3,1,2.7,"72.7%","15.0%","50%",-133,-116,-19,9.2,"23.1%",430,"21.6%","22.5%",0.54,0.53
"Vel'Koz","Middle",9,"4.2%","4.7%","8.9%","67%","100%",23,22,40,2.9,"70.8%","24.4%","22%",10,-6,-1,8.8,"22.9%",536,"28.5%","22.2%",0.66,0.26
"Viktor","Middle",1,"0.5%","0.0%","0.5%","0%","100%",4,3,3,2.3,"77.8%","23.1%","0%",-77,-13,-11,8.7,"26.5%",666,"36.2%","25.0%",0.46,0.24
"Vladimir","Middle",1,"0.5%","23.8%","37.4%","0%","0%",2,4,7,2.3,"90.0%","33.3%","0%",86,-43,-2,9.5,"24.9%",711,"29.2%","24.5%",0.54,0.26
"Vladimir","Top",28,"13.1%","23.8%","37.4%","54%","61%",67,44,104,3.9,"57.8%","22.0%","29%",209,120,6,9.4,"25.4%",563,"27.6%","23.9%",0.66,0.19
"Xayah","ADC",52,"24.3%","20.1%","44.4%","60%","35%",182,74,194,5.1,"72.6%","16.8%","21%",-95,24,-1.7,11,"33.2%",610,"31.9%","26.9%",0.47,0.44
"Xerath","Middle",1,"0.5%","0.5%","0.9%","100%","100%",1,0,6,7,"87.5%","0.0%","0%",19,121,0,10,"22.6%",363,"26.5%","20.7%",0.57,0.06
"Xin Zhao","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",0,3,1,0.3,"50.0%","27.3%","0%",-274,-125,2,4.9,"10.7%",92,"5.8%","14.9%",0.53,0.36
"Zac","Jungle",55,"25.7%","21.5%","47.2%","51%","82%",48,104,305,3.4,"73.2%","22.3%","40%",-163,-61,-6.9,4.8,"11.2%",152,"8.9%","15.2%",1.12,0.54
"Ziggs","Middle",4,"1.9%","0.0%","1.9%","25%","100%",10,7,14,3.4,"80.0%","15.9%","25%",-417,-305,-12.8,10.3,"28.5%",512,"36.4%","24.9%",0.68,0.17
"Zilean","Support",1,"0.5%","0.0%","0.5%","0%","100%",3,1,6,9,"75.0%","7.1%","0%",287,338,-13,2.3,"7.1%",210,"7.1%","17.5%",1.1,0.2
"Zoe","Middle",46,"21.5%","29.9%","51.4%","52%","17%",122,72,162,3.9,"73.2%","16.7%","26%",85,109,3.9,9.4,"23.9%",617,"33.7%","22.8%",0.59,0.28
