"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Jax","Top",1,"0.8%","0.0%","0.8%","100%","-",2,1,6,8,"47.1%","14.3%","0%",-247,-291,-2,9.3,"31.8%",460,"20.0%","23.5%",0.33,0
"Jayce","Middle",11,"8.6%","3.1%","12.5%","27%","-",33,37,47,2.2,"76.2%","20.9%","36%",144,-92,2.2,8.2,"29.6%",605,"35.8%","26.1%",0.22,0.29
"Jayce","Top",1,"0.8%","3.1%","12.5%","0%","-",2,8,4,0.8,"60.0%","30.8%","100%",-8,-570,-5,6.1,"22.6%",674,"36.2%","21.2%",0.45,0.28
"Jinx","ADC",1,"0.8%","0.0%","0.8%","0%","-",3,4,5,2,"66.7%","20.0%","100%",89,280,-1,8.3,"30.9%",397,"21.7%","25.7%",0.14,0.22
"Kalista","ADC",20,"15.6%","30.5%","46.1%","70%","-",97,47,153,5.3,"76.5%","18.2%","45%",169,-102,2.2,8.4,"30.1%",493,"25.5%","25.9%",0.19,0.17
"Karma","Support",1,"0.8%","0.0%","0.8%","100%","-",0,0,9,9,"75.0%","0.0%","0%",38,322,0,0.8,"3.4%",143,"8.4%","10.1%",1.65,0.61
"Karthus","Middle",7,"5.5%","0.8%","6.3%","57%","-",25,33,44,2.1,"67.0%","31.1%","43%",205,19,2.3,8.9,"29.5%",603,"30.7%","25.1%",0.41,0.12
"Kassadin","Middle",25,"19.5%","34.4%","59.4%","40%","-",82,55,119,3.7,"72.3%","16.7%","8%",-81,24,-3.8,7.3,"25.7%",429,"26.5%","23.4%",0.36,0.21
"Kassadin","Top",7,"5.5%","34.4%","59.4%","57%","-",22,9,48,7.8,"66.7%","10.1%","43%",82,-22,-1.9,7.2,"27.0%",430,"24.9%","23.5%",0.36,0.16
"Kayle","Support",1,"0.8%","0.0%","0.8%","0%","-",0,5,3,0.6,"75.0%","31.3%","0%",-427,-311,10,1.3,"4.8%",49,"3.6%","8.4%",1.22,0.69
"Kennen","Middle",2,"1.6%","0.8%","7.8%","100%","-",7,1,8,15,"65.2%","25.0%","0%",-105,-288,-5,8.7,"27.5%",316,"23.4%","22.8%",0.43,0.14
"Kennen","Support",4,"3.1%","0.8%","7.8%","50%","-",5,8,22,3.4,"65.9%","21.6%","0%",389,451,-1.8,0.8,"3.2%",241,"14.2%","10.4%",1.3,0.44
"Kennen","Top",3,"2.3%","0.8%","7.8%","100%","-",10,2,11,10.5,"52.5%","7.7%","0%",387,642,15.3,8.7,"29.3%",414,"24.5%","24.2%",0.49,0.1
"Kha'Zix","Jungle",2,"1.6%","0.0%","1.6%","0%","-",4,8,10,1.8,"60.9%","16.3%","0%",-209,470,9,3.7,"14.0%",212,"13.1%","18.8%",0.42,0.33
"Kog'Maw","ADC",21,"16.4%","1.6%","18.0%","33%","-",88,56,73,2.9,"71.6%","18.3%","5%",-88,3,-1.3,7.9,"28.4%",596,"35.4%","25.2%",0.18,0.13
"LeBlanc","Middle",23,"18.0%","71.9%","89.8%","57%","-",120,67,107,3.4,"59.9%","21.5%","26%",212,245,7.1,7.3,"25.3%",533,"30.1%","23.2%",0.33,0.25
"Lee Sin","Jungle",66,"51.6%","9.4%","60.9%","39%","-",137,210,404,2.6,"67.7%","21.8%","33%",-52,-29,-0.1,2.7,"9.7%",173,"10.5%","15.3%",1.04,0.28
"Leona","Support",18,"14.1%","0.0%","14.1%","44%","-",17,77,148,2.1,"62.3%","25.2%","33%",98,98,5.1,1.2,"4.4%",126,"7.0%","9.6%",1.46,0.33
"Lissandra","Middle",20,"15.6%","46.9%","75.8%","65%","-",78,52,150,4.4,"69.3%","21.0%","35%",186,111,4.9,8.7,"30.3%",467,"25.2%","24.8%",0.33,0.24
"Lissandra","Top",17,"13.3%","46.9%","75.8%","35%","-",48,81,93,1.7,"61.6%","29.2%","24%",57,-51,3.1,8.2,"30.2%",402,"23.9%","24.4%",0.4,0.11
"Lucian","ADC",18,"14.1%","0.0%","14.1%","39%","-",62,39,68,3.3,"64.4%","15.3%","22%",147,162,7.1,8.7,"31.9%",502,"29.5%","27.3%",0.13,0.2
"Lulu","Middle",18,"14.1%","43.0%","78.1%","39%","-",39,36,113,4.2,"75.2%","15.7%","11%",-57,54,1.7,8.1,"28.3%",344,"22.4%","24.4%",0.27,0.17
"Lulu","Support",5,"3.9%","43.0%","78.1%","20%","-",4,10,40,4.4,"71.0%","14.3%","40%",-46,-89,-2,0.7,"3.3%",113,"7.2%","9.9%",1.58,0.39
"Lulu","Top",22,"17.2%","43.0%","78.1%","55%","-",43,51,133,3.5,"70.7%","18.0%","27%",-18,-105,-2,7.4,"26.8%",311,"17.7%","22.5%",0.35,0.13
"Lux","Middle",1,"0.8%","0.0%","0.8%","0%","-",4,2,4,4,"80.0%","13.3%","0%",-309,-420,-12,6.9,"24.5%",711,"30.7%","22.8%",0.17,0.07
"Malzahar","Middle",1,"0.8%","0.0%","0.8%","100%","-",5,3,6,3.7,"64.7%","42.9%","0%",-120,-226,-17,8.4,"25.3%",659,"28.6%","22.6%",0.36,0.1
"Maokai","Support",1,"0.8%","10.2%","49.2%","0%","-",0,4,2,0.5,"66.7%","26.7%","100%",84,-248,13,1.4,"4.5%",119,"7.1%","7.9%",1.24,0.7
"Maokai","Top",49,"38.3%","10.2%","49.2%","59%","-",109,120,377,4.1,"68.2%","21.1%","22%",95,190,2,7.2,"24.4%",366,"19.6%","21.1%",0.47,0.1
"Morgana","Middle",3,"2.3%","12.5%","32.8%","0%","-",6,6,15,3.5,"75.0%","12.8%","0%",-229,33,-5,8.1,"29.7%",478,"30.0%","25.4%",0.49,0.14
"Morgana","Support",17,"13.3%","12.5%","32.8%","47%","-",19,56,146,2.9,"79.3%","23.1%","12%",11,-24,-3.4,0.6,"2.6%",181,"11.0%","10.9%",1.5,0.34
"Morgana","Top",6,"4.7%","12.5%","32.8%","50%","-",11,13,40,3.9,"68.0%","18.6%","17%",-69,-21,1,6.9,"25.4%",331,"18.3%","21.6%",0.57,0.14
"Nami","Support",28,"21.9%","0.0%","21.9%","39%","-",18,67,220,3.6,"75.8%","19.4%","21%",-2,2,-2.1,0.5,"2.1%",114,"6.9%","9.8%",1.3,0.36
"Nautilus","Jungle",2,"1.6%","0.0%","8.6%","0%","-",1,5,3,0.8,"100.0%","13.9%","50%",-220,-286,1,3.5,"13.6%",156,"13.9%","17.1%",0.75,0.29
"Nautilus","Support",8,"6.3%","0.0%","8.6%","88%","-",8,16,58,4.1,"57.4%","25.4%","13%",-54,-69,5.1,1.5,"5.8%",189,"10.4%","10.0%",1.17,0.31
"Nautilus","Top",1,"0.8%","0.0%","8.6%","0%","-",0,3,0,0,"0.0%","27.3%","0%",-779,-1726,-26,4.9,"21.6%",154,"13.3%","17.9%",0.38,0
"Nidalee","Jungle",12,"9.4%","9.4%","19.5%","42%","-",44,26,63,4.1,"70.9%","17.3%","58%",384,156,3.3,3.8,"14.0%",439,"24.4%","20.2%",0.57,0.36
"Nidalee","Top",1,"0.8%","9.4%","19.5%","100%","-",3,3,7,3.3,"52.6%","33.3%","100%",417,432,-1,6.9,"28.0%",431,"22.2%","20.7%",0.74,0.12
"Nunu & Willump","Jungle",14,"10.9%","3.1%","14.1%","50%","-",19,39,109,3.3,"72.3%","20.7%","21%",-92,-153,1.6,3,"10.2%",174,"9.1%","16.3%",1.01,0.37
"Orianna","Middle",5,"3.9%","0.0%","3.9%","40%","-",12,11,29,3.7,"74.5%","16.9%","0%",-54,-137,-0.4,8,"30.0%",325,"23.6%","24.4%",0.24,0.19
"Pantheon","Jungle",3,"2.3%","0.0%","2.3%","67%","-",8,10,23,3.1,"51.7%","27.0%","0%",-332,-146,0.5,3.6,"11.1%",149,"7.7%","14.6%",0.5,0.18
"Rek'Sai","Jungle",32,"25.0%","57.8%","83.6%","56%","-",56,77,206,3.4,"69.3%","19.9%","56%",60,119,0.1,4.1,"14.8%",229,"13.8%","18.9%",0.83,0.33
"Rek'Sai","Top",1,"0.8%","57.8%","83.6%","100%","-",4,0,12,16,"69.6%","0.0%","100%",520,812,27,10.2,"34.7%",704,"25.7%","26.4%",0.72,0.1
"Renekton","Top",3,"2.3%","0.8%","3.1%","0%","-",6,12,13,1.6,"59.4%","18.8%","0%",146,226,5.3,7.7,"27.0%",323,"21.0%","23.9%",0.33,0.1
"Rengar","Jungle",10,"7.8%","6.3%","14.8%","50%","-",19,39,63,2.1,"64.1%","26.0%","30%",-21,158,2.2,2.9,"8.9%",206,"12.0%","15.6%",0.54,0.27
"Rengar","Top",1,"0.8%","6.3%","14.8%","0%","-",5,4,1,1.5,"60.0%","23.5%","100%",311,-298,-11,6.9,"27.4%",494,"28.9%","24.4%",0.37,0.06
"Rumble","Top",44,"34.4%","34.4%","68.8%","50%","-",141,127,238,3,"65.2%","23.0%","30%",-56,37,-2.3,6.5,"24.1%",438,"26.4%","21.4%",0.39,0.07
"Sejuani","Jungle",16,"12.5%","1.6%","14.8%","69%","-",28,33,119,4.5,"68.1%","19.8%","56%",68,178,1.1,3.4,"10.3%",185,"11.4%","16.6%",0.86,0.39
"Sejuani","Support",1,"0.8%","1.6%","14.8%","0%","-",1,6,5,1,"85.7%","25.0%","100%",-42,-54,-1,0.9,"3.8%",116,"8.5%","8.1%",1.22,0.4
"Sion","Middle",1,"0.8%","2.3%","8.6%","100%","-",3,3,7,3.3,"62.5%","20.0%","0%",-728,-883,-16,6.4,"22.2%",309,"16.2%","19.6%",0.22,0.13
"Sion","Top",7,"5.5%","2.3%","8.6%","43%","-",3,10,28,3.1,"45.6%","12.7%","14%",25,-15,6,8.5,"33.6%",331,"22.2%","23.8%",0.38,0.13
"Sivir","ADC",58,"45.3%","3.9%","49.2%","62%","-",267,101,375,6.4,"78.7%","15.2%","22%",-18,-96,-1,8.8,"32.9%",525,"29.4%","27.7%",0.22,0.19
"Syndra","Middle",3,"2.3%","0.0%","3.1%","33%","-",9,13,16,1.9,"69.4%","22.0%","33%",101,67,10.3,8.5,"32.1%",379,"24.6%","26.0%",0.22,0.1
"Syndra","Support",1,"0.8%","0.0%","3.1%","100%","-",2,3,18,6.7,"71.4%","16.7%","0%",-486,-289,4,1.5,"7.7%",333,"14.9%","14.1%",1.6,0.23
"Thresh","Support",58,"45.3%","11.7%","57.0%","45%","-",42,187,550,3.2,"73.3%","23.1%","40%",1,87,4.7,1,"3.5%",112,"6.6%","9.3%",1.34,0.35
"Tristana","ADC",15,"11.7%","0.0%","11.7%","27%","-",58,32,49,3.3,"68.6%","15.2%","27%",145,179,-1.5,8.4,"32.1%",388,"25.4%","27.2%",0.2,0.14
"Trundle","Top",1,"0.8%","0.0%","0.8%","0%","-",3,3,4,2.3,"63.6%","21.4%","-","-","-","-","-","-","-","-","25.7%","-","-"
"Twisted Fate","Middle",5,"3.9%","3.1%","7.0%","60%","-",22,12,30,4.3,"73.2%","26.7%","20%",-20,-385,-11.2,8.3,"30.2%",363,"24.0%","27.2%",0.28,0.12
"Twitch","ADC",3,"2.3%","0.0%","2.3%","0%","-",8,12,7,1.3,"71.4%","23.5%","33%",-728,-197,-8.3,5.8,"23.4%",229,"18.6%","23.4%",0.22,0.14
"Udyr","Jungle",1,"0.8%","0.8%","1.6%","100%","-",2,0,6,8,"53.3%","0.0%","0%",343,903,7,3.5,"10.3%",166,"9.3%","17.1%",0.3,0.33
"Urgot","ADC",4,"3.1%","14.8%","19.5%","100%","-",16,6,39,9.2,"71.4%","17.6%","25%",51,266,2,7,"21.3%",535,"25.2%","20.3%",0.19,0.09
"Urgot","Middle",2,"1.6%","14.8%","19.5%","0%","-",4,4,4,2,"100.0%","11.1%","0%",-119,411,18,8.5,"30.2%",363,"32.1%","28.1%",0.45,0.11
"Vayne","ADC",1,"0.8%","0.0%","0.8%","0%","-",2,2,2,2,"100.0%","14.3%","0%",-59,1187,17,6.5,"20.8%",410,"35.3%","26.3%",0.14,0.11
"Veigar","Support",4,"3.1%","18.8%","21.9%","75%","-",5,9,37,4.7,"67.7%","17.0%","0%",-2,-87,-3.8,0.5,"2.3%",136,"6.8%","10.6%",1.32,0.38
"Vi","Jungle",6,"4.7%","0.0%","4.7%","67%","-",12,16,44,3.5,"63.6%","23.5%","17%",90,19,0,3.2,"9.7%",155,"8.4%","16.3%",1,0.44
"Viktor","Middle",11,"8.6%","3.9%","12.5%","82%","-",70,24,66,5.7,"71.2%","19.5%","27%",73,102,4.4,9,"30.1%",704,"33.5%","25.5%",0.3,0.29
"Vladimir","Middle",6,"4.7%","0.8%","6.3%","83%","-",28,13,31,4.5,"60.2%","23.6%","0%",-217,-16,-4.3,8.9,"31.1%",549,"27.4%","24.1%",0.27,0.17
"Vladimir","Top",1,"0.8%","0.8%","6.3%","0%","-",2,3,0,0.7,"66.7%","20.0%","100%",403,152,13,8.5,"30.3%",592,"35.2%","27.9%",0.73,0.12
"Xerath","Middle",35,"27.3%","30.5%","57.8%","46%","-",136,61,171,5,"73.6%","12.7%","11%",-39,57,-0.8,8.1,"29.3%",691,"38.9%","25.6%",0.34,0.15
"Yasuo","Middle",1,"0.8%","0.0%","0.8%","0%","-",2,4,4,1.5,"85.7%","22.2%","0%",91,-257,3,9.1,"37.6%",231,"16.6%","31.3%",0.28,0.23
"Zed","Middle",4,"3.1%","3.9%","7.0%","75%","-",24,8,25,6.1,"63.6%","25.0%","50%",-38,-47,-7.8,8,"27.5%",444,"21.8%","23.7%",0.51,0.12
