"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",19,"14.8%","8.6%","23.4%","42%","-",74,51,96,3.3,"66.7%","19.6%","11%",-200,-169,-7.2,8.1,"28.8%",413,"26.4%","24.5%",0.31,0.22
"Alistar","Support",7,"5.5%","0.0%","5.5%","57%","-",4,13,59,4.8,"74.1%","17.1%","29%",-214,-57,3.7,1,"3.5%",89,"5.8%","8.8%",1.2,0.33
"Anivia","Middle",1,"0.8%","0.8%","1.6%","100%","-",2,1,8,10,"71.4%","9.1%","-","-","-","-","-","-","-","-","24.5%","-","-"
"Annie","Support",25,"19.5%","7.8%","27.3%","64%","-",28,86,241,3.1,"65.9%","28.9%","28%",14,-202,-3.3,0.6,"2.5%",184,"10.4%","10.3%",1.27,0.36
"Azir","Middle",11,"8.6%","10.9%","19.5%","45%","-",16,35,56,2.1,"58.1%","21.2%","9%",-163,-238,-4.1,8.1,"29.5%",499,"27.4%","23.6%",0.33,0.28
"Blitzcrank","Support",1,"0.8%","0.0%","0.8%","100%","-",2,0,5,7,"63.6%","0.0%","100%",170,919,5,0.8,"2.1%",134,"9.9%","10.9%",1.05,0.15
"Braum","Support",7,"5.5%","0.0%","5.5%","14%","-",1,29,32,1.1,"53.2%","21.8%","29%",-133,-122,5.3,1,"3.8%",122,"8.0%","7.9%",1.36,0.29
"Caitlyn","ADC",3,"2.3%","0.0%","2.3%","33%","-",4,5,20,4.8,"82.8%","13.9%","0%",110,97,5,8.2,"30.7%",455,"28.1%","25.9%",0.22,0.28
"Cassiopeia","Middle",10,"7.8%","20.3%","28.1%","50%","-",41,28,35,2.7,"71.0%","26.7%","20%",76,-4,6,8.5,"30.1%",387,"23.9%","26.5%",0.35,0.19
"Cho'Gath","Middle",5,"3.9%","1.6%","5.5%","60%","-",11,7,22,4.7,"71.7%","15.6%","40%",75,227,8,8.6,"28.6%",421,"25.9%","24.8%",0.42,0.08
"Corki","ADC",79,"61.7%","10.2%","71.9%","49%","-",326,159,395,4.5,"68.9%","15.0%","16%",-43,-37,-1.3,8.7,"31.1%",550,"32.3%","26.5%",0.18,0.18
"Diana","Middle",4,"3.1%","0.0%","3.1%","50%","-",16,8,15,3.9,"57.4%","18.2%","0%",-290,-424,-16.5,9,"29.8%",264,"16.6%","25.0%",0.41,0.14
"Dr. Mundo","Jungle",1,"0.8%","3.1%","14.8%","100%","-",1,1,18,19,"73.1%","11.1%","0%",-24,25,-2,4.1,"14.1%",405,"16.6%","17.5%",0.4,0.35
"Dr. Mundo","Top",14,"10.9%","3.1%","14.8%","36%","-",23,40,75,2.5,"61.3%","16.1%","14%",-172,-149,-4.7,7.1,"25.8%",404,"24.2%","22.7%",0.29,0.13
"Draven","ADC",1,"0.8%","0.0%","0.8%","0%","-",0,3,0,0,"-","20.0%","0%",-109,-308,-11,8.4,"28.5%",317,"29.6%","27.1%",0.2,0.2
"Elise","Jungle",1,"0.8%","0.8%","1.6%","0%","-",2,5,6,1.6,"80.0%","19.2%","100%",689,712,2,2.2,"6.8%",163,"8.7%","14.4%",1.15,0.14
"Evelynn","-",0,"0%","0.8%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",17,"13.3%","7.0%","33.6%","53%","-",60,32,86,4.6,"67.9%","16.9%","18%",-3,-4,-0.1,8.5,"30.7%",550,"31.9%","25.9%",0.12,0.14
"Ezreal","Middle",17,"13.3%","7.0%","33.6%","53%","-",83,28,73,5.6,"73.9%","13.1%","24%",82,-21,1.6,9.4,"33.3%",809,"41.0%","28.3%",0.26,0.23
"Fizz","Middle",3,"2.3%","9.4%","12.5%","33%","-",8,18,11,1.1,"52.8%","33.3%","0%",-95,-190,-4,6.5,"21.2%",346,"21.7%","23.4%",0.26,0.16
"Fizz","Top",1,"0.8%","9.4%","12.5%","100%","-",5,2,5,5,"62.5%","33.3%","0%",71,-899,1,7,"24.7%",435,"28.2%","21.5%",0.59,0.13
"Gnar","Top",49,"38.3%","17.2%","55.5%","57%","-",110,99,304,4.2,"62.1%","17.6%","10%",6,-15,2,7.6,"27.3%",378,"22.3%","22.8%",0.36,0.16
"Gragas","Jungle",1,"0.8%","0.0%","0.8%","0%","-",0,4,6,1.5,"60.0%","30.8%","100%",121,66,5,3.3,"11.3%",135,"8.4%","15.1%",1.18,0.46
"Graves","ADC",15,"11.7%","0.0%","11.7%","47%","-",52,44,78,3,"69.9%","20.1%","7%",-14,216,2.5,8.4,"30.1%",441,"24.7%","25.8%",0.17,0.18
"Hecarim","Top",20,"15.6%","2.3%","18.0%","35%","-",50,62,94,2.3,"65.5%","20.7%","15%",-127,-192,-7,8.4,"30.3%",345,"21.9%","25.2%",0.45,0.11
"Irelia","Support",2,"1.6%","0.8%","7.0%","0%","-",3,8,15,2.3,"85.7%","18.2%","50%",319,482,-0.5,1.7,"7.9%",223,"13.4%","11.6%",0.81,0.28
"Irelia","Top",6,"4.7%","0.8%","7.0%","33%","-",23,22,20,2,"63.2%","23.7%","0%",-155,-202,-0.5,7.8,"27.9%",369,"20.3%","24.3%",0.56,0.1
"Janna","Support",67,"52.3%","20.3%","72.7%","57%","-",29,153,564,3.9,"74.0%","19.9%","31%",-14,-35,-4,0.5,"2.2%",72,"4.3%","9.6%",1.4,0.38
"Jarvan IV","Jungle",89,"69.5%","5.5%","76.6%","54%","-",162,273,842,3.7,"81.5%","25.3%","42%",-31,-84,-1.4,2.8,"9.3%",167,"9.6%","15.5%",1.01,0.34
"Jarvan IV","Middle",2,"1.6%","5.5%","76.6%","50%","-",6,7,8,2,"70.0%","25.9%","50%",371,134,3,8.1,"27.6%",451,"24.3%","25.9%",0.52,0.06
