"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ekko","Jungle",19,"8.8%","2.3%","13.4%","53%","-",32,48,108,2.9,"65.1%","20.3%","32%",-75,-142,-1.8,2.9,"9.9%",180,"10.8%","15.7%",0.92,0.37
"Ekko","Middle",5,"2.3%","2.3%","13.4%","40%","-",14,14,25,2.8,"70.9%","17.1%","60%",56,310,1.4,8.1,"27.4%",344,"18.5%","23.8%",0.33,0.13
"Elise","Jungle",11,"5.1%","6.9%","12.0%","82%","-",26,28,73,3.5,"61.1%","25.9%","36%",-36,-43,-1.2,3.2,"10.6%",264,"14.3%","16.9%",0.96,0.38
"Evelynn","Jungle",72,"33.2%","12.4%","45.6%","49%","-",165,197,505,3.4,"72.4%","21.9%","50%",26,-16,-2,2.9,"9.3%",256,"14.4%","16.1%",0.91,0.21
"Ezreal","ADC",11,"5.1%","9.7%","23.5%","55%","-",43,19,74,6.2,"72.7%","13.9%","18%",-10,-150,-2.8,8.1,"27.9%",613,"28.3%","23.9%",0.15,0.13
"Ezreal","Middle",19,"8.8%","9.7%","23.5%","58%","-",89,41,78,4.1,"77.0%","19.2%","16%",-36,-65,-3.6,9.7,"33.6%",851,"42.0%","29.4%",0.41,0.24
"Fizz","Jungle",3,"1.4%","3.7%","17.1%","0%","-",7,9,9,1.8,"76.2%","20.9%","67%",285,303,3,3.7,"12.7%",178,"12.3%","19.7%",0.81,0.32
"Fizz","Middle",5,"2.3%","3.7%","17.1%","40%","-",26,22,16,1.9,"60.9%","27.8%","20%",-190,28,-6,7.1,"27.0%",358,"23.9%","24.0%",0.23,0.2
"Fizz","Top",21,"9.7%","3.7%","17.1%","57%","-",82,59,82,2.8,"54.8%","23.3%","29%",84,35,2.6,7.3,"25.7%",350,"19.5%","22.4%",0.57,0.09
"Galio","Top",1,"0.5%","0.0%","0.5%","0%","-",0,5,1,0.2,"33.3%","35.7%","100%",-227,-693,-15,5.4,"20.2%",281,"22.6%","16.9%",0.36,0.07
"Gnar","Top",54,"24.9%","7.8%","32.7%","37%","-",95,138,268,2.6,"62.9%","19.4%","17%",-79,-1,0.1,7.3,"25.7%",372,"21.3%","21.7%",0.6,0.09
"Gragas","Jungle",92,"42.4%","47.9%","91.2%","47%","-",145,236,679,3.5,"70.7%","19.9%","37%",-88,-74,-0.6,3,"10.0%",220,"11.8%","16.4%",1.02,0.36
"Gragas","Top",2,"0.9%","47.9%","91.2%","0%","-",1,5,8,1.8,"75.0%","12.5%","50%",-30,501,-1.5,6.9,"22.1%",295,"21.6%","20.2%",0.58,0.09
"Graves","ADC",2,"0.9%","0.5%","1.4%","50%","-",10,9,26,4,"64.3%","22.5%","0%",135,184,3.5,7.1,"25.7%",556,"20.0%","21.8%",0.18,0.2
"Hecarim","Top",47,"21.7%","6.9%","28.6%","43%","-",121,122,241,3,"65.2%","18.6%","17%",-68,-46,-4,7.6,"26.9%",354,"20.1%","23.2%",0.58,0.07
"Irelia","Middle",3,"1.4%","0.5%","3.2%","67%","-",14,7,9,3.3,"50.0%","18.9%","0%",42,155,3.7,8.3,"27.2%",463,"22.3%","23.7%",0.37,0.16
"Irelia","Top",3,"1.4%","0.5%","3.2%","67%","-",15,6,18,5.5,"63.5%","18.8%","33%",186,321,2.7,7.4,"29.7%",456,"22.6%","23.1%",0.52,0.04
"Janna","Support",56,"25.8%","0.9%","26.7%","45%","-",18,124,439,3.7,"76.4%","17.8%","23%",14,2,-5.6,0.5,"2.2%",76,"4.4%","9.7%",1.37,0.39
"Jarvan IV","Jungle",6,"2.8%","0.9%","4.1%","33%","-",5,16,47,3.3,"78.8%","18.0%","17%",-157,40,1,3,"9.5%",151,"8.6%","15.7%",1.05,0.35
"Jarvan IV","Middle",1,"0.5%","0.9%","4.1%","100%","-",5,3,7,4,"85.7%","23.1%","0%",2,30,-4,8.4,"30.7%",391,"22.1%","27.3%",0.68,0.2
"Jax","Top",2,"0.9%","0.0%","0.9%","50%","-",5,7,9,2,"45.2%","30.4%","50%",-185,-67,-11,6.4,"26.7%",280,"16.0%","19.7%",0.42,0.08
"Jayce","Middle",5,"2.3%","0.5%","2.8%","40%","-",19,12,28,3.9,"88.7%","18.8%","40%",-42,-126,-1.8,8.5,"31.3%",715,"32.1%","27.6%",0.46,0.25
"Jinx","ADC",15,"6.9%","0.0%","6.9%","33%","-",56,33,59,3.5,"73.2%","16.2%","27%",74,-99,-0.5,8.7,"32.6%",484,"28.7%","28.0%",0.14,0.18
"Kalista","ADC",21,"9.7%","89.9%","99.5%","57%","-",66,55,95,2.9,"64.1%","23.0%","10%",-112,-16,-0.8,8.2,"28.8%",353,"21.4%","24.7%",0.14,0.16
"Karma","Middle",1,"0.5%","0.0%","1.8%","0%","-",1,4,6,1.8,"100.0%","20.0%","0%",-66,-295,-2,7.1,"21.0%",613,"32.8%","23.5%",0.16,0.3
"Karma","Support",2,"0.9%","0.0%","1.8%","50%","-",0,4,14,3.5,"82.4%","22.2%","50%",8,291,-2.5,0.8,"4.2%",188,"14.1%","10.8%",1.46,0.28
"Karma","Top",1,"0.5%","0.0%","1.8%","0%","-",5,4,5,2.5,"62.5%","14.3%","0%",14,154,1,6.4,"19.7%",563,"22.4%","20.5%",0.73,0.11
"Kassadin","Middle",14,"6.5%","0.0%","6.9%","64%","-",62,27,75,5.1,"72.5%","14.9%","21%",-115,-84,-4.7,7.5,"26.8%",494,"26.5%","23.6%",0.3,0.23
"Kassadin","Top",1,"0.5%","0.0%","6.9%","0%","-",6,3,3,3,"75.0%","18.8%","0%",26,67,3,6.3,"21.8%",438,"27.7%","21.7%",0.62,0.04
"Kayle","Middle",1,"0.5%","0.0%","0.5%","0%","-",1,5,2,0.6,"50.0%","19.2%","0%",-180,-187,-1,8.9,"37.1%",243,"19.2%","27.4%",0.43,0.13
"Kennen","Support",11,"5.1%","0.9%","6.5%","64%","-",6,25,84,3.6,"62.5%","21.4%","9%",149,108,-3.5,1.1,"5.0%",280,"15.8%","10.8%",1.34,0.6
"Kennen","Top",1,"0.5%","0.9%","6.5%","0%","-",0,5,2,0.4,"50.0%","22.7%","0%",-355,499,4,6.5,"24.6%",416,"25.7%","20.7%",0.44,0.12
"Kog'Maw","ADC",40,"18.4%","4.1%","23.0%","55%","-",151,75,195,4.6,"68.4%","17.7%","20%",-31,9,-1.8,8.1,"28.1%",606,"33.9%","24.7%",0.16,0.2
"Kog'Maw","Middle",1,"0.5%","4.1%","23.0%","100%","-",5,3,10,5,"68.2%","25.0%","100%",289,-17,8,9.3,"33.3%",891,"38.4%","23.6%",0.21,0.3
"LeBlanc","Middle",20,"9.2%","26.3%","35.5%","40%","-",99,57,78,3.1,"69.1%","19.7%","10%",12,-32,3,7.4,"26.0%",562,"29.9%","23.9%",0.3,0.18
"Lee Sin","Jungle",37,"17.1%","0.5%","17.5%","43%","-",77,90,222,3.3,"73.6%","19.2%","35%",24,-1,-0.5,3.1,"10.2%",184,"11.6%","16.9%",0.96,0.39
"Leona","Support",4,"1.8%","0.0%","1.8%","75%","-",7,10,42,4.9,"70.0%","25.6%","25%",-64,-61,7,1.3,"5.0%",143,"6.9%","10.2%",1.25,0.49
"Lissandra","Middle",1,"0.5%","0.0%","0.5%","100%","-",4,3,9,4.3,"68.4%","42.9%","100%",534,345,14,8.1,"27.3%",457,"27.8%","23.2%",0.77,0.13
"Lucian","ADC",50,"23.0%","1.4%","24.4%","52%","-",197,111,201,3.6,"64.7%","17.5%","14%",32,-147,2,8.9,"31.5%",515,"28.8%","26.8%",0.14,0.18
"Lulu","Middle",25,"11.5%","6.0%","18.9%","36%","-",39,57,135,3.1,"73.4%","18.1%","8%",-115,-38,-2.6,8.1,"27.8%",353,"20.9%","24.2%",0.42,0.2
"Lulu","Support",1,"0.5%","6.0%","18.9%","0%","-",1,3,0,0.3,"25.0%","17.6%","0%",125,5,-1,0.6,"2.7%",133,"9.9%","9.1%",1.07,0.27
"Lulu","Top",2,"0.9%","6.0%","18.9%","50%","-",3,6,12,2.5,"65.2%","37.5%","50%",299,51,0,6.8,"24.3%",196,"14.7%","20.5%",0.67,0.11
"Lux","Middle",1,"0.5%","0.0%","0.5%","0%","-",0,4,2,0.5,"33.3%","20.0%","0%",-880,-762,-21,7.7,"35.1%",224,"16.0%","24.5%",0.23,0.12
"Maokai","Top",122,"56.2%","17.1%","73.3%","58%","-",217,312,905,3.6,"71.4%","21.3%","26%",62,84,4.2,6.9,"23.4%",334,"18.9%","20.4%",0.59,0.08
"Master Yi","Middle",2,"0.9%","0.0%","0.9%","100%","-",14,5,9,4.6,"56.1%","38.5%","50%",397,566,16.5,8.8,"31.0%",403,"22.3%","24.2%",0.46,0.08
"Morgana","Middle",1,"0.5%","0.0%","3.7%","0%","-",2,5,4,1.2,"85.7%","27.8%","0%",-338,52,-10,8.4,"29.0%",513,"42.7%","28.3%",0.32,0.32
"Morgana","Support",6,"2.8%","0.0%","3.7%","33%","-",2,25,31,1.3,"56.9%","25.0%","17%",123,-116,-2.8,0.6,"3.1%",183,"10.7%","9.8%",1.23,0.4
"Morgana","Top",1,"0.5%","0.0%","3.7%","100%","-",4,1,11,15,"65.2%","14.3%","100%",-94,-473,11,8.3,"28.0%",675,"35.7%","22.9%",0.47,0.04
"Nami","Support",1,"0.5%","0.0%","0.5%","0%","-",0,3,8,2.7,"100.0%","21.4%","100%",310,452,-5,0.7,"2.8%",186,"11.6%","10.6%",1.37,0.63
"Nautilus","Support",56,"25.8%","3.2%","31.3%","45%","-",36,187,413,2.4,"66.2%","24.9%","21%",-37,-6,2.9,1.1,"4.1%",151,"8.4%","8.9%",1.32,0.26
"Nautilus","Top",5,"2.3%","3.2%","31.3%","60%","-",6,17,44,2.9,"65.8%","23.3%","20%",6,-157,-5.4,6.9,"24.4%",439,"21.5%","19.4%",0.57,0.04
"Nidalee","Jungle",28,"12.9%","12.0%","24.9%","46%","-",82,63,125,3.3,"69.0%","17.4%","36%",110,147,4.8,4.1,"14.5%",364,"20.8%","20.8%",0.67,0.37
"Nunu & Willump","Jungle",13,"6.0%","0.9%","7.8%","77%","-",21,23,129,6.5,"78.9%","17.7%","54%",1,-82,-2.5,3.1,"10.4%",180,"8.4%","16.9%",1.1,0.38
"Nunu & Willump","Support",1,"0.5%","0.9%","7.8%","0%","-",1,3,1,0.7,"66.7%","27.3%","100%",13,294,2,1.2,"4.7%",68,"7.2%","9.2%",1.53,0.34
"Nunu & Willump","Top",1,"0.5%","0.9%","7.8%","100%","-",1,1,6,7,"63.6%","50.0%","0%",411,327,20,7.8,"23.7%",293,"15.4%","19.8%",0.67,0
"Olaf","Jungle",2,"0.9%","0.5%","2.3%","100%","-",3,5,16,3.8,"57.6%","17.2%","50%",-54,201,-2,2.9,"8.3%",209,"8.4%","14.9%",1.09,0.33
"Olaf","Top",2,"0.9%","0.5%","2.3%","50%","-",4,7,3,1,"38.9%","24.1%","50%",293,-135,6,7.3,"26.6%",322,"17.2%","21.3%",0.54,0.12
"Orianna","Middle",11,"5.1%","0.0%","5.1%","45%","-",37,23,52,3.9,"72.4%","18.4%","9%",-78,-154,-0.7,9,"30.5%",475,"26.9%","25.5%",0.35,0.24
"Rek'Sai","Jungle",123,"56.7%","26.7%","84.8%","51%","-",216,284,898,3.9,"72.8%","19.0%","44%",36,50,1.1,3.5,"11.8%",228,"12.4%","17.8%",1.04,0.41
"Rek'Sai","Top",3,"1.4%","26.7%","84.8%","0%","-",5,10,7,1.2,"44.4%","18.9%","0%",-283,-23,-8,8.2,"28.5%",516,"27.3%","23.7%",0.54,0.08
"Renekton","Top",2,"0.9%","0.0%","0.9%","0%","-",3,7,3,0.9,"66.7%","18.4%","0%",-175,-279,-15.5,8.4,"31.7%",214,"17.5%","26.8%",0.81,0.14
"Rengar","Jungle",4,"1.8%","0.0%","1.8%","50%","-",7,13,38,3.5,"75.0%","25.5%","50%",-38,261,0.8,3,"11.0%",211,"11.4%","17.1%",0.86,0.33
"Riven","Top",9,"4.1%","1.8%","6.0%","67%","-",41,16,23,4,"59.8%","20.0%","0%",162,104,6.9,8.6,"31.5%",301,"18.6%","25.4%",0.59,0.06
"Rumble","Top",94,"43.3%","18.0%","61.3%","51%","-",266,262,507,3,"65.0%","23.2%","20%",-48,-72,-3.6,6.8,"24.2%",504,"26.0%","21.1%",0.59,0.06
"Ryze","Middle",4,"1.8%","62.2%","72.4%","75%","-",21,8,18,4.9,"69.6%","21.1%","25%",49,53,-4,7.9,"27.1%",408,"23.7%","24.9%",0.29,0.14
"Ryze","Top",18,"8.3%","62.2%","72.4%","50%","-",52,56,75,2.3,"61.7%","26.7%","28%",-27,-265,-3.6,7.5,"27.1%",427,"24.9%","22.6%",0.63,0.09
"Sejuani","Jungle",23,"10.6%","8.3%","18.9%","48%","-",36,60,167,3.4,"70.2%","20.8%","57%",15,11,0.7,3.3,"11.7%",208,"11.5%","17.4%",1.03,0.39
"Shen","Support",1,"0.5%","5.1%","18.4%","100%","-",1,0,7,8,"80.0%","0.0%","100%",205,-38,6,1.5,"5.3%",61,"4.5%","10.5%",1.29,0.65
"Shen","Top",28,"12.9%","5.1%","18.4%","54%","-",70,42,215,6.8,"74.8%","14.1%","39%",2,35,-0.5,7.6,"26.2%",317,"16.1%","22.3%",0.66,0.06
"Shyvana","Top",5,"2.3%","1.4%","3.7%","40%","-",6,16,26,2,"62.7%","19.8%","0%",24,15,-0.6,8.6,"29.8%",418,"22.1%","25.2%",0.55,0.07
"Sivir","ADC",118,"54.4%","10.6%","65.0%","56%","-",458,230,739,5.2,"76.5%","16.5%","22%",4,-57,-0.4,8.8,"31.5%",543,"28.5%","26.8%",0.17,0.19
"Thresh","Support",77,"35.5%","13.4%","48.8%","45%","-",60,268,585,2.4,"72.0%","26.6%","29%",-10,-88,1.4,0.9,"3.1%",121,"6.8%","8.8%",1.26,0.35
"Tristana","ADC",12,"5.5%","0.5%","6.0%","25%","-",23,25,37,2.4,"56.6%","13.4%","8%",-92,-22,-4.7,8.7,"31.0%",346,"22.2%","26.4%",0.14,0.24
"Trundle","Jungle",1,"0.5%","0.0%","0.5%","100%","-",5,1,9,14,"93.3%","14.3%","100%",-337,-870,-7,3.2,"8.9%",166,"8.0%","16.6%",1.3,0.5
"Twisted Fate","Middle",25,"11.5%","13.8%","25.3%","64%","-",101,58,163,4.6,"73.5%","20.9%","48%",248,-132,-6.7,8.8,"30.2%",468,"26.7%","27.5%",0.37,0.16
"Twitch","ADC",1,"0.5%","0.0%","0.5%","0%","-",1,2,1,1,"100.0%","13.3%","0%",123,-854,8,6.7,"25.2%",481,"40.2%","24.4%",0.17,0.07
"Urgot","ADC",5,"2.3%","0.9%","3.7%","60%","-",18,17,39,3.4,"83.8%","21.5%","40%",210,337,7.2,7.1,"24.6%",463,"24.2%","22.9%",0.14,0.15
"Urgot","Middle",1,"0.5%","0.9%","3.7%","0%","-",1,8,2,0.4,"42.9%","34.8%","0%",-599,-992,-27,5.3,"20.9%",303,"26.7%","19.5%",0.29,0.11
"Varus","ADC",1,"0.5%","6.5%","17.5%","0%","-",1,4,6,1.8,"87.5%","28.6%","100%",907,643,20,8.6,"29.9%",445,"27.8%","24.1%",0.2,0.23
"Varus","Middle",23,"10.6%","6.5%","17.5%","48%","-",76,64,138,3.3,"75.4%","20.0%","17%",-150,-217,-6.2,7.9,"28.5%",740,"35.9%","25.0%",0.43,0.17
"Vayne","ADC",47,"21.7%","6.9%","28.6%","51%","-",163,108,191,3.3,"64.6%","19.1%","30%",8,140,-2.2,7.9,"27.9%",458,"26.6%","24.6%",0.14,0.21
"Veigar","Support",2,"0.9%","0.0%","0.9%","0%","-",0,7,5,0.7,"33.3%","17.9%","0%",-166,-148,-8,0.3,"1.7%",111,"7.3%","6.5%",1.23,0.18
"Vel'Koz","Middle",2,"0.9%","0.0%","0.9%","0%","-",6,9,9,1.7,"62.5%","23.7%","50%",134,-83,-1,9,"30.2%",854,"37.0%","25.1%",0.71,0.19
"Viktor","Middle",104,"47.9%","17.1%","65.0%","47%","-",430,224,453,3.9,"69.9%","18.2%","22%",-32,57,0.2,9.4,"32.8%",587,"33.6%","27.2%",0.36,0.19
"Vladimir","Middle",6,"2.8%","0.5%","4.6%","33%","-",14,20,30,2.2,"68.8%","22.5%","0%",-125,-167,-1.5,8.6,"29.3%",518,"28.6%","24.3%",0.3,0.2
"Vladimir","Top",3,"1.4%","0.5%","4.6%","33%","-",8,11,11,1.7,"55.9%","27.5%","67%",120,4,0.3,7.8,"24.7%",500,"23.8%","21.8%",0.56,0.07
"Xerath","Middle",2,"0.9%","0.0%","0.9%","0%","-",8,4,8,4,"94.1%","12.9%","0%",-157,-49,2.5,7.7,"28.6%",626,"35.0%","26.8%",0.1,0.07
"Yasuo","Middle",9,"4.1%","2.8%","7.8%","56%","-",42,25,59,4,"75.4%","19.5%","44%",307,44,6,9,"33.1%",521,"25.3%","26.9%",0.44,0.13
"Yasuo","Top",2,"0.9%","2.8%","7.8%","100%","-",16,4,21,9.3,"77.1%","44.4%","100%",604,-12,12,9.4,"37.5%",585,"24.7%","27.5%",0.68,0.12
"Zed","Middle",8,"3.7%","15.7%","19.4%","63%","-",44,20,40,4.2,"71.2%","17.5%","50%",308,174,4.5,9.1,"30.0%",450,"25.0%","26.0%",0.4,0.19
"Ziggs","Middle",3,"1.4%","0.0%","1.4%","0%","-",5,5,4,1.8,"69.2%","10.6%","0%",-205,-44,0,9.8,"35.7%",690,"37.3%","30.4%",0.3,0.19
