"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",18,"8.3%","5.5%","13.8%","50%","-",62,51,96,3.1,"69.0%","22.1%","11%",-77,-9,-3.2,8.5,"30.7%",494,"29.6%","25.5%",0.36,0.24
"Alistar","Support",123,"56.7%","29.5%","86.2%","55%","-",68,310,1126,3.9,"74.3%","21.3%","31%",-28,-1,2.3,0.9,"3.4%",92,"5.1%","9.3%",1.28,0.3
"Annie","Support",45,"20.7%","25.3%","46.1%","58%","-",58,134,381,3.3,"68.2%","23.7%","44%",86,25,-5.4,0.5,"2.2%",181,"9.8%","10.2%",1.38,0.36
"Ashe","ADC",3,"1.4%","0.0%","1.4%","100%","-",14,5,36,10,"82.0%","25.0%","33%",331,-147,10,8.4,"26.7%",760,"34.5%","25.1%",0.14,0.19
"Azir","Middle",75,"34.6%","34.6%","69.1%","55%","-",269,177,363,3.6,"65.7%","19.8%","17%",47,100,3.7,9.2,"31.6%",577,"30.5%","26.0%",0.35,0.3
"Bard","Support",6,"2.8%","4.1%","6.9%","50%","-",8,17,75,4.9,"77.6%","23.3%","17%",17,-9,-7.3,0.7,"3.3%",233,"9.0%","11.0%",1.42,0.39
"Braum","Support",42,"19.4%","4.1%","23.5%","50%","-",24,114,368,3.4,"75.2%","23.8%","26%",-21,114,2.4,1.1,"3.9%",158,"8.6%","9.2%",1.35,0.32
"Cassiopeia","Middle",38,"17.5%","17.5%","35.0%","55%","-",154,79,177,4.2,"68.7%","19.2%","8%",37,-18,4.9,8.7,"29.8%",465,"26.8%","25.2%",0.42,0.18
"Corki","ADC",106,"48.8%","0.5%","49.3%","43%","-",356,214,505,4,"68.1%","15.1%","13%",-22,83,1.2,8.7,"30.1%",572,"30.5%","25.6%",0.18,0.2
"Dr. Mundo","Top",4,"1.8%","0.5%","2.3%","25%","-",7,9,18,2.8,"58.1%","14.1%","50%",4,171,1.5,7.8,"25.3%",392,"20.8%","22.9%",0.62,0.08
"Draven","ADC",2,"0.9%","0.0%","0.9%","0%","-",2,2,6,4,"72.7%","9.1%","50%",113,318,4,7.8,"28.0%",261,"20.7%","28.5%",0.11,0.14
