"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Hecarim","Jungle",19,"9.0%","20.3%","32.5%","58%","-",68,53,148,4.1,"76.3%","24.1%","58%",104,-46,2.1,4.7,"15.6%",363,"17.5%","20.7%",0.48,0.43
"Hecarim","Top",7,"3.3%","20.3%","32.5%","57%","-",26,24,53,3.3,"73.1%","27.6%","43%",-194,-239,-9.9,7.1,"24.9%",444,"20.9%","21.1%",0.51,0.15
"Irelia","Top",28,"13.2%","5.2%","18.4%","50%","-",90,82,96,2.3,"61.0%","25.7%","29%",89,148,5.8,7.8,"27.4%",414,"20.5%","22.4%",0.52,0.12
"Janna","Support",1,"0.5%","0.0%","0.5%","0%","-",0,7,5,0.7,"71.4%","35.0%","0%",-47,-90,-9,0.5,"2.4%",50,"2.3%","11.5%",1.45,0.31
"Jayce","Middle",1,"0.5%","0.0%","0.5%","0%","-",5,2,2,3.5,"100.0%","20.0%","0%",355,38,15,9.4,"27.6%",844,"44.4%","25.6%",0.61,0.22
"Jhin","ADC",66,"31.1%","5.7%","36.8%","50%","-",267,113,369,5.6,"72.2%","15.2%","14%",-84,-71,-0.5,7.9,"25.7%",618,"28.8%","22.7%",0.43,0.13
"Jinx","ADC",1,"0.5%","0.0%","0.5%","0%","-",2,2,0,1,"66.7%","66.7%","0%",102,64,1,10.9,"35.2%",410,"37.7%","29.4%",0.45,0.4
"Kalista","ADC",16,"7.5%","0.0%","7.5%","56%","-",43,28,63,3.8,"66.3%","21.4%","31%",-1,-27,-0.4,9,"28.8%",362,"19.4%","24.2%",0.35,0.26
"Karma","Middle",42,"19.8%","11.8%","53.3%","48%","-",76,85,233,3.6,"76.5%","20.5%","12%",-1,64,1.8,7.8,"23.0%",483,"24.0%","21.0%",0.5,0.15
"Karma","Support",46,"21.7%","11.8%","53.3%","57%","-",30,100,357,3.9,"71.0%","20.2%","15%",-69,-128,-4.3,0.7,"2.6%",154,"7.6%","11.4%",1.37,0.39
"Kassadin","Middle",5,"2.4%","0.0%","2.4%","20%","-",12,8,9,2.6,"63.6%","13.8%","20%",-388,-300,-9.2,8.1,"27.2%",688,"34.7%","23.3%",0.48,0.18
"Kha'Zix","Jungle",1,"0.5%","0.0%","0.5%","0%","-",0,3,0,0,"0.0%","33.3%","0%",121,42,4,4.5,"14.9%",233,"11.1%","19.1%",0.17,0.44
"Kindred","Jungle",33,"15.6%","21.2%","36.8%","42%","-",95,92,152,2.7,"74.6%","23.9%","39%",-47,-133,-3,4.6,"15.3%",362,"19.2%","21.0%",0.63,0.55
"Kog'Maw","ADC",10,"4.7%","0.5%","5.2%","60%","-",34,10,35,6.9,"68.3%","14.1%","30%",86,23,0.4,9,"29.6%",504,"25.3%","24.9%",0.41,0.26
"LeBlanc","Middle",29,"13.7%","10.4%","24.1%","48%","-",103,69,97,2.9,"65.1%","22.8%","45%",172,172,4.3,7.6,"23.5%",527,"27.9%","21.7%",0.49,0.23
"Lee Sin","Jungle",7,"3.3%","0.0%","3.3%","57%","-",17,15,43,4,"65.2%","17.9%","43%",-18,163,2.4,4,"13.0%",237,"11.3%","18.4%",0.68,0.51
"Leona","Support",1,"0.5%","0.0%","0.5%","0%","-",0,3,3,1,"75.0%","27.3%","0%",30,-140,-1,1.2,"3.7%",98,"6.8%","11.0%",1.14,0.31
"Lissandra","Middle",17,"8.0%","5.7%","14.2%","65%","-",63,34,112,5.1,"73.5%","19.0%","24%",74,108,1.8,8.8,"28.7%",504,"24.8%","23.1%",0.56,0.19
"Lissandra","Top",1,"0.5%","5.7%","14.2%","0%","-",2,5,4,1.2,"33.3%","31.3%","0%",-89,-98,-8,8.3,"29.0%",397,"17.8%","20.5%",0.36,0.1
"Lucian","ADC",56,"26.4%","8.5%","35.4%","43%","-",175,97,204,3.9,"70.7%","15.9%","16%",57,120,4,8.9,"29.4%",525,"26.3%","24.8%",0.43,0.28
"Lucian","Middle",1,"0.5%","8.5%","35.4%","0%","-",0,3,2,0.7,"40.0%","12.0%","0%",121,88,8,8.4,"27.3%",420,"24.4%","22.1%",0.46,0.31
"Lulu","Middle",2,"0.9%","0.0%","0.9%","0%","-",1,7,7,1.1,"80.0%","24.1%","50%",48,174,-1.5,8.6,"28.4%",407,"24.0%","22.1%",0.56,0.16
"Malzahar","Middle",22,"10.4%","15.1%","26.9%","73%","-",77,42,156,5.5,"73.3%","18.3%","18%",-181,35,-5.2,7.4,"23.7%",678,"30.0%","21.1%",0.46,0.15
"Malzahar","Top",3,"1.4%","15.1%","26.9%","67%","-",6,10,19,2.5,"59.5%","25.0%","0%",-49,192,6.7,6.9,"21.9%",645,"26.6%","19.7%",0.5,0.17
"Maokai","Top",40,"18.9%","3.8%","22.6%","50%","-",52,88,256,3.5,"72.5%","21.0%","25%",-14,-30,-0.9,7.1,"23.8%",414,"20.6%","20.0%",0.51,0.12
"Miss Fortune","ADC",1,"0.5%","0.0%","0.5%","100%","-",8,3,6,4.7,"63.6%","25.0%","0%",-40,-301,12,9.3,"29.5%",870,"27.4%","25.2%",0.46,0.23
"Nami","Support",40,"18.9%","0.5%","19.3%","55%","-",24,65,326,5.4,"79.9%","17.9%","38%",18,-7,-5,0.6,"2.2%",132,"6.6%","11.2%",1.33,0.46
"Nidalee","Jungle",38,"17.9%","75.9%","93.9%","55%","-",120,83,205,3.9,"76.1%","21.5%","37%",321,468,8.2,5.4,"17.5%",424,"19.7%","22.4%",0.65,0.57
"Pantheon","Middle",1,"0.5%","0.0%","0.5%","100%","-",8,4,4,3,"50.0%","30.8%","0%",-710,-658,-17,6.8,"20.8%",456,"20.5%","20.1%",0.58,0.12
"Poppy","Top",6,"2.8%","0.0%","2.8%","33%","-",10,18,29,2.2,"62.9%","22.5%","17%",-101,-213,-2.2,6.5,"23.4%",325,"18.8%","20.7%",0.49,0.09
"Rek'Sai","Jungle",105,"49.5%","16.0%","65.6%","54%","-",206,199,705,4.6,"77.1%","18.3%","34%",83,140,2.7,4.9,"15.5%",292,"14.9%","20.3%",0.76,0.54
"Renekton","Top",5,"2.4%","0.0%","2.4%","40%","-",15,11,18,3,"71.7%","19.0%","60%",134,-212,-8.8,7.7,"29.3%",343,"17.2%","23.4%",0.47,0.15
"Rumble","Top",13,"6.1%","0.9%","7.1%","54%","-",26,45,77,2.3,"64.4%","24.1%","15%",-2,56,3.4,7.4,"24.1%",540,"25.1%","21.4%",0.53,0.1
"Ryze","Middle",16,"7.5%","44.3%","54.7%","44%","-",40,36,65,2.9,"66.0%","20.3%","38%",-95,-77,-7.8,8.1,"25.7%",472,"24.5%","22.2%",0.51,0.17
"Ryze","Top",6,"2.8%","44.3%","54.7%","33%","-",9,9,7,1.8,"36.4%","14.8%","33%",-140,-217,-5.8,7.9,"29.0%",325,"22.8%","22.8%",0.54,0.11
"Sejuani","Jungle",1,"0.5%","0.0%","0.5%","0%","-",0,5,1,0.2,"20.0%","35.7%","0%",-774,-993,-8,3.6,"10.7%",226,"9.1%","16.9%",0.75,0.4
"Shen","Top",51,"24.1%","29.7%","53.8%","51%","-",89,89,370,5.2,"78.7%","16.9%","35%",-90,-67,-4,7.1,"24.4%",305,"15.3%","20.8%",0.52,0.11
"Sivir","ADC",108,"50.9%","19.8%","70.8%","54%","-",280,195,572,4.4,"74.3%","17.4%","27%",31,6,-1.4,9.8,"33.4%",554,"27.4%","25.7%",0.42,0.25
"Soraka","Support",8,"3.8%","0.0%","3.8%","63%","-",0,17,55,3.2,"62.5%","23.0%","25%",-76,-14,-2.5,0.5,"1.9%",92,"4.3%","10.4%",1.29,0.37
"Swain","Middle",4,"1.9%","4.2%","12.3%","25%","-",5,10,18,2.3,"85.2%","22.7%","0%",-22,2,2.3,8.7,"26.4%",490,"26.7%","22.8%",0.52,0.17
"Swain","Top",13,"6.1%","4.2%","12.3%","38%","-",17,38,75,2.4,"70.8%","21.3%","23%",-226,-15,-3.2,7.6,"27.4%",611,"28.6%","21.7%",0.52,0.11
"Syndra","Middle",2,"0.9%","0.0%","0.9%","0%","-",1,11,2,0.3,"37.5%","36.7%","0%",-57,44,1.5,8.1,"24.5%",383,"25.8%","21.7%",0.49,0.08
"Tahm Kench","Support",36,"17.0%","4.7%","24.5%","56%","-",22,79,230,3.2,"62.1%","21.2%","28%",-39,62,1.5,1.4,"4.5%",123,"5.8%","11.2%",1.39,0.36
"Tahm Kench","Top",6,"2.8%","4.7%","24.5%","50%","-",5,13,36,3.2,"67.2%","22.4%","33%",-157,51,-0.2,6.4,"21.9%",200,"9.8%","19.3%",0.53,0.12
"Taliyah","Middle",10,"4.7%","13.7%","18.4%","70%","-",72,29,74,5,"76.8%","22.8%","40%",9,27,-0.9,9,"28.3%",729,"33.9%","24.0%",0.49,0.19
"Taric","Support",33,"15.6%","2.4%","17.9%","58%","-",23,80,313,4.2,"78.0%","22.2%","24%",39,26,1.6,1.3,"4.8%",88,"4.3%","11.8%",1.3,0.39
"Teemo","Top",2,"0.9%","0.0%","0.9%","0%","-",2,3,5,2.3,"77.8%","13.6%","50%",27,247,-2.5,8.8,"30.6%",504,"25.9%","24.9%",0.47,0.24
"Thresh","Support",12,"5.7%","1.9%","7.5%","58%","-",3,43,93,2.2,"65.3%","32.1%","33%",9,-189,6.5,0.9,"2.6%",95,"5.2%","10.1%",1.47,0.36
"Tristana","ADC",2,"0.9%","0.0%","0.9%","0%","-",8,6,4,2,"75.0%","19.4%","0%",-43,-111,-9.5,8.6,"28.7%",494,"25.7%","25.4%",0.32,0.17
"Trundle","Support",32,"15.1%","16.0%","57.5%","59%","-",21,67,285,4.6,"70.5%","18.2%","13%",-37,-187,0.3,1.5,"5.0%",106,"4.8%","11.6%",1.44,0.46
"Trundle","Top",56,"26.4%","16.0%","57.5%","57%","-",109,111,289,3.6,"61.6%","21.3%","36%",102,-18,2.7,7.7,"26.4%",323,"17.0%","21.5%",0.52,0.14
"Twisted Fate","Middle",18,"8.5%","20.3%","28.8%","33%","-",51,50,100,3,"71.2%","19.7%","28%",283,-205,-4.3,8.2,"26.8%",486,"24.2%","24.6%",0.49,0.12
"Twitch","ADC",6,"2.8%","0.5%","3.3%","17%","-",13,25,31,1.8,"74.6%","25.8%","17%",-134,-264,-9.8,7.6,"25.6%",514,"24.8%","22.4%",0.41,0.26
"Varus","Middle",36,"17.0%","27.8%","44.8%","58%","-",120,64,166,4.5,"73.7%","18.6%","25%",-35,-81,0.4,8.2,"25.1%",791,"36.5%","22.2%",0.53,0.16
"Veigar","Middle",2,"0.9%","0.5%","1.4%","0%","-",2,3,4,2,"60.0%","11.5%","0%",-337,-83,-3,8.2,"26.2%",353,"27.4%","22.0%",0.52,0.08
"Viktor","Middle",71,"33.5%","8.0%","41.5%","52%","-",246,145,333,4,"70.9%","18.4%","25%",-42,-7,-1.5,8.8,"27.9%",661,"32.7%","23.5%",0.48,0.19
"Vladimir","Middle",57,"26.9%","44.3%","71.7%","42%","-",158,118,247,3.4,"73.2%","17.9%","19%",-23,-72,2.8,8.5,"26.8%",547,"28.6%","22.8%",0.46,0.22
"Vladimir","Top",1,"0.5%","44.3%","71.7%","0%","-",0,4,1,0.3,"20.0%","25.0%","0%",-76,-233,-2,7.3,"24.3%",359,"21.6%","19.5%",0.49,0.1
"Yasuo","Top",3,"1.4%","0.0%","1.4%","33%","-",3,7,3,0.9,"30.0%","24.1%","0%",368,31,17.3,9.4,"31.6%",288,"16.7%","25.0%",0.48,0.08
"Zed","-",0,"0%","1.4%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Zilean","Middle",2,"0.9%","3.8%","4.7%","100%","-",2,1,14,16,"61.5%","6.3%","0%",-474,201,-11.5,7.7,"24.4%",474,"20.4%","20.2%",0.55,0.16
"Zyra","Support",3,"1.4%","0.0%","1.4%","33%","-",3,4,8,2.8,"64.7%","17.4%","0%",-95,172,-9.7,0.9,"3.7%",316,"18.6%","11.7%",1.35,0.52
