"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",1,"0.5%","0.0%","0.5%","0%","-",3,0,1,4,"100.0%","0.0%","0%",59,-86,-3,9.1,"29.8%",463,"34.6%","24.8%",0.42,0.16
"Alistar","Support",67,"31.6%","7.1%","38.7%","48%","-",37,201,507,2.7,"73.7%","25.5%","21%",35,74,2.3,1.1,"3.9%",101,"5.0%","11.1%",1.4,0.33
"Amumu","Jungle",2,"0.9%","0.0%","0.9%","50%","-",2,7,19,3,"72.4%","23.3%","100%",-145,-176,-14.5,4,"13.0%",340,"15.1%","19.1%",0.84,0.18
"Anivia","Middle",13,"6.1%","2.8%","9.0%","62%","-",42,22,60,4.6,"66.7%","15.3%","0%",81,240,-5.3,8.6,"26.9%",698,"26.9%","22.9%",0.52,0.17
"Ashe","ADC",90,"42.5%","21.7%","64.2%","52%","-",238,196,501,3.8,"71.1%","18.3%","26%",-14,6,0,8.7,"28.8%",464,"24.0%","23.8%",0.38,0.23
"Aurelion Sol","Middle",8,"3.8%","7.1%","10.8%","75%","-",25,10,57,8.2,"71.3%","18.5%","38%",-215,-295,-8.1,8.5,"27.2%",566,"27.0%","22.4%",0.43,0.19
"Azir","Middle",51,"24.1%","26.9%","50.9%","49%","-",128,110,220,3.2,"69.6%","19.1%","16%",66,60,3.7,8.8,"28.3%",602,"30.5%","23.5%",0.49,0.26
"Bard","Support",53,"25.0%","7.5%","32.5%","42%","-",45,131,337,2.9,"73.7%","21.0%","25%",-48,167,-6.4,0.7,"2.9%",170,"9.2%","11.2%",1.38,0.44
"Blitzcrank","Support",1,"0.5%","0.0%","0.5%","0%","-",0,4,2,0.5,"33.3%","26.7%","0%",-489,-256,4,1.1,"4.3%",121,"7.6%","9.8%",1.03,0.31
"Braum","Support",91,"42.9%","0.9%","43.9%","43%","-",30,224,609,2.9,"73.8%","22.3%","34%",57,-26,5,1.3,"4.6%",126,"6.7%","11.3%",1.43,0.37
"Caitlyn","ADC",15,"7.1%","2.4%","9.4%","33%","-",38,31,50,2.8,"69.8%","17.8%","13%",108,70,1.7,8.6,"28.1%",514,"26.3%","24.4%",0.4,0.2
"Cassiopeia","Middle",9,"4.2%","0.9%","5.2%","33%","-",39,22,32,3.2,"69.6%","21.0%","67%",254,64,5.6,8.3,"26.5%",558,"29.3%","23.6%",0.53,0.16
"Corki","ADC",1,"0.5%","0.0%","0.5%","100%","-",4,1,5,9,"69.2%","14.3%","0%",-119,122,-5,9,"24.1%",527,"22.7%","22.2%",0.41,0.32
"Ekko","Jungle",1,"0.5%","7.1%","39.2%","0%","-",4,4,5,2.3,"81.8%","21.1%","0%",-317,-593,-7,4.6,"16.2%",357,"13.6%","21.6%",0.72,0.54
"Ekko","Middle",1,"0.5%","7.1%","39.2%","100%","-",2,0,6,8,"57.1%","0.0%","0%",-224,116,5,9.2,"26.9%",486,"25.2%","21.7%",0.66,0.2
"Ekko","Top",66,"31.1%","7.1%","39.2%","56%","-",152,124,336,3.9,"64.3%","18.7%","21%",73,187,2.1,7.6,"25.8%",425,"20.6%","21.2%",0.52,0.15
"Elise","Jungle",98,"46.2%","13.7%","59.9%","42%","-",218,238,481,2.9,"70.7%","20.3%","38%",-112,-205,-6,4.1,"13.3%",336,"17.9%","19.6%",0.72,0.52
"Ezreal","ADC",52,"24.5%","4.2%","28.8%","52%","-",157,94,244,4.3,"73.8%","16.1%","17%",-25,-41,0.2,8.4,"26.9%",638,"29.6%","23.2%",0.38,0.2
"Fiora","Top",8,"3.8%","5.7%","9.4%","38%","-",15,22,13,1.3,"47.5%","23.4%","0%",-121,-226,-4.9,8.8,"29.9%",427,"22.2%","24.0%",0.52,0.11
"Fizz","Middle",3,"1.4%","0.0%","4.2%","33%","-",4,6,6,1.7,"47.6%","18.8%","0%",-422,-391,-7.7,8,"24.6%",231,"16.4%","21.6%",0.49,0.13
"Fizz","Top",6,"2.8%","0.0%","4.2%","33%","-",15,17,26,2.4,"69.5%","22.7%","0%",-100,-126,-6.7,6.9,"25.1%",352,"18.0%","20.9%",0.49,0.11
"Gangplank","Top",39,"18.4%","21.7%","40.1%","62%","-",111,93,229,3.7,"69.2%","21.6%","21%",109,-75,-1.4,7.7,"28.3%",614,"28.3%","24.2%",0.51,0.12
"Gnar","Top",60,"28.3%","5.7%","34.0%","42%","-",122,152,235,2.3,"60.6%","20.9%","15%",-76,6,0.9,7.4,"25.4%",436,"22.3%","21.4%",0.52,0.17
"Gragas","Jungle",76,"35.8%","19.3%","57.1%","61%","-",131,144,544,4.7,"75.6%","20.1%","41%",-165,-161,-1.4,4.3,"13.3%",328,"16.0%","18.9%",0.77,0.5
"Gragas","Top",4,"1.9%","19.3%","57.1%","25%","-",2,11,12,1.3,"58.3%","23.4%","0%",-208,-522,-6.3,7,"20.8%",417,"20.5%","19.0%",0.49,0.07
"Graves","Jungle",43,"20.3%","0.0%","20.3%","40%","-",116,118,172,2.4,"71.8%","22.4%","42%",83,135,4.4,5.1,"17.0%",403,"20.1%","21.6%",0.68,0.49
