"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",2,"0.9%","0.5%","1.4%","0%","100%",1,4,9,2.5,"83.3%","12.1%","0%",-139,-94,-7,8.4,"25.9%",499,"30.5%","23.5%",0.52,0.22
"Akali","Top",1,"0.5%","0.5%","0.9%","100%","0%",8,1,5,13,"81.3%","50.0%","0%",450,1361,29,8.3,"24.6%",952,"48.5%","26.7%",0.5,0.14
"Alistar","Support",31,"14.2%","8.2%","22.4%","52%","53%",20,73,192,2.9,"67.5%","22.5%","13%",-19,-27,4.5,1.4,"4.4%",121,"6.4%","11.2%",1.38,0.36
"Amumu","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",0,4,4,1,"80.0%","40.0%","0%",-762,-1173,1,4.6,"11.3%",185,"7.2%","15.0%",0.96,0.3
"Anivia","Middle",1,"0.5%","0.0%","0.5%","0%","-",0,2,0,0,"-","15.4%","0%",-896,-131,-17,8.2,"25.9%",161,"22.0%","23.0%",0.38,0.07
"Ashe","ADC",73,"33.3%","9.1%","42.5%","56%","43%",190,122,383,4.7,"69.0%","16.2%","15%",69,61,2.3,9.4,"28.8%",501,"25.4%","24.0%",0.42,0.29
"Aurelion Sol","Middle",3,"1.4%","0.9%","2.3%","67%","100%",13,4,17,7.5,"78.9%","8.9%","0%",-162,-114,-8.3,9,"28.2%",458,"25.3%","25.1%",0.47,0.14
"Azir","Middle",1,"0.5%","0.0%","0.5%","0%","100%",1,3,2,1,"75.0%","42.9%","0%",-8,-33,2,9.4,"29.3%",284,"22.6%","26.1%",0.51,0.2
"Bard","Support",10,"4.6%","3.7%","8.2%","40%","86%",9,25,70,3.2,"82.3%","19.1%","10%",-150,159,-8.2,0.9,"4.0%",256,"14.8%","12.2%",1.38,0.55
"Blitzcrank","Support",16,"7.3%","7.8%","15.1%","44%","80%",15,34,82,2.9,"58.1%","19.4%","19%",216,45,5.7,1.4,"4.6%",121,"8.0%","11.9%",1.45,0.31
"Brand","Support",2,"0.9%","1.8%","2.7%","0%","50%",1,6,3,0.7,"57.1%","30.0%","0%",273,129,-4.5,0.8,"3.8%",225,"18.3%","10.2%",1.31,0.44
"Braum","Support",86,"39.3%","18.3%","57.5%","56%","52%",25,175,661,3.9,"72.2%","20.0%","20%",36,-86,3.5,1.5,"5.0%",144,"8.0%","11.7%",1.41,0.35
"Caitlyn","ADC",48,"21.9%","66.7%","88.6%","50%","8%",120,73,177,4.1,"63.7%","14.9%","21%",22,-59,0,10.1,"32.1%",545,"29.7%","26.0%",0.42,0.33
"Camille","Top",24,"11.0%","12.3%","23.3%","54%","63%",79,59,93,2.9,"61.6%","23.6%","38%",-32,-94,-4.8,8.9,"28.6%",426,"24.1%","23.8%",0.57,0.16
"Cassiopeia","Middle",27,"12.3%","19.2%","32.4%","59%","63%",82,49,105,3.8,"67.5%","19.0%","22%",177,15,6,9.2,"27.2%",465,"25.8%","24.3%",0.45,0.22
"Cassiopeia","Top",2,"0.9%","19.2%","32.4%","50%","100%",3,5,4,1.4,"43.8%","22.7%","0%",-328,-62,5.5,10.1,"29.7%",386,"27.3%","24.0%",0.58,0.07
"Cho'Gath","Jungle",3,"1.4%","4.6%","11.9%","0%","67%",1,6,1,0.3,"66.7%","19.4%","33%",19,246,-3,4.5,"12.4%",186,"15.1%","17.7%",0.89,0.27
"Cho'Gath","Top",13,"5.9%","4.6%","11.9%","62%","86%",35,25,53,3.5,"61.5%","20.2%","15%",17,131,0.5,8.2,"24.5%",420,"21.5%","21.1%",0.59,0.12
"Corki","ADC",1,"0.5%","7.3%","29.2%","0%","0%",0,0,1,1,"100.0%","0.0%","0%",125,117,5,10.8,"32.2%",604,"36.1%","27.6%",0.42,0.45
"Corki","Middle",47,"21.5%","7.3%","29.2%","34%","70%",124,94,142,2.8,"68.6%","15.9%","13%",14,-9,0.8,9.7,"28.9%",652,"35.6%","25.7%",0.51,0.32
"Draven","ADC",1,"0.5%","0.0%","0.5%","0%","100%",2,0,2,4,"80.0%","0.0%","0%",57,-141,4,10.5,"31.3%",319,"20.9%","29.4%",0.42,0.42
"Elise","Jungle",77,"35.2%","63.5%","98.6%","55%","2%",194,166,366,3.4,"66.7%","21.1%","44%",97,-28,-5.5,4.4,"13.0%",335,"18.2%","18.2%",0.93,0.48
"Fiora","Middle",1,"0.5%","18.3%","26.0%","0%","100%",0,3,0,0,"0.0%","18.8%","0%",-267,-358,-11,9.2,"30.5%",351,"31.0%","25.1%",0.36,0.07
"Fiora","Top",16,"7.3%","18.3%","26.0%","25%","80%",30,60,34,1.1,"45.4%","26.7%","13%",-104,-11,0.5,9.6,"29.9%",445,"25.4%","24.6%",0.54,0.12
"Fizz","Middle",1,"0.5%","0.5%","0.9%","0%","100%",0,5,1,0.2,"33.3%","41.7%","0%",-921,-468,-27,7.4,"23.7%",151,"12.7%","21.2%",0.56,0.16
"Galio","Middle",56,"25.6%","54.8%","83.6%","63%","12%",110,96,375,5.1,"73.2%","18.4%","23%",-30,-33,-4.9,8,"23.1%",339,"17.9%","20.8%",0.54,0.17
"Galio","Support",3,"1.4%","54.8%","83.6%","67%","50%",6,5,17,4.6,"65.7%","26.3%","0%",368,141,12.3,1.7,"4.7%",162,"9.3%","13.0%",1.33,0.26
"Galio","Top",4,"1.8%","54.8%","83.6%","25%","25%",2,9,16,2,"69.2%","20.9%","0%",-207,93,-5.3,7.7,"24.7%",390,"23.6%","20.7%",0.53,0.13
"Gangplank","-",0,"0%","0.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gnar","Top",25,"11.4%","3.2%","14.6%","24%","67%",33,78,92,1.6,"59.8%","21.7%","8%",-274,-115,-3.2,8,"24.7%",424,"22.7%","20.8%",0.56,0.14
"Gragas","Jungle",80,"36.5%","19.2%","67.1%","56%","51%",123,139,529,4.7,"72.8%","17.5%","30%",-133,-91,-0.1,4.3,"12.3%",236,"12.8%","16.9%",0.91,0.38
"Gragas","Top",25,"11.4%","19.2%","67.1%","44%","44%",30,63,125,2.5,"60.8%","21.6%","20%",-54,92,-2.4,8,"24.4%",372,"20.5%","20.3%",0.53,0.09
"Graves","Jungle",27,"12.3%","6.4%","18.7%","30%","60%",55,56,93,2.6,"68.2%","17.5%","30%",88,198,2.8,5.5,"16.9%",285,"17.5%","20.0%",0.88,0.46
"Ivern","Jungle",3,"1.4%","0.9%","2.3%","33%","100%",0,5,17,3.4,"81.0%","12.8%","33%",-413,-344,-13,3,"7.9%",115,"8.6%","15.8%",0.69,0.31
"Janna","Support",2,"0.9%","1.4%","2.3%","50%","50%",0,1,10,10,"76.9%","5.9%","0%",362,-89,-2,0.4,"1.6%",74,"4.7%","15.5%",1.31,0.23
