"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Jarvan IV","Jungle",18,"8.2%","9.6%","48.9%","56%","77%",23,48,142,3.4,"78.2%","22.7%","39%",-138,-121,-2.7,4.2,"12.0%",201,"9.5%","16.5%",0.9,0.38
"Jarvan IV","Top",68,"31.1%","9.6%","48.9%","53%","37%",145,153,372,3.4,"74.0%","22.8%","19%",-30,-60,-2.2,8.3,"25.7%",370,"21.1%","21.6%",0.56,0.13
"Jax","Jungle",2,"0.9%","9.1%","17.4%","100%","-",6,2,19,12.5,"71.4%","16.7%","50%",281,-291,-16,4.2,"12.0%",190,"11.3%","17.3%",1.31,0.31
"Jax","Top",16,"7.3%","9.1%","17.4%","44%","44%",40,44,54,2.1,"59.1%","26.7%","31%",23,83,2.3,9.3,"28.4%",428,"21.6%","23.7%",0.54,0.13
"Jayce","Jungle",1,"0.5%","25.1%","38.4%","0%","-",0,4,3,0.8,"50.0%","18.2%","0%",-657,-613,-2,4.8,"12.7%",374,"22.6%","17.1%",1.04,0.21
"Jayce","Middle",2,"0.9%","25.1%","38.4%","50%","100%",4,2,5,4.5,"50.0%","9.5%","0%",-57,-22,-0.5,9,"27.0%",472,"25.4%","23.8%",0.53,0.27
"Jayce","Top",26,"11.9%","25.1%","38.4%","65%","35%",67,67,131,3,"63.3%","26.6%","19%",246,131,9.5,9.1,"28.9%",535,"26.2%","23.6%",0.58,0.16
"Jhin","ADC",13,"5.9%","1.4%","7.3%","38%","91%",29,26,55,3.2,"64.1%","17.4%","23%",71,50,1.8,9,"27.7%",449,"23.6%","23.5%",0.43,0.23
"Jinx","ADC",1,"0.5%","0.0%","0.5%","100%","-",6,0,4,10,"100.0%","0.0%","0%",-97,49,-2,9.9,"34.5%",514,"34.3%","28.8%",0.35,0.09
"Kalista","ADC",64,"29.2%","29.2%","58.4%","63%","26%",235,114,268,4.4,"66.0%","18.8%","22%",72,38,2.3,9.6,"29.6%",455,"24.4%","24.8%",0.41,0.31
"Karma","Middle",28,"12.8%","17.8%","38.4%","50%","29%",48,52,180,4.4,"78.6%","19.2%","43%",34,23,1.8,8,"22.5%",422,"22.5%","21.3%",0.49,0.25
"Karma","Support",17,"7.8%","17.8%","38.4%","65%","70%",10,26,141,5.8,"76.6%","15.5%","12%",-94,-16,-4.6,0.9,"3.2%",200,"10.5%","11.1%",1.41,0.56
"Kassadin","Middle",15,"6.8%","3.7%","10.5%","33%","100%",56,30,40,3.2,"60.8%","18.3%","13%",-187,-47,-6.9,8.2,"23.5%",476,"26.5%","22.8%",0.47,0.24
"Kennen","Support",7,"3.2%","24.2%","35.6%","86%","100%",7,20,64,3.6,"75.5%","32.3%","29%",179,224,-0.7,0.9,"3.8%",309,"16.0%","12.2%",1.41,0.65
"Kennen","Top",18,"8.2%","24.2%","35.6%","28%","33%",15,54,39,1,"48.2%","24.3%","6%",26,53,7.5,9.1,"28.1%",453,"27.4%","23.6%",0.53,0.14
"Kha'Zix","Jungle",39,"17.8%","6.4%","24.2%","54%","71%",104,71,159,3.7,"60.9%","18.7%","41%",25,21,2.8,4.5,"13.5%",327,"16.6%","18.4%",0.88,0.4
"Kled","Top",29,"13.2%","7.8%","21.0%","48%","58%",52,79,118,2.2,"59.9%","24.7%","10%",-162,-263,-6.7,8.5,"26.4%",343,"20.8%","21.7%",0.55,0.12
"Kog'Maw","ADC",27,"12.3%","10.5%","22.8%","41%","81%",84,59,129,3.6,"70.1%","16.2%","19%",-27,21,-1.4,9.6,"31.6%",653,"33.4%","25.8%",0.4,0.28
"LeBlanc","Middle",16,"7.3%","29.7%","37.0%","56%","89%",61,20,78,7,"68.5%","13.1%","19%",285,385,4.4,8.6,"25.9%",532,"27.4%","23.3%",0.52,0.21
"Lee Sin","Jungle",60,"27.4%","19.6%","47.0%","52%","38%",143,155,288,2.8,"67.3%","24.0%","45%",73,22,-2.4,4.2,"11.8%",208,"11.8%","17.6%",1.07,0.33
"Lucian","ADC",2,"0.9%","14.6%","27.9%","0%","100%",4,2,2,3,"60.0%","9.1%","0%",81,76,2.5,10,"31.8%",628,"37.4%","24.9%",0.48,0.36
"Lucian","Middle",25,"11.4%","14.6%","27.9%","44%","71%",66,51,71,2.7,"63.7%","19.2%","12%",150,196,9,9.6,"27.1%",476,"27.8%","24.8%",0.46,0.3
"Lucian","Top",2,"0.9%","14.6%","27.9%","50%","-",2,4,4,1.5,"46.2%","21.1%","0%",245,295,10.5,8.6,"24.1%",427,"28.8%","21.5%",0.5,0.17
"Lulu","Support",22,"10.0%","7.3%","17.4%","55%","53%",17,40,195,5.3,"81.2%","15.4%","23%",-121,-39,-6.5,0.8,"3.2%",140,"7.4%","11.1%",1.41,0.64
"Malphite","Top",1,"0.5%","0.0%","0.5%","100%","-",3,0,6,9,"56.3%","0.0%","0%",-627,-174,-33,7.9,"28.9%",397,"23.4%","20.3%",0.38,0.04
"Malzahar","Middle",3,"1.4%","0.5%","1.8%","67%","100%",14,8,18,4,"78.0%","22.9%","33%",-214,-35,-10,7.8,"24.0%",602,"30.3%","21.9%",0.67,0.37
"Maokai","Jungle",4,"1.8%","9.1%","19.2%","50%","100%",5,5,31,7.2,"72.0%","13.9%","25%",-318,145,7,4.2,"11.4%",246,"15.6%","17.3%",0.83,0.38
"Maokai","Support",1,"0.5%","9.1%","19.2%","0%","-",0,3,3,1,"60.0%","25.0%","100%",310,287,2,2.1,"6.7%",297,"19.1%","12.1%",1.29,0.51
"Maokai","Top",17,"7.8%","9.1%","19.2%","47%","7%",20,33,83,3.1,"64.8%","20.9%","24%",-206,-177,-9.1,7.1,"20.4%",475,"23.1%","18.8%",0.51,0.18
"Miss Fortune","Support",1,"0.5%","0.0%","0.5%","0%","100%",2,4,1,0.8,"42.9%","20.0%","0%",-258,-428,10,1.3,"4.3%",211,"13.5%","12.0%",1.66,0.29
"Mordekaiser","Top",1,"0.5%","0.9%","1.4%","100%","100%",4,3,10,4.7,"73.7%","20.0%","100%",76,319,0,8.5,"30.8%",672,"27.8%","23.5%",0.6,0.17
"Morgana","Support",5,"2.3%","0.0%","2.3%","60%","100%",3,5,25,5.6,"66.7%","12.2%","0%",101,59,-2.6,0.6,"2.0%",169,"7.9%","14.3%",1.57,0.42
"Nami","Support",1,"0.5%","0.0%","0.5%","0%","100%",0,4,4,1,"66.7%","19.0%","0%",-196,4,-4,0.7,"2.7%",129,"6.6%","9.1%",1.82,0.45
"Nidalee","Jungle",4,"1.8%","3.2%","5.0%","25%","100%",10,9,12,2.4,"88.0%","18.4%","50%",71,360,15.3,5.9,"16.9%",295,"19.1%","21.1%",0.81,0.62
"Nunu & Willump","Jungle",1,"0.5%","0.0%","0.9%","0%","0%",0,3,2,0.7,"66.7%","37.5%","0%",245,358,-11,4,"11.2%",78,"5.6%","16.0%",1.05,0.33
"Nunu & Willump","Support",1,"0.5%","0.0%","0.9%","0%","100%",0,1,9,9,"90.0%","5.3%","0%",-262,531,4,1.9,"6.2%",138,"7.7%","13.3%",1.84,0.53
"Olaf","Jungle",11,"5.0%","2.7%","7.8%","36%","75%",26,29,39,2.2,"69.1%","21.2%","45%",-1,-147,4.1,4.2,"11.0%",231,"12.8%","17.5%",0.89,0.46
"Orianna","Middle",76,"34.7%","29.7%","64.4%","54%","35%",231,161,388,3.8,"75.0%","20.5%","11%",-32,-20,1.8,9.3,"27.1%",508,"26.7%","24.2%",0.48,0.24
"Rakan","Support",55,"25.1%","17.4%","42.5%","51%","49%",29,121,417,3.7,"75.1%","20.5%","24%",-29,1,-8.3,0.6,"2.4%",153,"8.3%","12.2%",1.43,0.43
"Rek'Sai","Jungle",65,"29.7%","9.6%","39.3%","40%","77%",129,159,279,2.6,"65.6%","21.5%","37%",86,146,5.7,4.6,"13.1%",205,"11.4%","17.8%",0.89,0.42
"Renekton","Top",60,"27.4%","20.1%","47.5%","55%","45%",171,120,248,3.5,"60.8%","20.9%","35%",295,201,8.9,9,"27.3%",362,"20.0%","22.7%",0.57,0.18
"Rengar","Jungle",4,"1.8%","2.7%","4.6%","25%","100%",6,7,5,1.6,"61.1%","19.4%","0%",-590,-174,9,5.4,"17.1%",167,"11.3%","19.7%",0.89,0.4
"Rumble","Jungle",4,"1.8%","33.8%","58.9%","75%","100%",7,11,32,3.5,"78.0%","28.2%","50%",-20,-62,7,4.8,"12.4%",346,"18.2%","17.8%",0.88,0.31
"Rumble","Top",51,"23.3%","33.8%","58.9%","59%","28%",137,128,228,2.9,"63.4%","23.8%","24%",-9,-11,0.4,8.6,"26.5%",538,"28.6%","22.2%",0.59,0.1
"Sejuani","Jungle",19,"8.7%","2.7%","15.1%","53%","45%",29,44,156,4.2,"78.4%","20.2%","42%",-136,-100,-1.9,3.9,"11.1%",226,"11.8%","16.5%",0.94,0.46
"Sejuani","Top",8,"3.7%","2.7%","15.1%","50%","100%",13,15,46,3.9,"58.4%","20.0%","13%",-45,102,-2.8,6.9,"21.8%",324,"18.8%","19.1%",0.6,0.18
"Shen","Top",22,"10.0%","6.8%","16.9%","59%","100%",45,44,151,4.5,"70.5%","22.3%","45%",-181,-195,-11.5,8.4,"26.5%",382,"20.2%","21.4%",0.51,0.1
"Singed","-",0,"0%","0.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sion","Top",2,"0.9%","0.5%","1.4%","0%","100%",5,6,7,2,"52.2%","18.8%","0%",99,-116,-4.5,7.5,"22.0%",306,"19.6%","19.5%",0.66,0.13
"Sivir","ADC",1,"0.5%","0.0%","0.5%","100%","100%",3,1,8,11,"73.3%","11.1%","0%",-300,645,7,11.2,"32.6%",628,"30.0%","26.6%",0.59,0.47
"Skarner","Jungle",1,"0.5%","0.0%","0.5%","100%","100%",3,3,14,5.7,"85.0%","25.0%","100%",338,178,-3,3.4,"11.1%",163,"5.7%","16.4%",0.61,0.32
"Sona","Support",1,"0.5%","0.0%","0.5%","0%","100%",0,3,2,0.7,"50.0%","18.8%","0%",-233,97,0,0.4,"2.0%",130,"10.5%","8.9%",1.18,0.17
"Syndra","Middle",33,"15.1%","49.8%","64.8%","52%","67%",104,68,120,3.3,"65.7%","21.0%","30%",-49,-161,-1.4,9.2,"28.2%",446,"25.7%","24.3%",0.5,0.19
"Tahm Kench","Support",41,"18.7%","14.2%","32.9%","44%","48%",23,97,205,2.4,"60.6%","24.0%","20%",23,7,5.2,1.6,"5.2%",126,"6.7%","11.4%",1.38,0.3
"Taliyah","Middle",71,"32.4%","40.2%","72.6%","54%","35%",238,150,350,3.9,"67.7%","18.6%","24%",-2,-12,-1.6,9.1,"27.5%",569,"29.8%","23.8%",0.49,0.2
"Taric","Support",10,"4.6%","0.9%","5.5%","50%","100%",6,15,74,5.3,"78.4%","19.7%","30%",-63,30,-1.3,1.5,"4.9%",90,"5.0%","12.5%",1.24,0.32
"Thresh","Support",86,"39.3%","39.3%","78.5%","44%","17%",62,226,572,2.8,"69.0%","23.3%","28%",-17,-41,2.9,1.1,"3.3%",116,"6.7%","10.5%",1.44,0.39
"Tristana","ADC",29,"13.2%","5.0%","18.3%","45%","86%",75,46,86,3.5,"69.1%","15.8%","14%",-29,-3,0.7,10.2,"32.7%",536,"28.7%","26.3%",0.43,0.33
"Trundle","Top",6,"2.7%","3.7%","6.4%","50%","100%",5,10,33,3.8,"50.7%","16.4%","0%",205,72,7.3,9.2,"27.7%",382,"18.1%","22.2%",0.5,0.13
"Twisted Fate","-",0,"0%","0.9%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Twitch","ADC",19,"8.7%","7.8%","16.4%","63%","92%",80,48,96,3.7,"67.4%","21.3%","26%",-37,-75,-4.6,9.1,"28.5%",620,"30.9%","24.6%",0.39,0.22
"Varus","ADC",79,"36.1%","14.6%","50.7%","42%","64%",193,164,334,3.2,"68.6%","18.3%","11%",11,-13,1.6,9.3,"28.8%",461,"24.9%","24.3%",0.44,0.28
"Vel'Koz","-",0,"0%","0.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Viktor","Middle",23,"10.5%","2.7%","13.2%","43%","81%",79,48,99,3.7,"76.1%","20.1%","13%",-130,13,-1.4,9.6,"28.7%",601,"32.2%","25.0%",0.5,0.26
"Vladimir","Middle",3,"1.4%","0.5%","1.8%","33%","67%",5,4,6,2.8,"64.7%","16.7%","0%",-218,-230,-2,9,"27.2%",355,"25.1%","23.6%",0.5,0.1
"Warwick","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",0,3,1,0.3,"100.0%","17.6%","0%",-1650,-639,-24,4.1,"11.3%",81,"9.2%","17.2%",0.65,0.24
"Xayah","ADC",79,"36.1%","13.2%","49.3%","48%","45%",239,123,307,4.4,"66.4%","15.6%","18%",-123,-37,-4.5,10,"32.6%",553,"30.3%","25.8%",0.43,0.29
"Yasuo","Top",1,"0.5%","0.0%","0.5%","100%","100%",5,2,14,9.5,"79.2%","15.4%","0%",170,-236,6,9.1,"27.7%",598,"17.1%","22.9%",0.35,0.08
"Zac","Jungle",13,"5.9%","93.6%","99.5%","85%","13%",23,18,115,7.7,"68.7%","20.7%","54%",104,-10,1.9,4.7,"12.9%",178,"9.3%","17.0%",0.85,0.37
"Zed","Middle",4,"1.8%","3.2%","5.0%","25%","67%",11,7,9,2.9,"71.4%","14.6%","25%",300,159,4,8.8,"25.5%",414,"24.0%","24.1%",0.45,0.07
"Ziggs","ADC",1,"0.5%","0.0%","0.5%","0%","-",2,3,2,1.3,"66.7%","23.1%","0%",-497,-651,-21,9.1,"29.8%",513,"33.0%","23.9%",0.33,0.05
"Zilean","Support",1,"0.5%","0.0%","0.5%","0%","100%",1,2,4,2.5,"100.0%","15.4%","0%",12,306,-17,0.6,"3.1%",165,"11.2%","12.9%",1.1,0.35
"Zyra","Support",39,"17.8%","20.1%","37.9%","51%","50%",43,96,213,2.7,"60.8%","24.0%","13%",-24,173,-5.8,0.8,"3.3%",358,"18.2%","12.0%",1.35,0.47
