"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Cho'Gath","Top",1,"0.5%","0.0%","0.5%","0%","100%",1,6,0,0.2,"33.3%","37.5%","0%",-628,-896,9,7.6,"23.8%",220,"18.0%","23.0%",0.34,0.31
"Corki","Middle",17,"8.1%","5.2%","13.3%","53%","82%",67,21,66,6.3,"73.9%","12.5%","12%",-153,-1,-3.8,9.9,"29.2%",613,"32.6%","27.9%",0.52,0.31
"Darius","Top",1,"0.5%","0.0%","0.5%","0%","100%",6,9,4,1.1,"58.8%","33.3%","100%",1312,1009,17,6.4,"15.9%",550,"20.1%","22.5%",0.46,0.03
"Ekko","Jungle",3,"1.4%","1.9%","8.5%","33%","67%",15,8,10,3.1,"62.5%","19.5%","33%",228,-105,2,6.8,"19.7%",514,"23.4%","21.8%",0.91,0.51
"Ekko","Middle",11,"5.2%","1.9%","8.5%","45%","100%",33,18,35,3.8,"53.5%","18.0%","27%",30,-44,-6.7,9.5,"24.9%",405,"22.8%","24.2%",0.37,0.22
"Elise","Jungle",2,"0.9%","2.4%","3.3%","0%","100%",3,8,11,1.8,"58.3%","15.7%","50%",8,-9,-6.5,4.1,"13.9%",316,"20.4%","15.8%",0.8,0.49
"Evelynn","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",3,4,6,2.3,"81.8%","21.1%","0%",-705,-510,-20,5.1,"14.4%",320,"16.3%","17.5%",0.46,0.12
"Ezreal","ADC",89,"42.2%","30.8%","73.0%","51%","45%",330,154,365,4.5,"64.4%","14.7%","19%",-62,40,-0.3,10,"32.2%",648,"33.1%","27.4%",0.43,0.32
"Fiddlesticks","Jungle",1,"0.5%","0.5%","1.4%","100%","100%",2,1,9,11,"84.6%","20.0%","0%",677,1165,21,6.8,"17.3%",335,"16.2%","18.4%",0.3,0.04
"Fiddlesticks","Middle",1,"0.5%","0.5%","1.4%","0%","100%",0,3,4,1.3,"100.0%","18.8%","0%",56,553,5,6,"11.6%",287,"20.3%","17.5%",0.3,0.24
"Fiora","Top",2,"0.9%","0.0%","0.9%","0%","100%",2,11,4,0.5,"85.7%","31.4%","0%",-686,-363,-13,7.2,"23.1%",379,"27.6%","22.9%",0.33,0.19
"Galio","Middle",27,"12.8%","16.1%","30.3%","33%","63%",52,84,139,2.3,"72.3%","21.0%","19%",-415,-153,-9.6,8,"23.7%",353,"20.3%","22.0%",0.47,0.16
"Galio","Support",3,"1.4%","16.1%","30.3%","67%","33%",1,7,25,3.7,"78.8%","24.1%","0%",-540,-350,-1.7,1.4,"3.8%",176,"10.4%","9.0%",1.58,0.27
"Gangplank","Top",6,"2.8%","2.4%","5.2%","17%","83%",17,23,25,1.8,"71.2%","25.0%","17%",-487,-324,-10.3,8.8,"29.0%",634,"33.5%","28.2%",0.47,0.13
"Gnar","Top",14,"6.6%","4.3%","10.9%","29%","57%",32,55,77,2,"66.1%","22.5%","21%",-327,2,-2.8,7.9,"24.1%",545,"27.0%","22.8%",0.42,0.22
"Gragas","Jungle",3,"1.4%","0.5%","5.2%","33%","100%",6,9,19,2.8,"73.5%","20.9%","33%",-249,-147,-0.7,4.8,"13.0%",353,"19.4%","15.9%",1.24,0.69
"Gragas","Middle",2,"0.9%","0.5%","5.2%","50%","50%",5,10,11,1.6,"88.9%","27.8%","50%",97,137,11,7.6,"20.6%",489,"21.9%","21.7%",0.33,0.21
"Gragas","Support",4,"1.9%","0.5%","5.2%","25%","75%",5,8,20,3.1,"56.8%","19.5%","50%",122,-52,-12.3,1,"2.1%",184,"10.3%","8.8%",1.48,0.27
"Gragas","Top",1,"0.5%","0.5%","5.2%","100%","0%",2,3,8,3.3,"71.4%","60.0%","100%",214,-187,0,6.6,"19.8%",398,"25.2%","19.5%",0.38,0.14
"Graves","Jungle",25,"11.8%","1.4%","13.3%","20%","68%",46,77,98,1.9,"69.6%","20.6%","36%",36,131,5.2,6.5,"18.7%",321,"17.7%","19.4%",0.51,0.6
"Hecarim","Jungle",3,"1.4%","0.5%","2.4%","0%","100%",9,12,6,1.3,"88.2%","20.3%","33%",-476,-797,-17.3,6,"19.8%",314,"19.7%","22.9%",0.3,0.26
"Hecarim","Top",1,"0.5%","0.5%","2.4%","0%","100%",1,3,1,0.7,"40.0%","12.5%","0%",-658,-470,-13,8,"27.1%",300,"20.4%","22.1%",0.37,0.14
"Heimerdinger","ADC",3,"1.4%","3.3%","4.7%","0%","100%",7,9,9,1.8,"69.6%","16.1%","0%",64,29,-3.7,7.8,"24.6%",693,"35.0%","24.6%",0.41,0.16
"Illaoi","Top",6,"2.8%","7.1%","10.0%","17%","0%",7,23,6,0.6,"48.1%","27.4%","0%",-442,-205,-11.3,7.9,"24.0%",416,"28.2%","22.5%",0.4,0.11
"Irelia","Middle",3,"1.4%","4.3%","8.5%","33%","100%",10,6,10,3.3,"54.1%","15.8%","33%",256,220,5,10.3,"32.0%",391,"20.9%","27.3%",0.44,0.31
"Irelia","Top",6,"2.8%","4.3%","8.5%","50%","100%",22,23,21,1.9,"58.1%","28.8%","33%",380,116,11.2,8.8,"25.8%",373,"20.2%","23.9%",0.34,0.26
"Janna","Support",2,"0.9%","0.5%","1.4%","0%","100%",3,10,17,2,"83.3%","22.7%","0%",45,227,-7,0.4,"1.6%",157,"7.9%","9.2%",1.67,0.3
"Jarvan IV","Jungle",13,"6.2%","2.8%","9.0%","23%","69%",18,59,82,1.7,"81.3%","25.4%","31%",-204,-131,-3,4.9,"13.3%",172,"9.2%","16.0%",0.57,0.53
"Jax","Jungle",1,"0.5%","1.4%","2.8%","0%","100%",1,2,4,2.5,"62.5%","12.5%","0%",-210,-270,-2,5.3,"16.3%",179,"12.0%","16.0%",0.61,0.31
"Jax","Top",2,"0.9%","1.4%","2.8%","0%","100%",4,4,1,1.3,"27.8%","16.0%","50%",-206,-88,-12,7.6,"24.2%",335,"17.3%","21.6%",0.52,0.16
"Jayce","Middle",2,"0.9%","28.9%","50.2%","100%","50%",6,2,11,8.5,"51.5%","20.0%","0%",298,398,12,9.9,"27.7%",706,"29.1%","22.5%",0.43,0.3
"Jayce","Top",43,"20.4%","28.9%","50.2%","58%","51%",146,111,239,3.5,"64.3%","21.9%","19%",158,58,6.9,8.8,"27.4%",638,"30.4%","24.8%",0.45,0.32
"Jhin","ADC",12,"5.7%","0.5%","6.2%","42%","100%",46,17,67,6.6,"69.8%","10.2%","17%",134,178,1.4,10.2,"33.2%",560,"26.4%","27.3%",0.44,0.33
"Jinx","ADC",1,"0.5%","0.0%","0.5%","100%","100%",0,1,6,6,"46.2%","14.3%","0%",-217,-25,5,11.1,"32.6%",430,"24.1%","25.2%",0.48,0.35
"Kai'Sa","ADC",6,"2.8%","0.9%","3.8%","0%","100%",28,12,14,3.5,"76.4%","13.0%","33%",102,342,1.2,10.6,"38.8%",555,"31.5%","33.8%",0.44,0.28
"Kalista","ADC",43,"20.4%","49.8%","70.1%","49%","37%",170,86,176,4,"69.2%","16.6%","23%",259,84,13,10.5,"34.6%",445,"25.0%","28.4%",0.62,0.44
"Karma","Middle",22,"10.4%","64.5%","89.6%","36%","27%",28,37,127,4.2,"73.5%","13.4%","9%",-97,-131,-2,7.9,"21.7%",328,"19.1%","21.1%",0.55,0.25
"Karma","Support",17,"8.1%","64.5%","89.6%","47%","12%",14,38,119,3.5,"65.8%","18.8%","35%",90,-81,-5.8,0.9,"2.3%",193,"9.0%","8.7%",1.54,0.37
"Karma","Top",14,"6.6%","64.5%","89.6%","64%","7%",20,35,117,3.9,"71.0%","25.2%","14%",57,21,3.9,7.2,"18.8%",369,"18.3%","18.7%",0.51,0.17
"Karthus","Jungle",4,"1.9%","3.3%","5.2%","75%","50%",22,9,30,5.8,"81.3%","24.3%","0%",280,412,13.3,7.8,"21.7%",596,"30.3%","22.9%",0.65,0.34
"Kassadin","Middle",6,"2.8%","1.4%","4.3%","67%","100%",42,10,26,6.8,"75.6%","18.2%","33%",-40,56,-4.2,8.4,"25.4%",627,"31.7%","25.6%",0.34,0.22
"Kayle","Support",1,"0.5%","1.9%","5.2%","100%","100%",1,2,11,6,"100.0%","25.0%","100%",472,418,7,1.6,"3.6%",125,"6.9%","9.6%",1.1,0.43
"Kayle","Top",6,"2.8%","1.9%","5.2%","33%","100%",13,12,16,2.4,"64.4%","19.0%","17%",258,243,6.3,9.5,"30.0%",559,"34.0%","27.1%",0.51,0.24
"Kennen","Top",50,"23.7%","20.4%","44.1%","56%","32%",162,159,249,2.6,"61.3%","26.7%","24%",109,69,3.1,8.2,"24.3%",515,"27.7%","22.9%",0.41,0.24
"Kha'Zix","Jungle",3,"1.4%","0.0%","1.4%","33%","100%",4,6,16,3.3,"69.0%","18.8%","33%",241,142,-3.3,6.1,"16.8%",271,"15.8%","17.6%",0.78,0.36
"Kindred","Jungle",4,"1.9%","0.0%","1.9%","50%","100%",5,12,21,2.2,"55.3%","28.6%","25%",-255,-269,-4.3,6,"18.0%",321,"14.8%","17.1%",0.68,0.52
"Kled","Top",1,"0.5%","0.0%","0.5%","0%","100%",4,5,5,1.8,"90.0%","23.8%","100%",738,414,1,8.7,"30.4%",345,"16.8%","28.2%",0.33,0.06
"Kog'Maw","ADC",1,"0.5%","0.0%","0.5%","0%","100%",2,2,0,1,"100.0%","15.4%","0%",-241,-352,-5,9.7,"31.8%",447,"42.3%","27.9%",0.48,0.3
"LeBlanc","Middle",23,"10.9%","20.4%","31.3%","43%","61%",76,43,113,4.4,"69.7%","14.3%","22%",-4,-2,-2.7,8.2,"24.9%",537,"27.1%","23.5%",0.56,0.4
"Lee Sin","Jungle",63,"29.9%","10.4%","40.3%","51%","63%",176,166,368,3.3,"68.8%","21.4%","27%",-29,-147,-4.5,5.3,"14.5%",242,"12.4%","17.6%",0.62,0.35
"Leona","Support",31,"14.7%","7.6%","22.3%","48%","68%",14,107,202,2,"55.2%","26.4%","23%",-122,-157,-4.8,1.1,"2.8%",106,"5.6%","7.9%",1.58,0.43
"Lillia","Jungle",10,"4.7%","3.3%","8.1%","100%","50%",26,23,107,5.8,"69.3%","24.2%","50%",365,451,11.4,6.7,"17.6%",448,"20.4%","18.2%",0.63,0.39
"Lissandra","Middle",4,"1.9%","0.5%","2.4%","50%","100%",10,9,24,3.8,"70.8%","19.6%","25%",-262,-116,4,8.2,"23.7%",446,"26.0%","24.1%",0.47,0.22
"Lucian","ADC",7,"3.3%","17.5%","30.3%","57%","86%",23,12,32,4.6,"61.1%","14.5%","14%",146,-234,1.1,10.3,"33.6%",467,"22.8%","28.2%",0.44,0.44
"Lucian","Middle",7,"3.3%","17.5%","30.3%","43%","71%",15,16,27,2.6,"63.6%","20.8%","14%",162,-115,7.9,9.9,"29.3%",478,"24.8%","25.2%",0.53,0.49
"Lucian","Top",13,"6.2%","17.5%","30.3%","38%","46%",42,47,57,2.1,"66.0%","25.1%","31%",154,-140,4.8,8.8,"27.2%",522,"29.1%","24.8%",0.45,0.4
"Lulu","Middle",2,"0.9%","1.9%","9.0%","0%","100%",0,5,11,2.2,"64.7%","18.5%","50%",36,-217,-1,7.4,"21.1%",237,"14.2%","20.3%",0.59,0.24
"Lulu","Support",13,"6.2%","1.9%","9.0%","46%","77%",6,24,83,3.7,"67.4%","14.0%","15%",68,187,-0.3,1,"2.5%",104,"6.0%","8.9%",1.48,0.34
"Lux","Middle",1,"0.5%","1.4%","7.6%","0%","100%",0,3,3,1,"60.0%","17.6%","0%",75,142,4,8,"21.8%",540,"33.9%","19.9%",0.37,0.29
"Lux","Support",12,"5.7%","1.4%","7.6%","42%","58%",12,25,82,3.8,"77.7%","14.8%","17%",-94,-41,1,1.1,"3.7%",176,"10.6%","9.7%",1.63,0.35
"Malphite","Top",3,"1.4%","0.5%","1.9%","67%","100%",8,9,15,2.6,"60.5%","26.5%","0%",459,633,14.7,7.4,"21.5%",403,"23.3%","19.9%",0.37,0.1
"Malzahar","Middle",1,"0.5%","0.0%","0.5%","0%","100%",2,3,1,1,"75.0%","18.8%","0%",-236,-185,-8,7.6,"21.7%",373,"22.5%","25.0%",0.57,0.13
"Maokai","ADC",1,"0.5%","1.4%","4.7%","0%","100%",0,4,1,0.3,"50.0%","40.0%","0%",-1170,-221,-31,6,"20.7%",363,"18.7%","16.7%",0.53,0.16
"Maokai","Support",6,"2.8%","1.4%","4.7%","67%","83%",4,14,56,4.3,"69.0%","29.8%","50%",524,221,25.3,3.5,"11.5%",313,"17.1%","12.3%",0.9,0.26
"Miss Fortune","ADC",8,"3.8%","0.0%","3.8%","50%","88%",30,17,37,3.9,"68.4%","20.2%","25%",195,176,8.5,10.6,"36.4%",540,"31.3%","29.0%",0.43,0.38
"Mordekaiser","Top",26,"12.3%","13.3%","25.6%","42%","62%",78,90,82,1.8,"51.0%","23.7%","19%",-256,-71,-0.2,7.9,"24.4%",433,"23.3%","22.7%",0.45,0.15
"Morgana","Middle",1,"0.5%","5.7%","8.5%","100%","100%",5,1,10,15,"88.2%","25.0%","0%",46,383,13,7.8,"17.7%",679,"26.6%","21.3%",0.61,0.23
"Morgana","Support",5,"2.4%","5.7%","8.5%","40%","40%",4,13,33,2.8,"57.8%","19.1%","20%",166,-53,-4.4,0.9,"2.5%",204,"10.8%","8.3%",1.7,0.34
"Nautilus","Support",64,"30.3%","15.2%","45.5%","56%","45%",29,190,476,2.7,"60.2%","25.1%","27%",9,-37,-0.5,1.1,"2.7%",133,"7.2%","8.3%",1.55,0.32
"Neeko","Middle",2,"0.9%","0.0%","1.9%","0%","50%",2,5,11,2.6,"65.0%","19.2%","0%",-358,-438,-3.5,8,"21.5%",427,"22.9%","21.9%",0.69,0.18
"Neeko","Top",2,"0.9%","0.0%","1.9%","50%","100%",2,7,12,2,"53.8%","26.9%","50%",184,195,1.5,7.1,"20.0%",325,"20.6%","18.2%",0.51,0.24
"Nidalee","Jungle",46,"21.8%","20.4%","42.2%","61%","67%",132,91,283,4.6,"71.6%","19.0%","46%",390,553,8.5,6.5,"18.6%",388,"20.0%","19.9%",1.02,0.61
"Nocturne","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",0,5,3,0.6,"75.0%","31.3%","100%",-817,-679,-8,5.7,"18.8%",186,"15.2%","18.1%",0.93,0.51
"Nunu & Willump","-",0,"0%","0.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Olaf","Jungle",58,"27.5%","17.1%","44.5%","53%","53%",125,148,318,3,"65.1%","22.2%","29%",64,164,4.2,5.4,"13.9%",257,"14.1%","17.0%",0.47,0.45
"Orianna","Middle",25,"11.8%","5.7%","17.5%","36%","68%",58,51,103,3.2,"73.2%","17.5%","16%",-142,20,3.1,9.1,"25.9%",440,"27.1%","24.7%",0.49,0.27
"Ornn","Top",28,"13.3%","8.1%","21.3%","43%","43%",34,79,142,2.2,"58.1%","23.7%","32%",-256,-109,-6.8,7.5,"23.3%",358,"21.2%","20.0%",0.47,0.17
"Pantheon","Middle",2,"0.9%","20.4%","33.2%","0%","50%",5,7,18,3.3,"76.7%","21.2%","0%",-316,-640,-8,7.3,"21.7%",320,"16.0%","22.0%",0.38,0.13
"Pantheon","Support",24,"11.4%","20.4%","33.2%","54%","46%",63,83,128,2.3,"55.7%","26.7%","13%",125,-65,0.1,2,"6.9%",299,"14.7%","11.2%",2.08,0.64
"Pantheon","Top",1,"0.5%","20.4%","33.2%","0%","0%",0,4,1,0.3,"100.0%","23.5%","0%",-124,819,18,7.3,"28.0%",327,"30.5%","24.1%",0.5,0.11
"Poppy","Jungle",3,"1.4%","3.3%","6.2%","67%","67%",4,3,21,8.3,"71.4%","18.8%","100%",444,152,1.3,5.3,"15.1%",241,"11.7%","15.8%",1.14,0.67
"Poppy","Support",1,"0.5%","3.3%","6.2%","100%","100%",0,4,1,0.3,"12.5%","57.1%","0%",-664,-101,3,1.4,"3.2%",106,"8.9%","7.5%",1.3,0.5
"Poppy","Top",2,"0.9%","3.3%","6.2%","0%","100%",2,7,9,1.6,"61.1%","23.3%","0%",-638,-302,-12,7,"23.2%",395,"26.5%","20.8%",0.46,0.26
"Pyke","Support",1,"0.5%","0.9%","1.4%","100%","100%",5,3,8,4.3,"76.5%","23.1%","0%",-265,-609,9,1.3,"3.4%",194,"9.5%","16.2%",1.7,0.56
"Qiyana","Middle",3,"1.4%","3.3%","4.7%","0%","33%",15,14,9,1.7,"63.2%","16.9%","33%",35,190,1,7.5,"24.9%",431,"21.1%","24.8%",0.68,0.63
"Quinn","Top",4,"1.9%","2.8%","4.7%","25%","100%",7,11,7,1.3,"48.3%","19.6%","25%",282,-36,6,9.7,"30.4%",471,"27.5%","27.6%",0.38,0.23
"Rakan","Support",10,"4.7%","0.5%","5.2%","40%","60%",6,20,56,3.1,"77.5%","17.7%","20%",44,31,0.5,1.3,"3.7%",108,"7.7%","8.9%",2.14,0.62
"Rek'Sai","Jungle",15,"7.1%","7.6%","14.7%","53%","87%",41,46,71,2.4,"58.6%","26.4%","47%",-151,-114,-1,5.4,"14.1%",237,"12.3%","17.2%",0.38,0.43
"Renekton","Middle",1,"0.5%","18.0%","38.9%","100%","100%",6,4,10,4,"64.0%","20.0%","0%",539,-39,14,8.4,"25.9%",585,"21.5%","24.4%",0.23,0.21
"Renekton","Top",43,"20.4%","18.0%","38.9%","56%","40%",127,108,176,2.8,"55.8%","22.7%","35%",395,232,6.4,8.6,"25.5%",389,"20.4%","24.0%",0.4,0.23
"Rumble","Middle",1,"0.5%","0.5%","1.9%","0%","0%",3,5,4,1.4,"63.6%","25.0%","0%",-263,-308,-14,5.6,"14.1%",580,"22.6%","19.3%",0.42,0.03
"Rumble","Support",2,"0.9%","0.5%","1.9%","0%","100%",4,13,11,1.2,"55.6%","24.5%","50%",-156,-463,-5.5,1.5,"5.3%",526,"21.3%","9.5%",1.38,0.28
"Ryze","Top",2,"0.9%","0.0%","0.9%","0%","100%",3,6,4,1.2,"87.5%","14.3%","0%",-270,93,3,9.2,"33.9%",467,"27.1%","30.0%",0.42,0.05
"Sejuani","Jungle",7,"3.3%","2.4%","6.2%","43%","86%",5,15,43,3.2,"77.4%","18.8%","14%",-151,-117,-0.1,5.2,"13.7%",195,"12.0%","14.8%",0.6,0.57
"Sejuani","Support",1,"0.5%","2.4%","6.2%","100%","100%",1,0,11,12,"75.0%","0.0%","0%",232,619,5,1.7,"4.1%",161,"8.8%","9.7%",1.95,0.7
"Senna","ADC",31,"14.7%","22.7%","40.3%","68%","74%",69,47,277,7.4,"81.2%","17.1%","23%",-436,-118,-35.3,5.3,"15.8%",397,"20.4%","17.6%",0.82,0.37
"Senna","Support",6,"2.8%","22.7%","40.3%","17%","33%",5,20,37,2.1,"79.2%","20.4%","17%",-3,53,-8.3,1,"4.1%",249,"12.4%","10.4%",1.32,0.4
"Sett","Jungle",24,"11.4%","64.5%","91.9%","75%","42%",60,62,196,4.1,"64.8%","22.4%","38%",-26,-84,-1,5.1,"13.5%",257,"12.4%","16.0%",0.41,0.59
"Sett","Middle",10,"4.7%","64.5%","91.9%","70%","30%",20,13,68,6.8,"59.1%","11.4%","30%",-65,-30,-4.7,8.1,"22.6%",383,"18.9%","20.8%",0.33,0.37
"Sett","Support",17,"8.1%","64.5%","91.9%","53%","24%",24,44,81,2.4,"50.7%","23.2%","35%",176,12,5.5,1.8,"4.5%",179,"10.1%","9.6%",1.45,0.5
"Sett","Top",7,"3.3%","64.5%","91.9%","43%","29%",15,19,32,2.5,"49.5%","23.5%","43%",218,91,5.4,7.8,"22.2%",383,"19.5%","21.9%",0.43,0.19
"Shen","Support",6,"2.8%","0.0%","2.8%","33%","67%",5,21,60,3.1,"74.7%","17.4%","17%",59,376,2.2,1.3,"4.0%",153,"7.3%","9.8%",2.18,0.48
"Shyvana","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",0,2,4,2,"100.0%","10.5%","0%",228,234,6,6.3,"17.3%",662,"35.1%","18.5%",0.52,0.3
"Sion","Support",1,"0.5%","0.0%","0.5%","0%","100%",5,7,2,1,"63.6%","33.3%","0%",-242,611,33,5.4,"18.1%",215,"11.3%","19.9%",0.46,0.06
"Sivir","ADC",1,"0.5%","0.5%","0.9%","100%","100%",2,0,11,13,"81.3%","0.0%","0%",33,-8,0,11,"30.7%",497,"29.8%","23.6%",0.62,0.27
"Skarner","Jungle",1,"0.5%","0.5%","0.9%","0%","100%",2,6,9,1.8,"64.7%","22.2%","100%",-221,370,9,4.4,"12.9%",215,"7.8%","15.1%",0.44,0.29
"Sona","ADC",1,"0.5%","0.9%","1.4%","0%","0%",0,3,1,0.3,"50.0%","21.4%","0%",-740,-609,-62,3.3,"11.1%",116,"11.8%","14.9%",0.52,0.28
"Soraka","Support",1,"0.5%","0.5%","0.9%","0%","100%",1,2,0,0.5,"50.0%","11.8%","0%",-350,511,-8,1.3,"5.6%",176,"13.7%","10.6%",1,0.24
"Sylas","Middle",34,"16.1%","11.8%","33.2%","50%","79%",132,83,172,3.7,"64.4%","18.1%","32%",-116,48,-0.6,8.4,"24.6%",458,"23.3%","23.9%",0.41,0.21
"Sylas","Top",11,"5.2%","11.8%","33.2%","45%","100%",30,34,48,2.3,"65.0%","24.5%","9%",-368,-193,-13.5,7.8,"24.2%",454,"26.6%","22.3%",0.38,0.19
"Syndra","ADC",3,"1.4%","17.5%","29.9%","33%","67%",4,10,11,1.5,"41.7%","30.3%","0%",329,473,31.3,9.2,"25.7%",390,"24.3%","21.2%",0.66,0.23
"Syndra","Middle",23,"10.9%","17.5%","29.9%","39%","52%",57,53,103,3,"63.2%","16.5%","13%",40,26,5,8.5,"25.2%",461,"25.8%","23.8%",0.5,0.21
"Tahm Kench","Support",31,"14.7%","12.8%","27.5%","52%","45%",6,82,195,2.5,"56.5%","23.4%","13%",-37,-52,-2.1,1,"2.1%",120,"6.5%","7.9%",1.59,0.25
"Taliyah","Jungle",1,"0.5%","0.0%","0.9%","0%","100%",0,3,0,0,"0.0%","27.3%","0%",18,227,3,4.9,"12.3%",211,"18.5%","15.2%",0.34,0.34
"Taliyah","Middle",1,"0.5%","0.0%","0.9%","100%","100%",8,0,7,15,"78.9%","0.0%","0%",-124,-241,-1,8.3,"22.8%",459,"27.4%","23.9%",0.67,0.11
"Taric","Support",11,"5.2%","9.0%","14.2%","55%","45%",3,21,88,4.3,"77.8%","19.3%","36%",-320,-143,-15,1,"2.9%",98,"5.3%","8.6%",1.3,0.22
"Thresh","Support",29,"13.7%","5.2%","19.0%","48%","59%",12,79,204,2.7,"66.5%","21.5%","52%",-6,-39,-1.4,1,"2.2%",87,"4.9%","8.1%",1.6,0.35
"Trundle","Jungle",75,"35.5%","19.0%","54.5%","43%","23%",102,170,482,3.4,"68.9%","17.7%","35%",-243,-331,-5.7,4.7,"12.5%",153,"8.8%","15.5%",0.51,0.56
"Twisted Fate","Middle",46,"21.8%","63.5%","85.3%","67%","7%",108,65,335,6.8,"71.2%","14.6%","37%",378,-11,-2.1,9.1,"25.8%",404,"21.7%","25.3%",0.38,0.21
"Twitch","ADC",1,"0.5%","0.0%","0.5%","100%","100%",10,4,11,5.3,"80.8%","30.8%","0%",295,621,11,10.1,"40.8%",862,"37.9%","32.7%",0.57,0.26
"Urgot","Top",3,"1.4%","0.9%","2.4%","100%","0%",10,5,18,5.6,"60.9%","41.7%","33%",494,184,8,8.7,"23.7%",429,"20.4%","22.7%",0.48,0.32
"Varus","ADC",15,"7.1%","40.3%","47.4%","53%","27%",54,32,71,3.9,"71.0%","21.5%","33%",67,69,5.7,9.7,"30.9%",656,"34.6%","26.6%",0.42,0.54
"Viktor","Middle",2,"0.9%","0.0%","0.9%","0%","100%",3,10,4,0.7,"43.8%","25.6%","0%",-369,76,-5.5,8,"23.7%",434,"29.3%","22.4%",0.48,0.09
"Vladimir","Top",4,"1.9%","0.9%","2.8%","75%","100%",12,4,19,7.8,"67.4%","14.8%","25%",125,41,6.3,9.8,"26.1%",511,"29.9%","24.0%",0.52,0.14
"Volibear","Jungle",53,"25.1%","42.2%","71.6%","57%","6%",122,127,339,3.6,"65.6%","22.0%","42%",18,-13,-1,5.1,"13.5%",218,"11.5%","16.4%",0.42,0.49
"Volibear","Top",9,"4.3%","42.2%","71.6%","22%","22%",22,37,37,1.6,"63.4%","24.8%","22%",212,51,-1.8,6.9,"21.0%",401,"21.2%","21.4%",0.42,0.13
"Wukong","ADC",1,"0.5%","29.4%","51.7%","0%","100%",2,5,2,0.8,"66.7%","25.0%","100%",234,-336,-19,6.6,"22.8%",159,"9.5%","21.3%",0.51,0.33
