"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",24,"11.4%","6.2%","17.5%","33%","46%",45,63,87,2.1,"63.8%","20.8%","8%",-133,18,-1.7,8,"25.8%",378,"22.0%","23.2%",0.41,0.18
"Akali","Middle",11,"5.2%","6.2%","16.1%","64%","91%",51,25,59,4.4,"58.8%","19.5%","9%",-155,-20,-6.7,8.7,"25.2%",492,"24.3%","23.5%",0.42,0.15
"Akali","Top",10,"4.7%","6.2%","16.1%","70%","80%",34,26,54,3.4,"57.5%","21.0%","0%",-333,-142,-3.8,8.2,"24.0%",419,"20.8%","21.7%",0.3,0.18
"Alistar","Support",5,"2.4%","1.4%","3.8%","80%","80%",2,11,63,5.9,"70.7%","23.4%","40%",54,4,-2.2,0.8,"1.7%",119,"5.5%","8.2%",1.64,0.23
"Aphelios","ADC",80,"37.9%","19.0%","56.9%","46%","41%",257,172,289,3.2,"63.3%","17.0%","20%",-46,-134,-2.3,10.2,"34.8%",506,"29.0%","28.0%",0.4,0.45
"Ashe","ADC",77,"36.5%","13.3%","49.8%","53%","52%",235,177,458,3.9,"67.8%","17.8%","16%",110,51,7.5,9.6,"30.8%",491,"25.7%","25.7%",0.41,0.37
"Aurelion Sol","-",0,"0%","0.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Azir","Middle",64,"30.3%","33.2%","63.5%","56%","31%",212,155,277,3.2,"62.2%","19.0%","17%",77,71,8,9.5,"27.3%",541,"28.7%","25.6%",0.47,0.32
"Bard","Support",46,"21.8%","28.4%","50.2%","54%","26%",25,102,395,4.1,"72.7%","19.4%","11%",-63,121,2.1,1.4,"3.9%",155,"8.4%","9.0%",2.47,0.57
"Blitzcrank","Support",10,"4.7%","0.5%","5.2%","50%","100%",9,33,72,2.5,"55.9%","29.5%","20%",25,-201,0.2,1,"2.4%",135,"7.4%","8.7%",1.65,0.36
"Braum","Support",32,"15.2%","6.6%","21.8%","50%","59%",11,81,276,3.5,"74.7%","20.7%","22%",-89,-9,1.1,1,"2.3%",138,"7.4%","8.3%",1.64,0.3
"Caitlyn","ADC",31,"14.7%","9.5%","24.2%","48%","10%",133,65,136,4.1,"66.3%","14.3%","16%",-4,-28,1.2,10,"32.7%",589,"28.3%","27.6%",0.42,0.48
"Camille","Middle",1,"0.5%","15.2%","33.2%","0%","0%",0,8,0,0,"0.0%","28.6%","0%",-736,-296,-18,7.7,"28.6%",268,"15.4%","22.0%",0.4,0.24
"Camille","Top",37,"17.5%","15.2%","33.2%","73%","46%",153,83,168,3.9,"61.1%","24.2%","30%",-41,-72,-4.6,8.8,"27.3%",456,"23.9%","24.8%",0.36,0.17
"Cassiopeia","Middle",1,"0.5%","0.0%","0.5%","0%","100%",1,2,1,1,"40.0%","12.5%","0%",-140,436,8,8.3,"29.1%",385,"26.2%","26.1%",0.55,0.2
