"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Lulu","Support",5,"2.3%","12.8%","27.5%","40%","20%",2,6,35,6.2,"77.1%","13.3%","20%",8,40,-1.4,0.5,"1.9%",86,"6.8%","9.4%",1.35,0.35
"Malphite","Top",7,"3.2%","0.9%","4.1%","57%","86%",12,13,29,3.2,"60.3%","21.0%","29%",-346,-87,-10.4,8.6,"26.1%",350,"22.1%","21.8%",0.47,0.14
"Malzahar","ADC",1,"0.5%","0.5%","3.2%","0%","100%",0,1,2,2,"40.0%","6.7%","0%",264,165,12,10,"33.9%",213,"16.1%","28.2%",0.33,0.23
"Malzahar","Middle",5,"2.3%","0.5%","3.2%","40%","100%",11,14,15,1.9,"78.8%","23.0%","0%",-133,149,2.2,10,"28.9%",511,"29.9%","26.6%",0.6,0.14
"Master Yi","Jungle",6,"2.8%","11.9%","14.7%","50%","50%",30,18,22,2.9,"85.2%","29.0%","33%",813,1084,40.8,11.1,"35.6%",464,"32.4%","31.8%",0.42,0.31
"Mordekaiser","ADC",15,"6.9%","3.7%","11.0%","60%","40%",27,27,69,3.6,"72.7%","18.1%","27%",-84,554,0.9,8.6,"23.5%",368,"22.8%","23.2%",0.57,0.21
"Mordekaiser","Top",1,"0.5%","3.7%","11.0%","100%","0%",2,1,9,11,"84.6%","9.1%","0%",810,928,32,7.7,"20.8%",345,"16.4%","19.6%",0.52,0.36
"Morgana","ADC",9,"4.1%","38.5%","63.8%","33%","11%",10,23,43,2.3,"73.6%","26.1%","11%",-415,-325,-14.4,8.8,"24.1%",439,"28.0%","21.4%",0.38,0.17
"Morgana","Middle",2,"0.9%","38.5%","63.8%","50%","50%",4,5,15,3.8,"90.5%","19.2%","50%",-70,-1678,-8.5,7.8,"19.3%",623,"29.8%","19.6%",0.41,0.1
"Morgana","Support",44,"20.2%","38.5%","63.8%","45%","47%",29,81,228,3.2,"70.8%","21.0%","27%",-3,-91,-8.3,0.8,"2.7%",239,"14.5%","10.1%",1.38,0.42
"Nami","Support",1,"0.5%","0.0%","0.5%","100%","100%",4,1,9,13,"86.7%","16.7%","0%",961,399,-1,0.3,"1.2%",160,"12.6%","11.8%",1.34,0.27
"Nasus","Top",2,"0.9%","0.5%","1.4%","100%","100%",2,1,10,12,"46.2%","14.3%","0%",-607,-584,-23,9.2,"25.4%",404,"23.6%","20.9%",0.47,0.12
"Nidalee","Jungle",6,"2.8%","0.5%","3.2%","67%","100%",12,8,17,3.6,"74.4%","19.5%","50%",-256,-213,-15,6.6,"17.6%",296,"17.3%","19.7%",1.21,0.81
