"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Nautilus","Top",43,"20.0%","1.4%","28.4%","35%","-",56,134,214,2,"69.4%","25.2%","16%",-204,-117,-2,7,"23.8%",322,"18.3%","19.9%",0.5,0.13
"Nidalee","Jungle",60,"27.9%","45.6%","73.5%","53%","-",181,122,301,4,"77.1%","19.9%","33%",258,400,5.1,5.1,"16.3%",413,"21.2%","21.5%",0.69,0.66
"Nocturne","Jungle",2,"0.9%","0.0%","0.9%","50%","-",5,6,12,2.8,"73.9%","24.0%","50%",-329,-476,-7,4,"14.0%",274,"16.4%","19.2%",0.66,0.32
"Olaf","Top",3,"1.4%","0.0%","1.4%","67%","-",9,8,23,4,"74.4%","21.1%","0%",-84,-69,10.7,7.5,"22.0%",393,"18.7%","20.4%",0.66,0.24
"Orianna","Middle",1,"0.5%","0.0%","0.5%","100%","-",3,2,8,5.5,"100.0%","66.7%","0%",-94,-220,-6,7.7,"26.0%",393,"25.1%","22.6%",0.63,0.14
"Pantheon","Middle",1,"0.5%","0.0%","0.5%","0%","-",0,6,0,0,"0.0%","33.3%","0%",-90,-292,4,6.5,"20.2%",286,"22.4%","20.4%",0.5,0.12
"Poppy","Support",2,"0.9%","27.0%","74.0%","0%","-",0,5,8,1.6,"66.7%","17.2%","0%",95,59,0.5,1.2,"4.4%",119,"7.8%","11.1%",1.52,0.38
"Poppy","Top",99,"46.0%","27.0%","74.0%","55%","-",181,226,556,3.3,"66.9%","22.8%","22%",-84,-55,-4.3,7.2,"24.3%",375,"19.6%","20.8%",0.51,0.17
"Quinn","ADC",1,"0.5%","11.6%","19.5%","0%","-",4,3,5,3,"81.8%","21.4%","100%",-219,-216,-14,10.5,"36.1%",467,"24.2%","31.0%",0.67,0.25
"Quinn","Middle",5,"2.3%","11.6%","19.5%","60%","-",21,11,20,3.7,"66.1%","22.0%","0%",-120,101,3.6,8.9,"28.3%",467,"27.1%","24.8%",0.58,0.2
"Quinn","Top",11,"5.1%","11.6%","19.5%","73%","-",42,25,49,3.6,"61.1%","22.5%","27%",279,206,11.8,9,"29.4%",513,"25.7%","24.3%",0.53,0.24
"Rammus","Top",7,"3.3%","0.0%","3.3%","29%","-",6,18,37,2.4,"78.2%","20.0%","43%",-214,0,-1,7.4,"26.1%",433,"24.4%","21.1%",0.51,0.16
"Rek'Sai","Jungle",49,"22.8%","3.3%","26.0%","51%","-",49,94,317,3.9,"74.8%","20.1%","37%",-69,-59,0.8,4.1,"12.8%",215,"12.6%","18.0%",0.91,0.61
"Rengar","Jungle",1,"0.5%","0.0%","0.5%","0%","-",3,3,4,2.3,"63.6%","16.7%","0%",268,-320,1,3.7,"11.3%",231,"11.9%","17.7%",0.94,0.82
"Rumble","Jungle",5,"2.3%","0.0%","2.8%","40%","-",6,11,22,2.5,"57.1%","20.4%","40%",29,169,3.8,4.5,"13.9%",308,"15.8%","18.9%",0.77,0.42
"Rumble","Top",1,"0.5%","0.0%","2.8%","100%","-",0,3,5,1.7,"55.6%","100.0%","0%",-223,-279,-15,7,"21.5%",368,"16.5%","18.7%",0.58,0.15
"Ryze","Middle",5,"2.3%","51.6%","59.1%","60%","-",12,8,21,4.1,"78.6%","17.8%","40%",-8,1,4.4,8.2,"26.0%",409,"24.3%","22.6%",0.55,0.24
"Ryze","Top",11,"5.1%","51.6%","59.1%","64%","-",34,21,42,3.6,"79.2%","21.2%","36%",21,-183,-0.8,7.9,"26.3%",387,"21.9%","22.3%",0.56,0.16
"Sejuani","Jungle",1,"0.5%","0.0%","0.5%","0%","-",0,1,8,8,"66.7%","7.1%","0%",-130,-400,-10,4.7,"15.6%",172,"9.5%","18.2%",0.83,0.55
"Shen","Support",3,"1.4%","0.0%","1.9%","67%","-",7,13,34,3.2,"78.8%","31.0%","33%",195,30,1.7,1,"4.4%",94,"4.1%","12.2%",1.3,0.39
"Shen","Top",1,"0.5%","0.0%","1.9%","0%","-",3,3,13,5.3,"72.7%","15.0%","0%",402,390,22,5.8,"18.7%",201,"8.6%","17.3%",0.45,0.11
"Sivir","ADC",50,"23.3%","8.8%","32.1%","64%","-",168,74,307,6.4,"78.6%","15.9%","30%",48,35,0.7,9.6,"32.5%",570,"29.0%","25.5%",0.5,0.28
"Syndra","Middle",2,"0.9%","0.0%","0.9%","50%","-",5,2,6,5.5,"61.1%","11.1%","50%",158,187,2,9.3,"27.8%",563,"33.2%","22.4%",0.48,0.1
"Tahm Kench","Support",4,"1.9%","7.0%","17.2%","75%","-",2,8,35,4.6,"58.7%","22.9%","25%",116,145,0.5,1.5,"5.4%",179,"7.7%","11.2%",1.17,0.41
"Tahm Kench","Top",18,"8.4%","7.0%","17.2%","28%","-",31,54,82,2.1,"65.3%","24.7%","22%",-48,12,-3.4,7.3,"25.3%",352,"16.9%","21.0%",0.53,0.19
"Thresh","Support",43,"20.0%","3.3%","23.3%","51%","-",20,99,308,3.3,"73.7%","21.9%","28%",-36,-88,0.3,1.1,"3.6%",113,"6.6%","10.4%",1.31,0.49
"Tristana","ADC",11,"5.1%","0.0%","5.1%","45%","-",29,23,30,2.6,"51.8%","19.8%","18%",-67,-52,-6.7,8.7,"29.3%",412,"22.2%","23.2%",0.43,0.34
"Trundle","Support",79,"36.7%","11.2%","52.6%","61%","-",59,126,620,5.4,"74.2%","15.9%","23%",48,25,1.2,1.5,"5.3%",102,"5.2%","11.6%",1.39,0.53
"Trundle","Top",10,"4.7%","11.2%","52.6%","50%","-",18,23,34,2.3,"55.9%","23.0%","30%",183,155,10.2,8.1,"27.3%",311,"17.7%","22.0%",0.52,0.14
"Twisted Fate","Middle",27,"12.6%","26.0%","38.6%","67%","-",65,64,153,3.4,"68.6%","23.2%","56%",280,-42,-7.6,8.7,"26.7%",476,"24.8%","24.9%",0.59,0.19
"Twitch","ADC",1,"0.5%","0.0%","0.5%","0%","-",1,3,2,1,"75.0%","23.1%","0%",-519,-620,-15,6.6,"23.2%",338,"21.8%","20.5%",0.48,0.26
"Udyr","Jungle",2,"0.9%","0.0%","0.9%","0%","-",1,6,4,0.8,"55.6%","27.3%","0%",-734,-1015,-11,3.4,"9.6%",145,"9.6%","16.6%",0.87,0.56
"Varus","ADC",1,"0.5%","19.1%","32.1%","0%","-",2,4,6,2,"72.7%","20.0%","0%",-262,-571,-1,8.8,"27.9%",742,"31.4%","21.9%",0.45,0.26
"Varus","Middle",27,"12.6%","19.1%","32.1%","59%","-",73,47,126,4.2,"73.4%","17.9%","22%",-47,-122,-1.9,8.2,"25.7%",756,"36.4%","22.3%",0.54,0.17
"Vayne","ADC",3,"1.4%","0.0%","1.4%","67%","-",9,4,9,4.5,"47.4%","20.0%","33%",-316,13,-15.7,7.9,"25.9%",360,"18.3%","21.9%",0.49,0.17
"Vel'Koz","Middle",1,"0.5%","0.0%","0.5%","0%","-",2,3,0,0.7,"66.7%","27.3%","100%",488,702,3,9.2,"28.7%",571,"39.5%","25.6%",0.55,0.1
"Viktor","Middle",53,"24.7%","7.0%","31.6%","42%","-",154,109,229,3.5,"73.1%","18.2%","17%",-137,-29,-0.8,9.3,"30.1%",559,"31.7%","24.9%",0.58,0.23
"Yasuo","Middle",1,"0.5%","0.0%","0.5%","0%","-",1,7,8,1.3,"81.8%","31.8%","0%",-78,-3,15,8.2,"28.5%",166,"10.4%","22.2%",0.55,0.34
"Zed","Middle",5,"2.3%","18.6%","20.9%","40%","-",7,11,14,1.9,"51.2%","19.6%","0%",35,141,8.2,8.1,"24.3%",353,"23.6%","21.5%",0.65,0.22
"Zilean","Middle",15,"7.0%","4.2%","11.2%","53%","-",33,22,104,6.2,"77.8%","14.4%","33%",-64,72,-3.1,8.4,"25.7%",472,"22.8%","21.9%",0.61,0.19
