"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",4,"1.8%","26.1%","78.4%","50%","25%",8,11,20,2.5,"70.0%","21.6%","50%",59,425,9.3,5.7,"15.2%",256,"16.2%","19.6%",0.78,0.59
"Aatrox","Middle",16,"7.3%","26.1%","78.4%","44%","13%",28,30,54,2.7,"62.1%","17.8%","25%",-247,11,-2.9,9,"24.5%",281,"20.7%","22.5%",0.48,0.25
"Aatrox","Top",94,"43.1%","26.1%","78.4%","46%","28%",209,220,318,2.4,"57.6%","21.4%","19%",-36,103,-0.5,8.6,"26.0%",340,"22.0%","23.1%",0.52,0.21
"Akali","Middle",39,"17.9%","29.4%","52.3%","56%","59%",148,55,162,5.6,"65.0%","14.0%","10%",19,101,0.1,8.9,"24.2%",340,"20.5%","22.9%",0.45,0.28
"Akali","Top",11,"5.0%","29.4%","52.3%","45%","64%",34,24,40,3.1,"55.6%","20.2%","0%",47,85,0.8,8.5,"25.5%",362,"19.7%","22.1%",0.46,0.19
"Alistar","Support",16,"7.3%","6.0%","13.3%","63%","81%",10,58,133,2.5,"66.2%","31.4%","31%",-17,-16,-0.2,1.6,"4.8%",103,"6.1%","8.8%",1.72,0.43
"Ashe","ADC",16,"7.3%","5.5%","12.8%","56%","63%",40,31,115,5,"75.6%","18.0%","44%",97,-6,7.9,9.8,"32.4%",482,"26.8%","26.1%",0.37,0.43
"Azir","Middle",74,"33.9%","24.3%","58.3%","51%","35%",195,129,308,3.9,"65.9%","16.4%","15%",79,39,3.8,9.2,"27.1%",476,"29.5%","24.6%",0.51,0.31
"Blitzcrank","Support",1,"0.5%","0.0%","0.5%","0%","100%",0,9,2,0.2,"50.0%","40.9%","0%",-30,-167,2,0.9,"2.7%",88,"5.5%","6.3%",1.8,0.14
"Braum","Support",36,"16.5%","4.1%","20.6%","56%","72%",8,75,242,3.3,"73.3%","20.4%","6%",-181,-74,-6,2.2,"6.8%",117,"6.8%","10.5%",1.65,0.31
"Caitlyn","ADC",3,"1.4%","2.8%","4.1%","33%","67%",9,6,5,2.3,"70.0%","20.7%","33%",-345,-132,8,9,"31.8%",383,"26.6%","26.1%",0.31,0.45
"Camille","Middle",7,"3.2%","15.6%","34.9%","71%","57%",17,11,41,5.3,"63.7%","15.5%","29%",-154,14,-2.1,9,"25.8%",294,"15.3%","22.3%",0.52,0.21
"Camille","Top",35,"16.1%","15.6%","34.9%","60%","69%",114,77,168,3.7,"60.1%","21.9%","23%",-183,-93,-5.4,8.4,"26.5%",405,"24.1%","23.5%",0.45,0.21
"Cassiopeia","Middle",2,"0.9%","0.0%","0.9%","50%","100%",2,3,5,2.3,"43.8%","17.6%","0%",-69,-26,8.5,8.8,"22.0%",337,"25.3%","21.8%",0.46,0.27
"Corki","Middle",51,"23.4%","28.4%","51.8%","59%","47%",164,76,217,5,"75.1%","15.6%","24%",117,58,1.9,9.9,"28.1%",587,"33.8%","26.3%",0.54,0.36
"Draven","ADC",5,"2.3%","1.4%","3.7%","80%","60%",28,6,27,9.2,"87.3%","14.3%","40%",522,219,12.6,9.8,"28.3%",517,"30.6%","30.0%",0.49,0.47
"Ekko","Middle",1,"0.5%","0.0%","0.5%","100%","100%",3,1,3,6,"46.2%","100.0%","0%",-518,-440,-24,7.9,"18.6%",205,"13.9%","17.9%",0.34,0.55
"Elise","Jungle",23,"10.6%","15.1%","25.7%","52%","65%",50,58,96,2.5,"62.1%","23.2%","39%",23,-46,-2,5,"13.5%",256,"15.6%","16.6%",1.14,0.57
"Evelynn","Jungle",4,"1.8%","0.5%","2.3%","75%","100%",16,10,18,3.4,"65.4%","25.6%","50%",-163,-222,-5.5,4.7,"10.7%",383,"22.0%","16.9%",0.62,0.09
"Ezreal","ADC",85,"39.0%","37.2%","76.1%","48%","45%",259,126,289,4.3,"66.1%","14.3%","15%",189,-5,2,10,"31.6%",616,"35.1%","28.1%",0.48,0.37
"Fiora","Top",6,"2.8%","4.1%","6.9%","67%","100%",11,14,9,1.4,"38.5%","29.8%","33%",-66,-270,-11.3,9.5,"27.6%",448,"24.9%","23.8%",0.49,0.21
"Fizz","Middle",1,"0.5%","0.0%","0.5%","100%","100%",5,4,7,3,"75.0%","36.4%","0%",70,119,3,6.8,"19.0%",357,"18.3%","20.1%",0.58,0.24
"Galio","Middle",1,"0.5%","1.8%","9.2%","0%","100%",0,4,2,0.5,"66.7%","22.2%","100%",-436,-651,-19,7.3,"26.3%",259,"18.5%","20.3%",0.49,0.07
"Galio","Support",15,"6.9%","1.8%","9.2%","40%","87%",10,51,83,1.8,"60.8%","27.0%","40%",129,102,13.7,2.1,"6.2%",122,"7.7%","9.9%",1.57,0.28
"Gangplank","Top",20,"9.2%","8.7%","17.9%","50%","55%",37,46,100,3,"71.0%","24.6%","20%",-139,-152,-6.6,8.4,"25.5%",500,"29.4%","24.3%",0.51,0.12
"Gnar","Top",6,"2.8%","1.4%","4.1%","33%","83%",14,19,10,1.3,"55.8%","25.7%","33%",-175,-261,-8.2,7.8,"23.1%",323,"23.0%","22.6%",0.5,0.22
"Gragas","Jungle",26,"11.9%","21.6%","35.8%","42%","31%",62,70,146,3,"68.4%","21.3%","46%",55,128,2.7,4.7,"11.7%",300,"17.8%","16.0%",0.91,0.39
"Gragas","Support",4,"1.8%","21.6%","35.8%","50%","50%",7,10,17,2.4,"51.1%","20.4%","75%",9,-115,-4.8,0.9,"2.3%",199,"12.3%","9.1%",1.23,0.25
"Gragas","Top",1,"0.5%","21.6%","35.8%","0%","0%",1,3,3,1.3,"66.7%","18.8%","100%",58,-146,-14,7,"22.6%",277,"16.5%","19.3%",0.56,0.15
"Hecarim","Jungle",1,"0.5%","0.0%","0.5%","0%","0%",1,1,0,1,"100.0%","10.0%","0%",-168,-474,-6,5.7,"16.8%",141,"17.9%","20.7%",0.39,0.32
"Heimerdinger","-",0,"0%","0.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Irelia","Middle",14,"6.4%","48.6%","63.8%","50%","57%",44,33,55,3,"63.9%","22.4%","21%",246,-33,4.1,9.3,"26.1%",318,"19.7%","24.5%",0.45,0.21
"Irelia","Top",19,"8.7%","48.6%","63.8%","42%","21%",54,58,69,2.1,"64.7%","26.9%","32%",304,13,7.6,8.9,"27.0%",301,"19.7%","24.7%",0.45,0.15
